Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.41,18.9,2.4,6300,6.5,106.3,-99.8,0.95,-0.5,7.4,6.7%,105.7%,-98.9%,1.57,4.5%,17.3,2.2,0.94,-2.6,135,100,208
Boston Red Sox,4.28,70.7,7.5,6261,3.4,108.1,-104.7,0.99,8.1,-4.7,2.9%,94.3%,-91.4%,1.43,-3.0%,54.7,5.8,0.93,84.4,153,127,183
Chicago White Sox,4.41,-10.1,-0.2,6398,-1.2,113.7,-114.8,1.04,-3.4,2.3,-0.2%,48.5%,-48.6%,0.74,1.7%,3.7,1.3,0.95,-30.8,170,98,213
Cleveland Indians,4.2,96.6,10.1,6191,11.3,103.0,-91.7,0.93,10.7,1.5,8.3%,67.9%,-59.6%,1.01,1.8%,86.3,8.9,0.9,119.1,147,104,253
Detroit Tigers,4.48,6.2,1.2,6224,3.0,105.5,-102.5,0.97,0.4,2.7,0.3%,83.4%,-83.1%,1.29,0.1%,1.4,0.8,0.93,2.5,152,90,234
Houston Astros,4.33,-16.7,-1.3,6397,5.8,109.9,-104.1,0.99,0.8,5.1,2.0%,57.0%,-55.0%,0.86,1.6%,20.5,2.5,0.93,9.7,170,119,211
Kansas City Royals,4.4,21.5,2.6,6376,4.8,110.7,-105.9,1.0,-2.1,6.9,2.0%,55.4%,-53.4%,0.83,2.8%,25.6,3.0,0.95,-6.8,175,102,195
Los Angeles Angels,4.49,-42.1,-3.6,6337,-7.0,100.9,-108.0,0.94,-9.0,1.5,-2.0%,21.7%,-23.8%,0.34,-1.6%,-29.0,-2.2,0.95,-85.3,140,110,277
Minnesota Twins,5.49,-142.1,-13.4,6525,-13.3,108.2,-121.5,0.98,-14.0,0.5,-1.6%,8.2%,-9.8%,0.13,-8.6%,-156.3,-14.6,0.95,-154.2,167,110,256
New York Yankees,4.33,28.3,3.1,6223,6.3,107.3,-100.9,0.97,2.5,4.1,2.3%,49.1%,-46.8%,0.74,1.5%,35.5,3.8,0.92,18.2,159,98,226
Oakland Athletics,4.7,-60.9,-5.1,6319,-6.3,102.4,-108.7,0.96,-3.6,-2.9,-1.1%,21.9%,-23.0%,0.33,0.5%,-53.0,-4.4,0.94,-40.9,149,110,233
Seattle Mariners,4.36,7.2,1.0,6333,2.9,112.5,-109.6,1.02,-1.5,4.4,-0.8%,74.0%,-74.8%,1.13,0.0%,11.7,1.5,0.93,-17.2,169,94,213
Tampa Bay Rays,4.4,-28.0,-2.5,6285,-4.0,104.8,-108.8,0.98,-1.6,-2.5,-0.8%,22.9%,-23.7%,0.35,-0.5%,-2.4,0.1,0.94,-17.4,150,105,230
Texas Rangers,4.67,27.9,3.4,6361,4.6,114.6,-110.0,1.03,-1.1,5.6,5.1%,67.3%,-62.2%,0.99,5.9%,-6.9,0.0,0.95,-9.2,178,104,197
Toronto Blue Jays,4.11,75.9,8.0,6311,9.5,116.8,-107.4,1.04,6.4,2.7,7.7%,104.7%,-97.1%,1.56,1.1%,79.2,8.5,0.93,58.4,169,94,224
League Average,4.47,4.0,1.0,6323,2.0,108.0,-107.0,0.99,-1.0,2.0,2%,59%,-57%,0.89,2%,6.0,1.0,0.0,-5.0,159,104,224
,4.47,53.4,13.3,94841,26.4,1624.7,-1598.4,0.99,-7.8,34.6,30.7%,882.0%,-851.2%,0.89,35.2%,88.5,17.1,0.94,-72.0,2383,1565,3353
