Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.25,21.9,2.6,6218,-1.1,100.7,-101.8,0.94,-0.9,-0.3,-0.5%,42.6%,-43.1%,0.66,0.0%,2.6,0.7,0.94,-8.5,129,84,248
Atlanta Braves,3.7,93.7,10.1,6184,10.7,105.8,-95.1,0.98,10.2,0.7,5.4%,72.0%,-66.6%,1.12,-1.0%,95.6,10.4,0.93,109.5,153,98,209
Chicago Cubs,4.69,-56.2,-5.0,6367,-10.1,95.3,-105.4,0.92,-7.6,-3.5,-1.6%,11.4%,-13.0%,0.19,-7.7%,-86.6,-7.8,0.96,-81.5,115,102,276
Cincinnati Reds,3.63,121.6,12.8,6252,12.0,117.1,-105.1,1.08,8.5,2.7,6.2%,70.7%,-64.5%,1.09,0.6%,109.9,11.4,0.92,85.5,158,96,171
Colorado Rockies,5.49,-73.0,-7.1,6675,-16.3,104.3,-120.6,0.97,-19.1,2.3,-3.6%,17.3%,-20.9%,0.27,-5.9%,-160.4,-14.4,0.98,-194.7,163,127,285
Houston Astros,4.9,-81.9,-7.9,6486,-12.4,100.0,-112.3,0.96,-10.3,-2.6,-1.4%,19.5%,-20.9%,0.3,-1.4%,-119.4,-11.5,0.98,-111.0,149,106,286
Los Angeles Dodgers,3.69,74.3,8.0,6270,8.1,110.9,-102.8,1.05,8.6,-0.9,4.8%,94.6%,-89.8%,1.5,-1.7%,74.2,8.3,0.95,78.0,175,99,232
Miami Marlins,4.47,-5.5,-0.4,6369,-4.1,108.9,-113.0,1.05,0.2,-4.1,-0.2%,34.9%,-35.1%,0.55,-0.2%,-34.0,-3.2,0.97,-7.3,156,106,221
Milwaukee Brewers,4.52,-9.4,-0.6,6484,-4.6,111.5,-116.2,1.03,-3.2,-1.2,-1.9%,31.3%,-33.2%,0.48,-1.8%,-30.6,-2.7,0.95,-32.3,168,101,243
New York Mets,4.38,-44.0,-3.8,6293,-6.0,99.4,-105.4,0.96,-1.3,-4.9,-5.5%,44.0%,-49.5%,0.72,-6.1%,-42.9,-3.7,0.95,-25.8,143,89,273
Philadelphia Phillies,4.2,30.3,3.4,6272,0.6,112.6,-112.0,1.05,3.7,-3.1,-1.0%,29.4%,-30.4%,0.46,-3.7%,15.8,2.0,0.93,37.7,148,103,189
Pittsburgh Pirates,4.16,-19.8,-1.8,6327,0.6,104.2,-103.7,0.99,-1.4,1.9,-0.1%,68.7%,-68.8%,1.09,1.4%,-7.9,-0.5,0.95,-6.1,165,99,219
San Diego Padres,4.38,-74.2,-6.9,6436,-4.7,104.1,-108.8,0.99,-6.0,1.2,-1.1%,9.9%,-11.0%,0.16,-4.2%,-61.7,-6.0,0.96,-61.9,180,113,236
San Francisco Giants,4.01,-26.3,-2.2,6374,3.9,106.3,-102.4,0.99,-2.5,6.5,3.1%,76.1%,-73.0%,1.18,4.4%,1.6,0.6,0.97,-35.3,172,106,248
St. Louis Cardinals,4.0,22.6,2.5,6324,2.6,110.8,-108.3,1.02,3.9,-1.4,0.7%,87.5%,-86.8%,1.36,-1.5%,39.6,4.5,0.95,46.4,173,112,221
Washington Nationals,3.67,108.2,11.5,6357,11.1,115.8,-104.7,1.06,8.5,2.0,7.9%,74.1%,-66.2%,1.13,2.0%,109.3,11.7,0.95,89.6,161,141,180
League Average,4.26,5.0,1.0,6356,-1.0,107.0,-107.0,1.0,-1.0,-0.0,1%,49%,-48%,0.76,1%,-6.0,-0.0,0.0,-7.0,157,105,234
,4.26,82.4,15.3,101688,-9.8,1707.9,-1717.6,1.0,-8.6,-1.1,11.2%,783.9%,-772.8%,0.76,12.3%,-94.8,-0.4,0.95,-117.7,2508,1682,3737
