Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.59,36.9,4.1,6383,5.8,110.9,-105.2,0.98,4.6,1.3,1.1%,51.9%,-50.8%,0.77,-1.1%,36.0,4.1,0.93,39.4,192,115,250
Atlanta Braves,4.59,57.0,6.1,6451,8.7,115.3,-106.6,1.01,3.2,5.4,4.3%,67.9%,-63.6%,1.0,2.0%,46.2,5.1,0.94,37.5,200,112,264
Chicago Cubs,4.43,49.0,5.0,6388,1.3,109.6,-108.2,0.99,1.8,-0.5,1.2%,102.5%,-101.2%,1.55,-1.1%,44.5,4.7,0.94,32.4,192,125,260
Cincinnati Reds,4.39,80.4,8.3,6230,7.4,111.3,-103.9,0.99,7.2,0.3,1.5%,31.1%,-29.6%,0.46,0.7%,66.0,6.8,0.91,92.0,188,147,200
Colorado Rockies,5.91,-51.4,-4.5,6618,-7.9,109.5,-117.4,0.96,-11.7,3.5,-2.5%,35.3%,-37.8%,0.52,-0.9%,-135.8,-11.6,0.94,-130.0,177,132,281
Los Angeles Dodgers,3.78,118.4,12.1,6060,13.2,107.6,-94.5,0.98,17.1,-3.8,5.4%,39.8%,-34.4%,0.6,-0.6%,144.1,15.4,0.9,181.4,166,124,255
Miami Marlins,4.99,-68.0,-6.3,6412,-6.5,103.0,-109.6,0.95,-5.1,-1.8,-0.2%,9.8%,-10.0%,0.15,-2.1%,-64.7,-6.1,0.94,-62.9,172,87,280
Milwaukee Brewers,4.73,12.6,1.9,6428,6.8,116.8,-110.1,1.02,1.7,4.9,4.5%,100.2%,-95.7%,1.46,2.0%,11.8,1.8,0.94,18.0,196,162,230
New York Mets,4.55,-19.4,-1.4,6452,1.4,114.9,-113.5,1.04,1.8,-0.4,-1.2%,53.0%,-54.3%,0.81,-2.6%,7.4,1.5,0.94,0.9,168,102,232
Philadelphia Phillies,4.9,-11.2,-0.9,6453,1.7,112.2,-110.6,0.99,-4.0,5.7,-0.1%,74.0%,-74.1%,1.08,2.7%,-20.3,-1.7,0.93,-47.6,170,138,256
Pittsburgh Pirates,5.62,-145.3,-13.4,6570,-11.6,104.3,-115.9,0.93,-15.6,3.0,-3.3%,38.4%,-41.7%,0.57,0.0%,-155.7,-14.5,0.95,-153.6,158,118,274
San Diego Padres,4.87,-67.5,-6.1,6317,-0.7,109.5,-110.2,0.99,-3.7,3.0,0.9%,39.4%,-38.5%,0.59,3.2%,-51.5,-4.7,0.92,-43.7,189,140,214
San Francisco Giants,4.77,-29.9,-2.5,6438,7.2,112.6,-105.3,0.99,1.6,5.8,1.7%,28.5%,-26.8%,0.42,4.1%,-12.7,-0.7,0.93,-4.4,223,103,261
St. Louis Cardinals,4.09,63.6,6.5,6185,9.5,109.9,-100.3,0.99,8.5,1.1,8.2%,86.4%,-78.2%,1.3,1.2%,89.0,9.4,0.93,97.1,158,145,239
Washington Nationals,4.47,43.7,5.2,6333,3.2,108.2,-105.0,0.98,6.6,-3.3,1.1%,63.2%,-62.1%,0.96,-3.1%,43.4,5.2,0.93,69.8,162,125,243
League Average,4.71,5.0,1.0,6381,3.0,110.0,-108.0,0.99,1.0,2.0,2%,55%,-53%,0.81,1%,3.0,1.0,0.0,8.0,181,125,249
,4.71,68.9,14.1,95718,39.5,1655.5,-1616.1,0.99,14.2,25.9,22.8%,821.3%,-798.6%,0.81,11.0%,47.9,14.7,0.93,126.4,2711,1875,3739
