Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,5.51,-142.4,-13.3,6570,-14.8,102.7,-117.5,0.94,-18.8,3.1,-1.0%,9.3%,-10.3%,0.14,-3.6%,-172.4,-16.0,0.97,-203.3,136,82,271
Boston Red Sox,3.99,109.3,11.5,6335,12.0,110.4,-98.4,0.99,9.2,2.9,7.4%,50.5%,-43.1%,0.75,4.0%,106.0,11.1,0.93,111.3,166,130,239
Chicago White Sox,5.23,-101.3,-9.4,6639,-9.8,103.2,-113.0,0.94,-8.2,-2.2,-2.1%,13.0%,-15.0%,0.2,-7.0%,-123.2,-11.5,0.98,-88.1,169,104,280
Cleveland Indians,4.0,95.8,10.3,6255,10.9,111.6,-100.7,0.99,7.4,3.6,4.8%,52.6%,-47.8%,0.78,1.6%,104.3,11.3,0.91,87.9,165,100,244
Detroit Tigers,4.91,-17.8,-1.3,6301,-6.1,102.6,-108.8,0.95,-4.2,-2.3,-0.6%,34.7%,-35.3%,0.53,-0.7%,-59.1,-5.2,0.93,-46.6,174,119,249
Houston Astros,3.3,179.5,18.5,6083,18.8,112.1,-93.3,1.01,18.7,-0.1,11.8%,80.4%,-68.6%,1.21,-0.9%,203.9,21.4,0.9,210.5,173,114,223
Kansas City Royals,5.14,-88.3,-8.2,6466,-8.8,106.6,-115.4,0.99,-7.5,-1.4,-1.6%,12.5%,-14.1%,0.2,-5.2%,-107.7,-10.0,0.95,-88.5,163,88,232
Los Angeles Angels,4.46,7.9,1.1,6299,-0.6,102.1,-102.6,0.94,-0.4,-0.2,0.3%,37.4%,-37.0%,0.57,1.7%,0.8,0.6,0.94,-12.2,147,150,304
Minnesota Twins,4.78,-29.7,-2.4,6479,-2.3,113.5,-115.8,1.04,-4.0,1.8,-0.6%,42.2%,-42.8%,0.64,1.2%,-36.2,-2.8,0.96,-53.9,178,130,258
New York Yankees,4.13,67.3,7.0,6363,8.6,109.0,-100.4,0.98,7.7,1.1,4.5%,54.3%,-49.8%,0.81,0.7%,70.2,7.4,0.94,90.7,153,124,231
Oakland Athletics,4.16,58.3,6.3,6331,12.2,110.5,-98.3,0.98,7.2,5.2,8.1%,67.7%,-59.7%,1.0,3.9%,61.3,6.7,0.93,78.8,177,137,264
Seattle Mariners,4.39,-3.7,0.1,6236,6.7,110.0,-103.3,0.99,0.0,6.8,4.2%,72.6%,-68.5%,1.09,3.7%,5.5,1.0,0.93,4.3,187,152,198
Tampa Bay Rays,3.99,66.4,7.2,6184,12.3,111.2,-98.9,1.03,11.0,0.9,1.9%,22.2%,-20.3%,0.35,-1.5%,75.3,8.4,0.93,111.9,192,182,179
Texas Rangers,5.23,-23.3,-1.9,6409,-6.8,103.5,-110.3,0.92,-10.7,3.4,-1.0%,12.1%,-13.2%,0.19,-2.6%,-89.4,-7.9,0.95,-106.9,158,116,232
Toronto Blue Jays,5.14,-93.9,-8.9,6518,-7.2,106.3,-113.5,0.98,-11.0,3.6,-1.2%,23.5%,-24.7%,0.35,0.2%,-110.2,-10.5,0.96,-127.7,159,146,285
League Average,4.56,6.0,1.0,6365,2.0,108.0,-106.0,0.98,-0.0,2.0,2%,39%,-37%,0.58,3%,-5.0,0.0,0.0,-2.0,166,125,246
,4.56,84.2,16.6,95468,25.1,1615.2,-1590.1,0.98,-3.6,29.2,34.9%,585.1%,-550.2%,0.58,43.3%,-71.1,4.1,0.94,-31.8,2497,1874,3689
