Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.57,-33.3,-2.5,6254,-5.1,104.6,-109.7,1.0,0.4,-5.5,-1.4%,23.1%,-24.4%,0.37,-4.6%,-35.9,-2.7,0.93,-18.0,170,128,248
Atlanta Braves,3.76,101.1,10.9,6207,13.6,108.9,-95.3,1.01,13.0,0.5,9.6%,67.1%,-57.5%,1.03,1.3%,118.8,12.8,0.93,130.0,182,122,214
Chicago Cubs,4.51,6.7,1.3,6347,4.5,115.0,-110.6,1.05,-0.4,4.6,-0.5%,16.5%,-17.0%,0.25,-0.5%,-3.5,0.4,0.94,-28.6,183,116,229
Cincinnati Reds,5.03,-41.3,-3.5,6440,-4.5,103.4,-107.9,0.95,-3.5,-1.3,-1.3%,6.8%,-8.0%,0.11,-9.9%,-74.0,-6.3,0.97,-52.2,149,121,304
Colorado Rockies,5.39,-50.8,-4.9,6446,-5.9,105.1,-111.0,0.96,-8.7,2.5,-1.9%,22.1%,-24.0%,0.34,-1.8%,-121.1,-11.1,0.95,-91.9,182,88,227
Los Angeles Dodgers,3.17,212.2,22.5,6007,19.0,103.4,-84.4,0.94,19.7,0.5,6.6%,39.6%,-33.0%,0.6,0.4%,233.4,24.9,0.9,226.1,143,153,267
Miami Marlins,4.17,34.8,4.3,6240,0.4,112.7,-112.3,1.03,1.6,-1.2,-0.2%,26.6%,-26.7%,0.4,-1.1%,35.4,4.6,0.95,26.9,166,135,231
Milwaukee Brewers,4.25,15.9,2.1,6222,3.6,112.9,-109.3,1.07,4.5,-1.1,2.6%,76.2%,-73.7%,1.2,-0.1%,33.2,3.9,0.93,49.5,200,147,201
New York Mets,3.74,60.6,6.9,6120,12.8,101.1,-88.3,0.92,9.8,4.1,6.7%,66.2%,-59.5%,1.01,0.9%,94.0,10.8,0.92,100.0,125,112,246
Philadelphia Phillies,4.23,20.3,2.4,6155,2.3,102.6,-100.2,0.95,3.6,-1.1,1.3%,51.2%,-49.9%,0.79,-0.5%,23.2,2.9,0.95,38.8,149,127,240
Pittsburgh Pirates,5.04,-80.8,-7.4,6449,-7.6,108.2,-115.9,1.01,-3.9,-3.6,-1.0%,17.8%,-18.9%,0.28,-2.6%,-110.4,-10.1,0.98,-76.9,156,127,221
San Diego Padres,4.07,-4.3,0.0,6226,9.0,109.3,-100.2,1.01,5.6,3.3,4.9%,62.5%,-57.7%,0.97,1.6%,34.3,4.2,0.94,52.6,162,106,219
San Francisco Giants,4.3,18.5,2.3,6245,2.1,106.1,-104.1,0.99,5.1,-3.0,0.1%,42.6%,-42.4%,0.67,-2.1%,15.0,2.2,0.95,48.7,161,152,263
St. Louis Cardinals,3.93,20.9,2.6,6127,9.6,103.4,-93.7,0.95,5.8,4.3,4.6%,54.0%,-49.4%,0.83,2.4%,64.4,7.2,0.95,58.5,133,119,214
Washington Nationals,5.28,-173.7,-16.1,6416,-16.1,91.2,-107.2,0.87,-18.3,-0.1,-1.8%,9.3%,-11.1%,0.15,-7.2%,-175.6,-16.6,0.96,-187.2,128,107,353
League Average,4.36,7.0,1.0,6260,3.0,106.0,-103.0,0.98,2.0,0.0,2%,39%,-37%,0.6,1%,9.0,2.0,0.0,18.0,159,124,245
,4.36,106.9,20.8,93901,37.7,1587.8,-1550.2,0.98,34.3,4.0,28.3%,581.6%,-553.2%,0.6,21.2%,131.4,27.0,0.94,276.3,2389,1860,3677
