Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.52,88.7,9.3,6415,12.3,119.1,-106.8,1.03,2.7,9.2,13.1%,107.3%,-94.1%,1.53,6.8%,52.2,5.6,0.95,33.0,160,98,211
Atlanta Braves,4.52,37.5,4.5,6445,1.8,104.3,-102.5,0.96,1.3,0.6,-0.8%,80.7%,-81.6%,1.24,-1.5%,22.9,3.3,0.95,30.8,148,103,277
Chicago Cubs,4.26,97.4,9.8,6382,7.6,110.3,-102.7,1.0,6.2,1.4,6.9%,99.5%,-92.6%,1.51,1.2%,87.6,8.8,0.94,83.5,158,103,217
Cincinnati Reds,5.27,-44.4,-3.8,6545,-7.1,112.8,-119.9,1.02,-5.6,-1.4,-1.2%,20.5%,-21.7%,0.31,-1.1%,-78.8,-7.0,0.95,-64.0,185,100,237
Colorado Rockies,4.65,78.8,7.9,6455,0.9,113.3,-112.4,1.01,4.0,-3.1,3.0%,101.0%,-98.0%,1.52,-0.5%,42.1,4.2,0.93,61.3,198,95,236
Florida Marlins,5.5,-109.1,-9.7,6774,-12.9,110.3,-123.1,1.0,-14.9,2.0,-3.1%,33.3%,-36.4%,0.51,-1.4%,-150.4,-13.5,0.99,-167.4,173,137,250
Houston Astros,5.02,-33.0,-2.7,6586,0.1,116.0,-116.0,1.02,-5.6,5.7,-0.3%,27.3%,-27.6%,0.4,1.7%,-40.0,-3.4,0.96,-59.7,167,74,235
Los Angeles Dodgers,4.49,43.7,4.8,6384,6.0,108.4,-102.4,0.96,4.3,1.9,5.4%,93.8%,-88.4%,1.39,0.5%,40.9,4.6,0.94,55.3,148,103,232
Milwaukee Brewers,4.79,0.1,0.2,6478,0.3,111.4,-111.2,1.0,-1.6,1.9,-3.0%,107.2%,-110.3%,1.63,-0.8%,-16.7,-1.4,0.96,-12.6,179,99,214
New York Mets,4.63,7.3,1.3,6469,1.8,109.1,-107.3,0.99,0.6,1.2,-2.2%,96.2%,-98.4%,1.48,-1.9%,5.7,1.2,0.95,19.5,164,109,226
Philadelphia Phillies,5.07,-19.9,-1.5,6572,-2.3,114.7,-117.0,1.03,-3.9,1.6,2.2%,116.4%,-114.3%,1.72,3.7%,-45.2,-3.8,0.96,-49.6,173,111,214
Pittsburgh Pirates,5.22,-87.0,-7.7,6571,-5.2,108.3,-113.5,0.99,-7.4,2.2,0.6%,27.8%,-27.2%,0.42,3.9%,-95.6,-8.6,0.98,-86.3,160,85,250
San Diego Padres,4.09,52.5,6.1,6512,10.5,113.7,-103.2,1.01,8.1,2.2,1.5%,146.1%,-144.6%,2.24,-4.2%,79.7,9.3,0.94,90.9,174,112,199
San Francisco Giants,4.44,54.9,5.5,6480,1.1,118.0,-116.9,1.06,2.9,-1.8,0.9%,27.1%,-26.3%,0.4,0.4%,47.8,4.9,0.95,45.6,190,93,213
St. Louis Cardinals,5.12,-51.6,-4.1,6438,-0.7,100.5,-101.2,0.91,-3.1,2.3,-1.8%,45.0%,-46.8%,0.68,-0.4%,-77.3,-6.4,0.96,-41.1,126,103,287
Washington Nationals,4.83,-50.9,-4.4,6520,-0.7,113.4,-114.2,1.03,-5.7,5.0,-0.4%,13.6%,-14.0%,0.21,-0.2%,-46.8,-4.1,0.96,-62.9,204,143,241
League Average,4.78,4.0,1.0,6502,1.0,111.0,-111.0,1.0,-1.0,2.0,1%,71%,-70%,1.07,1%,-11.0,-0.0,0.0,-8.0,169,104,234
,4.78,65.3,15.3,104026,13.4,1783.4,-1770.1,1.0,-17.5,30.9,20.7%,1142.9%,-1122.1%,1.07,20.5%,-171.8,-6.4,0.96,-123.8,2707,1668,3739
