Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Anaheim Angels,4.51,49.8,4.9,6439,4.0,112.4,-108.4,1.01,3.5,0.5,2.5%,40.7%,-38.2%,0.6,0.2%,54.6,5.4,0.94,43.7,144,78,162
Baltimore Orioles,5.12,-67.2,-6.2,6546,-7.5,106.3,-113.7,0.97,-6.2,-1.5,-0.4%,25.7%,-26.2%,0.39,0.6%,-66.5,-6.1,0.96,-55.0,136,86,170
Boston Red Sox,4.63,48.4,5.0,6607,3.8,115.2,-111.4,1.03,3.4,0.2,2.8%,90.2%,-87.3%,1.35,-0.2%,47.2,5.0,0.95,57.3,158,96,170
Chicago White Sox,4.91,12.5,1.7,6415,0.0,112.2,-112.2,1.01,0.4,-0.4,-1.9%,29.5%,-31.3%,0.45,-4.7%,1.9,0.8,0.95,14.4,152,86,168
Cleveland Indians,5.07,-24.3,-1.7,6578,1.2,110.1,-108.9,0.99,-0.5,1.6,1.3%,82.4%,-81.1%,1.24,2.0%,-29.9,-2.0,0.95,11.1,176,96,211
Detroit Tigers,5.41,-124.2,-11.1,6601,-11.1,102.5,-113.7,0.93,-13.2,1.3,-2.7%,19.3%,-21.9%,0.3,-3.2%,-119.0,-10.9,0.97,-133.8,123,76,192
Kansas City Royals,5.3,-10.5,-0.8,6516,-5.3,108.6,-114.0,0.96,-7.5,2.0,-1.7%,12.3%,-14.1%,0.19,-6.1%,-48.4,-4.3,0.95,-62.4,124,75,197
Minnesota Twins,4.73,16.7,2.1,6372,1.0,109.2,-108.2,0.98,-0.2,1.2,-0.9%,78.0%,-78.9%,1.18,-0.9%,19.9,2.5,0.92,-2.8,130,77,195
New York Yankees,4.43,74.7,7.8,6442,14.0,116.0,-102.0,1.01,6.7,7.1,8.0%,76.8%,-68.8%,1.12,4.6%,76.6,8.1,0.93,84.9,139,64,159
Oakland Athletics,3.98,127.0,12.6,6333,12.5,113.9,-101.4,1.02,13.4,-1.1,4.8%,56.1%,-51.3%,0.84,-1.3%,145.1,14.7,0.92,161.1,167,80,169
Seattle Mariners,3.87,107.7,10.8,6239,18.0,113.7,-95.7,1.01,14.7,3.1,4.0%,24.4%,-20.4%,0.36,8.1%,152.6,16.0,0.92,171.5,156,88,147
Tampa Bay Devil Rays,5.48,-92.4,-8.3,6541,-10.4,102.2,-112.6,0.93,-9.9,-1.2,-2.3%,7.8%,-10.1%,0.12,-14.7%,-122.5,-11.1,0.96,-116.3,93,76,201
Texas Rangers,5.98,-144.1,-13.1,6687,-12.2,110.0,-122.2,0.97,-17.0,4.4,-3.4%,16.1%,-19.5%,0.24,-7.8%,-171.6,-15.3,0.96,-199.9,133,83,194
Toronto Blue Jays,4.65,53.1,5.4,6512,5.3,118.7,-113.4,1.05,0.3,4.8,1.0%,38.2%,-37.2%,0.56,2.2%,47.8,4.9,0.95,17.9,185,91,195
League Average,4.86,2.0,1.0,6488,1.0,111.0,-110.0,0.99,-1.0,2.0,1%,43%,-42%,0.64,1%,-1.0,1.0,0.0,-1.0,144,82,181
,4.86,27.3,9.0,90828,13.3,1550.9,-1537.7,0.99,-12.1,25.5,11.1%,597.5%,-586.5%,0.64,20.2%,-12.3,7.9,0.95,-8.2,2016,1152,2530
