Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.85,-65.8,-6.3,6438,-7.4,107.8,-115.2,1.01,-5.5,-1.9,-2.0%,7.6%,-9.5%,0.13,-12.9%,-75.7,-7.2,0.96,-59.2,163,87,204
Boston Red Sox,4.59,22.3,2.9,6559,0.7,115.2,-114.6,1.06,2.3,-1.7,0.9%,73.1%,-72.2%,1.11,-1.3%,-2.8,0.4,0.97,14.6,170,71,202
Chicago White Sox,4.35,32.4,3.5,6402,2.7,110.6,-108.0,1.01,3.2,-0.5,-0.1%,65.7%,-65.8%,1.0,-1.5%,21.3,2.4,0.95,42.5,134,74,199
Cleveland Indians,4.64,-63.9,-6.0,6469,-6.0,106.5,-112.5,0.99,-6.5,0.5,-2.4%,16.9%,-19.3%,0.27,-6.7%,-64.6,-6.3,0.99,-62.9,169,77,224
Detroit Tigers,4.59,-14.9,-1.0,6452,-3.2,104.9,-108.1,0.98,0.4,-3.6,-2.0%,51.7%,-53.7%,0.8,-1.9%,-25.1,-2.0,0.96,6.1,131,90,195
Kansas City Royals,5.22,-115.9,-10.9,6591,-8.4,107.6,-116.0,1.0,-12.5,4.2,-2.4%,18.5%,-20.8%,0.29,-3.4%,-138.2,-13.0,0.98,-138.4,155,95,191
Los Angeles Angels of Anaheim,4.33,-7.7,-0.3,6533,5.7,111.5,-105.9,1.02,0.3,5.2,0.8%,50.9%,-50.1%,0.78,0.9%,2.7,0.9,0.96,-8.1,134,81,195
Minnesota Twins,4.14,29.0,3.2,6287,4.9,107.5,-102.6,0.98,2.6,2.4,4.4%,83.6%,-79.2%,1.27,1.5%,38.4,4.2,0.93,24.8,152,80,233
New York Yankees,4.28,45.0,4.9,6347,4.9,104.8,-99.9,0.97,2.8,2.3,4.7%,70.2%,-65.5%,1.07,2.7%,41.5,4.5,0.94,32.1,145,77,208
Oakland Athletics,3.86,81.6,8.6,6208,6.4,103.6,-97.1,0.96,6.1,0.5,1.8%,46.7%,-44.9%,0.73,-1.6%,76.8,8.3,0.93,73.4,132,87,204
Seattle Mariners,4.31,-7.3,0.2,6285,-1.8,108.2,-109.9,1.02,-3.2,1.4,-1.2%,20.9%,-22.1%,0.33,-1.9%,-10.4,0.0,0.94,-19.4,124,61,173
Tampa Bay Rays,4.01,26.7,3.2,6300,7.7,106.7,-99.0,0.97,2.4,5.6,7.9%,80.1%,-72.3%,1.2,5.1%,56.3,6.4,0.94,33.4,162,105,224
Texas Rangers,4.24,83.6,8.8,6438,5.9,116.0,-110.1,1.05,4.7,1.0,5.0%,70.3%,-65.3%,1.05,2.1%,63.5,6.6,0.95,59.8,179,114,188
Toronto Blue Jays,4.49,-2.5,0.1,6349,1.8,108.8,-106.9,1.0,0.2,1.7,-0.5%,42.1%,-42.6%,0.65,-1.4%,-8.4,-0.6,0.96,7.5,152,87,216
League Average,4.42,3.0,1.0,6404,1.0,109.0,-108.0,1.0,-0.0,1.0,1%,50%,-49%,0.76,1%,-2.0,0.0,0.0,0.0,150,85,204
,4.42,42.6,10.6,89658,13.9,1519.7,-1505.8,1.0,-2.8,16.7,14.9%,698.3%,-683.3%,0.76,15.3%,-24.9,4.8,0.95,6.0,2102,1186,2856
