Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,5.4,-99.5,-9.0,6661,-12.1,108.2,-120.3,1.01,-10.2,-1.7,-1.2%,47.8%,-49.0%,0.72,1.3%,-111.5,-10.0,1.0,-107.5,149,127,216
Boston Red Sox,4.28,97.5,10.3,6387,9.5,110.5,-101.0,1.0,9.4,0.1,7.4%,87.0%,-79.6%,1.31,0.1%,97.7,10.2,0.94,124.0,149,104,213
Chicago White Sox,4.47,71.7,7.3,6455,9.7,115.3,-105.6,0.99,7.1,2.7,14.3%,133.7%,-119.4%,1.89,3.5%,61.5,6.2,0.94,94.8,161,95,207
Cleveland Indians,4.7,-28.5,-1.9,6318,-0.6,108.7,-109.3,0.99,0.9,-1.5,0.6%,30.8%,-30.2%,0.46,0.4%,-2.4,0.8,0.94,3.2,119,81,199
Detroit Tigers,5.29,-70.3,-6.4,6615,-9.4,110.2,-119.6,1.0,-8.2,-1.2,-2.4%,37.3%,-39.8%,0.56,-1.8%,-87.5,-8.0,0.97,-77.9,151,87,202
Kansas City Royals,4.82,-25.0,-1.9,6404,2.5,105.3,-102.8,0.95,1.2,1.4,0.7%,25.1%,-24.5%,0.37,1.3%,-18.7,-1.2,0.94,8.1,135,82,222
Los Angeles Angels of Anaheim,4.3,74.2,7.7,6361,14.4,123.2,-108.8,1.08,5.0,8.4,8.9%,59.6%,-50.8%,0.86,7.4%,82.1,8.6,0.93,74.0,170,66,147
Minnesota Twins,4.57,-1.1,0.2,6367,2.4,109.4,-107.0,0.98,-1.4,3.9,5.4%,118.9%,-113.4%,1.77,3.9%,11.1,1.6,0.94,-5.6,186,94,205
New York Yankees,4.49,30.7,3.6,6414,8.1,111.7,-103.6,1.0,6.4,1.7,2.6%,60.7%,-58.1%,0.91,-0.7%,47.3,5.2,0.95,82.8,152,103,220
Oakland Athletics,4.29,19.8,2.7,6286,5.4,110.4,-105.0,1.02,4.6,0.7,4.6%,56.3%,-51.8%,0.87,0.6%,48.6,5.8,0.95,54.8,155,89,197
Seattle Mariners,5.01,-75.8,-6.7,6574,-10.7,110.6,-121.4,1.03,-8.7,-1.7,-1.5%,18.4%,-19.9%,0.28,-4.0%,-69.6,-6.2,0.98,-81.4,171,77,221
Tampa Bay Rays,4.14,96.6,9.8,6318,13.6,117.2,-103.5,1.03,8.5,4.7,11.1%,73.1%,-62.1%,1.06,5.4%,106.7,10.8,0.93,94.4,180,83,185
Texas Rangers,5.97,-156.0,-14.2,6719,-11.5,112.8,-124.3,1.02,-12.9,1.7,-4.8%,50.3%,-55.1%,0.76,1.4%,-200.4,-18.1,0.99,-155.1,173,81,203
Toronto Blue Jays,3.77,124.3,12.6,6250,12.9,118.2,-105.3,1.07,12.4,-0.4,3.4%,45.0%,-41.6%,0.69,-1.3%,146.6,15.1,0.93,147.0,162,97,162
League Average,4.68,4.0,1.0,6438,2.0,112.0,-110.0,1.01,1.0,1.0,4%,60%,-57%,0.89,3%,8.0,1.0,0.0,18.0,158,90,200
,4.68,58.8,14.1,90129,34.2,1571.7,-1537.6,1.01,14.0,19.8,49.0%,844.1%,-795.0%,0.89,37.2%,111.7,20.8,0.95,255.8,2213,1266,2799
