Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.09,26.8,3.4,6261,5.6,106.7,-101.1,0.99,-0.6,6.2,3.3%,76.8%,-73.5%,1.2,3.1%,9.6,1.9,0.95,-8.1,145,90,228
Atlanta Braves,3.73,68.0,7.4,6446,11.3,118.1,-106.8,1.09,6.9,3.5,10.3%,99.1%,-88.9%,1.55,2.5%,73.0,8.0,0.96,63.3,218,108,184
Chicago Cubs,4.67,-66.2,-6.4,6481,-10.3,109.6,-119.9,1.06,-7.3,-2.4,-3.3%,19.3%,-22.5%,0.32,-6.9%,-92.9,-9.1,0.99,-87.5,164,92,239
Cincinnati Reds,4.44,-22.9,-1.8,6454,-6.0,113.2,-119.2,1.06,-4.0,-1.7,-3.3%,48.0%,-51.3%,0.76,-3.2%,-40.9,-3.6,0.96,-43.0,174,103,224
Colorado Rockies,4.78,20.7,2.6,6450,-4.1,107.2,-111.3,0.99,-5.3,1.1,-1.4%,42.9%,-44.3%,0.66,0.5%,-51.4,-4.3,0.95,-54.3,194,97,226
Florida Marlins,4.33,-6.2,-0.1,6392,-3.6,107.7,-111.3,1.02,1.3,-4.8,-1.7%,39.3%,-41.0%,0.62,-2.4%,-34.1,-2.9,0.95,-10.0,178,117,213
Houston Astros,4.91,-118.3,-11.5,6482,-16.6,101.8,-118.4,0.98,-12.9,-3.9,-3.2%,11.2%,-14.4%,0.19,-13.3%,-150.4,-14.9,0.98,-169.0,153,79,271
Los Angeles Dodgers,3.8,24.3,3.1,6236,4.1,102.9,-98.8,0.99,4.5,-0.3,-1.5%,25.5%,-27.1%,0.42,-5.1%,32.3,4.0,0.96,44.9,139,93,229
Milwaukee Brewers,3.94,48.9,5.2,6263,4.8,107.3,-102.5,1.0,3.6,1.2,2.5%,73.2%,-70.7%,1.14,0.0%,35.8,3.8,0.93,39.6,142,87,205
New York Mets,4.58,-86.4,-8.5,6546,-10.2,109.4,-119.7,1.06,-9.0,-0.7,-2.7%,32.5%,-35.1%,0.52,-1.3%,-87.9,-8.9,0.99,-97.2,182,101,231
Philadelphia Phillies,3.27,140.5,15.5,6242,18.8,114.1,-95.3,1.05,12.3,5.5,10.8%,56.6%,-45.8%,0.86,5.3%,147.7,16.5,0.93,130.4,150,69,175
Pittsburgh Pirates,4.4,-52.7,-5.1,6564,-6.0,112.3,-118.3,1.07,-8.8,3.2,0.6%,52.2%,-51.6%,0.81,3.2%,-66.3,-6.4,1.0,-98.9,201,107,241
San Diego Padres,3.77,21.5,2.4,6336,2.9,108.1,-105.2,1.02,1.6,1.3,0.7%,21.1%,-20.4%,0.33,2.0%,31.4,3.7,0.96,19.1,169,113,207
San Francisco Giants,3.57,48.0,5.4,6369,10.4,114.5,-104.1,1.07,9.7,0.0,7.9%,89.1%,-81.3%,1.39,0.0%,69.2,8.0,0.96,85.4,188,92,200
St. Louis Cardinals,4.27,-19.0,-1.7,6382,-5.8,114.7,-120.5,1.09,-0.6,-4.8,-8.0%,91.6%,-99.7%,1.47,-5.2%,-31.2,-2.8,0.96,-21.8,176,95,197
Washington Nationals,3.99,36.2,4.1,6308,4.8,115.3,-110.5,1.08,2.1,2.3,0.1%,32.9%,-32.9%,0.52,0.3%,19.0,2.4,0.96,15.1,200,108,195
League Average,4.16,4.0,1.0,6388,0.0,110.0,-110.0,1.04,-0.0,0.0,1%,51%,-50%,0.8,1%,-9.0,-0.0,0.0,-12.0,173,97,217
,4.16,63.2,14.0,102212,0.0,1762.8,-1762.8,1.04,-6.5,6.5,10.9%,811.3%,-800.5%,0.8,11.4%,-137.1,-4.7,0.96,-191.8,2773,1551,3465
