Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,3.66,87.7,9.4,6270,12.3,116.5,-104.2,1.06,4.6,7.1,9.2%,78.2%,-69.1%,1.18,4.9%,94.6,10.0,0.94,59.1,185,99,195
Boston Red Sox,4.41,-4.2,0.1,6429,-1.3,107.6,-108.9,1.0,-3.4,2.1,0.3%,28.3%,-28.0%,0.43,2.6%,-26.0,-2.1,0.96,-36.1,184,82,227
Chicago White Sox,4.68,-90.9,-8.3,6470,-11.5,107.1,-118.5,1.03,-6.9,-4.2,-5.4%,38.2%,-43.6%,0.62,-4.7%,-101.7,-9.2,0.98,-91.5,164,90,199
Cleveland Indians,4.03,46.6,5.5,6391,5.1,116.9,-111.8,1.07,2.7,2.0,0.2%,62.5%,-62.3%,0.96,-1.2%,36.0,4.5,0.95,30.0,197,108,268
Detroit Tigers,4.35,-19.8,-1.5,6422,2.4,107.9,-105.5,1.0,-0.9,3.3,4.0%,107.7%,-103.7%,1.67,2.8%,-30.9,-2.6,0.96,-23.2,137,87,249
Houston Astros,4.46,-41.8,-3.9,6369,-5.7,104.0,-109.7,0.99,-3.9,-1.8,-1.0%,14.6%,-15.6%,0.23,-0.5%,-61.1,-5.6,0.97,-56.1,135,94,209
Kansas City Royals,3.85,66.4,7.7,6289,10.6,107.1,-96.6,0.99,7.4,3.3,8.7%,95.6%,-86.9%,1.48,1.5%,59.8,7.0,0.95,77.2,147,101,203
Los Angeles Angels of Anaheim,3.89,12.8,1.8,6421,7.4,107.3,-99.9,1.0,9.4,-2.0,4.9%,67.4%,-62.5%,1.05,-0.6%,36.3,4.6,0.95,75.5,191,106,246
Minnesota Twins,4.8,-95.5,-9.3,6395,-11.6,101.3,-112.9,0.97,-8.5,-3.5,-2.5%,31.4%,-33.9%,0.5,-2.9%,-104.8,-10.0,0.97,-79.0,145,106,240
New York Yankees,4.1,14.2,2.2,6311,6.0,112.1,-106.2,1.05,2.2,3.4,2.4%,71.4%,-69.1%,1.12,0.6%,7.0,1.6,0.94,11.4,183,99,193
Oakland Athletics,3.53,83.6,9.0,6166,5.6,104.0,-98.4,0.99,9.0,-3.3,5.3%,77.2%,-71.9%,1.21,-0.9%,96.6,10.7,0.93,103.1,145,74,222
Seattle Mariners,3.42,82.0,9.0,6201,11.7,106.2,-94.5,1.0,9.9,1.7,7.1%,73.5%,-66.4%,1.17,0.2%,96.8,11.0,0.93,93.4,163,99,236
Tampa Bay Rays,3.86,30.3,3.6,6333,4.5,108.5,-103.9,1.02,7.5,-3.1,-0.3%,26.5%,-26.8%,0.43,-4.0%,41.4,4.9,0.95,79.3,177,93,224
Texas Rangers,4.77,-72.3,-6.6,6396,-6.3,99.3,-105.6,0.93,-8.8,2.0,-2.7%,29.3%,-32.0%,0.46,-0.7%,-103.9,-9.5,0.96,-97.8,137,98,241
Toronto Blue Jays,4.23,-26.0,-2.3,6330,0.0,104.4,-104.4,0.98,-1.6,1.6,-0.7%,67.5%,-68.2%,1.06,1.1%,-18.4,-1.4,0.96,-20.4,135,95,219
League Average,4.14,5.0,1.0,6346,2.0,107.0,-105.0,1.01,1.0,1.0,2%,58%,-56%,0.9,1%,1.0,1.0,0.0,8.0,162,95,225
,4.14,73.1,16.4,95193,29.1,1610.0,-1581.0,1.01,18.9,10.0,29.3%,869.3%,-840.0%,0.9,21.9%,21.7,13.7,0.95,124.9,2425,1431,3371
