Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,5.9,-188.7,-17.4,6437,-16.9,96.3,-113.2,0.91,-15.4,-3.1,-0.2%,16.2%,-16.4%,0.25,1.1%,-217.5,-19.8,0.95,-184.7,154,130,285
Boston Red Sox,4.62,56.5,6.0,6358,4.7,112.9,-108.1,1.01,0.7,4.0,3.9%,100.3%,-96.4%,1.5,2.4%,27.1,3.2,0.96,20.6,197,135,231
Chicago White Sox,3.93,101.5,10.5,6095,8.1,104.2,-96.1,0.99,9.6,-1.3,4.8%,55.4%,-50.6%,0.87,0.0%,107.1,11.1,0.93,115.9,154,131,227
Cleveland Indians,4.49,0.0,0.5,6124,3.2,103.4,-100.2,0.97,2.6,0.8,1.1%,50.8%,-49.7%,0.81,0.4%,12.7,1.7,0.93,22.4,155,111,269
Detroit Tigers,4.67,-15.3,-1.1,6368,3.0,111.2,-108.2,1.02,-5.1,8.0,-0.5%,17.3%,-17.8%,0.27,0.9%,-13.5,-1.0,0.96,-45.1,167,147,263
Houston Astros,4.06,85.9,8.8,6227,9.5,109.4,-99.9,0.99,10.6,-1.1,8.1%,76.8%,-68.8%,1.15,0.8%,109.1,11.4,0.94,124.6,166,119,227
Kansas City Royals,4.86,-7.6,-0.2,6300,-3.2,103.6,-106.8,0.96,-1.3,-2.1,-1.2%,27.7%,-29.0%,0.43,0.0%,-34.8,-2.7,0.96,-10.6,162,119,275
Los Angeles Angels,4.96,-28.9,-2.3,6382,0.5,104.2,-103.7,0.94,-1.0,1.5,-0.9%,31.6%,-32.4%,0.48,-0.6%,-46.7,-3.8,0.96,-14.4,172,119,271
Minnesota Twins,5.15,-92.4,-8.2,6255,-3.0,108.4,-111.3,1.01,-6.5,3.5,-1.5%,16.5%,-18.0%,0.26,-3.1%,-85.2,-7.4,0.93,-73.0,174,137,218
New York Yankees,4.13,80.8,8.3,6206,9.7,117.3,-107.6,1.07,7.8,1.3,8.4%,82.3%,-73.9%,1.24,2.1%,93.1,9.8,0.93,104.5,219,127,166
Oakland Athletics,4.24,23.8,2.7,6211,2.7,108.2,-105.5,0.99,3.6,-0.9,2.1%,83.6%,-81.5%,1.27,-1.3%,48.6,5.4,0.92,52.4,144,123,237
Seattle Mariners,4.62,-25.6,-1.9,6286,7.7,113.2,-105.5,1.01,0.2,7.4,1.9%,69.9%,-68.0%,1.05,1.7%,-1.5,0.6,0.94,8.7,212,145,227
Tampa Bay Rays,4.02,65.5,7.1,6181,11.8,111.0,-99.3,1.01,11.0,0.7,8.5%,72.4%,-63.9%,1.09,1.7%,102.1,11.1,0.91,120.2,180,148,203
Texas Rangers,5.03,-50.5,-4.4,6273,-3.9,97.9,-101.8,0.91,-5.3,1.0,0.0%,18.0%,-18.1%,0.28,0.5%,-60.6,-5.2,0.94,-56.2,130,117,260
Toronto Blue Jays,4.09,89.2,9.2,6073,6.9,101.3,-94.4,0.93,7.1,0.3,3.2%,62.1%,-59.0%,0.96,-1.2%,92.5,9.5,0.92,92.1,158,112,267
League Average,4.58,6.0,1.0,6252,3.0,107.0,-104.0,0.98,1.0,2.0,2%,52%,-50%,0.79,2%,9.0,2.0,0.0,18.0,170,128,242
,4.58,94.2,17.6,93776,40.8,1602.5,-1561.8,0.98,18.5,23.1,37.5%,781.0%,-743.5%,0.79,28.5%,132.6,23.9,0.94,277.4,2544,1920,3626
