Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.36,86.5,8.9,6302,3.3,109.0,-105.6,0.99,5.4,-2.0,-0.5%,95.8%,-96.2%,1.47,-3.1%,49.7,5.1,0.94,67.1,161,65,218
Atlanta Braves,4.8,-45.8,-3.8,6463,-5.6,102.5,-108.2,0.96,-4.0,-1.9,-0.2%,38.8%,-38.9%,0.6,-1.4%,-55.0,-4.7,0.97,-42.7,152,100,293
Chicago Cubs,4.17,109.9,11.3,6388,8.4,113.7,-105.3,1.02,8.1,0.1,5.8%,64.3%,-58.5%,0.95,1.2%,89.9,9.1,0.94,87.0,167,98,213
Cincinnati Reds,4.94,-26.6,-2.0,6554,-5.3,107.7,-112.9,0.98,-11.8,6.4,-2.0%,22.9%,-25.0%,0.35,-0.4%,-59.5,-5.1,0.98,-110.4,141,89,277
Colorado Rockies,5.07,-4.9,0.1,6518,-3.5,108.5,-112.1,0.98,-2.1,-1.5,-2.0%,28.2%,-30.2%,0.44,-3.3%,-55.0,-4.6,0.97,-23.8,159,75,251
Florida Marlins,4.76,-11.9,-0.6,6478,-4.1,110.2,-114.3,1.04,-1.2,-2.6,-3.7%,75.9%,-79.5%,1.2,-2.1%,-35.1,-2.8,0.97,-8.9,197,94,220
Houston Astros,4.61,-20.3,-1.6,6230,0.4,102.4,-102.1,0.95,-2.1,2.5,-3.5%,34.5%,-38.0%,0.55,-5.3%,-30.0,-2.5,0.94,-22.4,146,105,237
Los Angeles Dodgers,4.0,81.5,8.5,6308,6.3,105.0,-98.8,0.98,8.6,-2.2,7.3%,85.0%,-77.7%,1.31,0.8%,82.7,8.7,0.95,98.8,148,105,208
Milwaukee Brewers,4.25,54.7,6.2,6388,3.7,114.8,-111.2,1.06,1.8,1.7,5.8%,115.9%,-110.1%,1.77,2.2%,46.5,5.5,0.96,19.9,163,92,190
New York Mets,4.41,28.5,3.3,6502,0.9,114.3,-113.4,1.04,0.9,-0.1,-1.5%,117.2%,-118.7%,1.8,-1.3%,22.6,2.8,0.96,15.6,205,125,227
Philadelphia Phillies,4.2,74.1,7.7,6426,7.1,114.7,-107.7,1.04,4.5,2.3,7.8%,116.3%,-108.5%,1.76,1.8%,62.5,6.5,0.95,46.9,187,87,194
Pittsburgh Pirates,5.46,-145.9,-13.3,6751,-13.5,108.4,-121.9,0.99,-17.1,3.5,-3.3%,26.3%,-29.6%,0.4,-0.9%,-156.2,-14.2,0.99,-187.7,161,95,241
San Diego Padres,4.72,-103.8,-9.5,6541,-5.7,109.7,-115.5,1.03,-3.7,-1.9,-0.2%,23.0%,-23.2%,0.35,0.2%,-67.1,-6.3,0.97,-41.1,168,91,232
San Francisco Giants,4.69,4.9,1.1,6556,-0.8,113.0,-113.8,1.04,-2.3,1.5,-0.6%,29.7%,-30.3%,0.45,-0.9%,-19.1,-1.0,0.98,-11.4,178,85,215
St. Louis Cardinals,4.48,10.6,1.4,6413,-1.0,115.4,-116.3,1.05,-2.5,1.6,-2.0%,94.0%,-96.0%,1.42,-0.1%,8.3,1.2,0.96,-18.1,182,110,214
Washington Nationals,5.12,-63.1,-5.8,6545,-10.7,107.6,-118.2,1.01,-10.6,0.0,-1.1%,17.2%,-18.3%,0.27,-1.0%,-103.4,-9.6,0.97,-107.1,170,89,258
League Average,4.63,2.0,1.0,6460,-1.0,110.0,-111.0,1.01,-2.0,1.0,0%,62%,-61%,0.94,1%,-14.0,-1.0,0.0,-15.0,168,94,230
,4.63,28.6,11.9,103363,-20.2,1756.9,-1777.1,1.01,-28.3,8.3,6.3%,985.0%,-978.7%,0.94,10.3%,-218.1,-11.9,0.96,-238.4,2685,1505,3688
