Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.18,126.7,13.5,6311,14.0,113.4,-99.4,1.0,8.4,5.6,15.8%,110.4%,-94.6%,1.6,4.4%,119.2,12.6,0.9,113.7,148,73,200
Atlanta Braves,3.97,132.8,13.6,6303,12.6,110.9,-98.3,1.0,10.6,2.0,12.4%,106.8%,-94.4%,1.62,1.5%,125.8,12.8,0.93,127.6,145,81,185
Chicago Cubs,4.33,23.1,2.6,6362,4.1,110.3,-106.2,1.01,2.8,1.3,1.3%,94.9%,-93.6%,1.44,-0.5%,40.8,4.5,0.95,39.8,172,87,193
Cincinnati Reds,5.25,-32.9,-2.8,6537,-7.6,106.6,-114.3,0.96,-7.7,-0.3,-1.2%,20.4%,-21.5%,0.31,-1.2%,-69.2,-6.0,0.94,-73.9,136,104,221
Colorado Rockies,5.59,11.3,1.3,6494,-12.5,101.2,-113.6,0.92,-8.8,-4.7,-4.6%,30.9%,-35.5%,0.47,-5.9%,-80.2,-6.7,0.93,-89.3,130,99,247
Florida Marlins,4.59,-7.1,-0.3,6396,-2.6,108.6,-111.2,1.0,-0.8,-1.8,-1.8%,42.0%,-43.8%,0.65,-2.1%,-9.4,-0.5,0.96,-6.7,142,74,214
Houston Astros,4.75,41.7,4.9,6409,5.9,114.4,-108.5,1.0,-1.7,7.6,7.7%,88.4%,-80.7%,1.27,6.8%,21.4,3.0,0.92,-4.9,144,84,177
Los Angeles Dodgers,4.59,-44.5,-3.9,6395,1.8,116.2,-114.4,1.07,-0.5,2.2,-0.3%,98.7%,-99.0%,1.53,-0.1%,-8.3,-0.3,0.94,-6.6,146,87,175
Milwaukee Brewers,4.98,-55.6,-5.0,6533,-7.0,101.9,-108.9,0.95,-8.5,1.1,0.3%,36.2%,-35.9%,0.55,2.6%,-63.2,-5.7,0.97,-95.0,135,89,265
Montreal Expos,5.01,-33.4,-2.9,6473,-3.9,103.2,-107.1,0.94,-5.5,1.3,-0.3%,18.4%,-18.8%,0.28,1.1%,-57.7,-5.1,0.96,-48.4,122,89,280
New York Mets,4.4,15.5,1.9,6349,6.2,110.4,-104.1,1.01,3.8,2.3,-0.6%,24.0%,-24.5%,0.37,-3.8%,27.3,3.2,0.93,40.2,151,70,176
Philadelphia Phillies,4.44,19.9,2.1,6340,2.9,114.2,-111.3,1.05,1.5,1.3,0.3%,113.0%,-112.7%,1.74,-0.2%,27.5,2.9,0.95,21.5,194,97,182
Pittsburgh Pirates,5.3,-70.2,-6.4,6413,-10.9,99.3,-110.3,0.94,-6.3,-5.4,-1.7%,11.9%,-13.6%,0.19,-6.4%,-102.1,-9.2,0.96,-57.2,124,90,196
San Diego Padres,5.01,-104.3,-9.4,6475,-7.8,102.4,-110.2,0.93,-11.6,3.2,-4.0%,28.3%,-32.3%,0.44,-5.1%,-85.8,-8.0,0.96,-113.5,133,74,215
San Francisco Giants,4.62,-39.3,-3.4,6462,5.2,115.8,-110.6,1.04,-0.1,5.1,4.4%,114.4%,-110.1%,1.72,2.8%,-2.5,0.2,0.97,-1.8,154,102,183
St. Louis Cardinals,4.22,63.7,7.0,6278,8.8,108.4,-99.6,0.97,2.6,6.4,7.6%,79.9%,-72.3%,1.19,4.4%,75.8,8.4,0.94,36.7,135,105,244
League Average,4.7,3.0,1.0,6408,1.0,109.0,-108.0,0.99,-1.0,2.0,2%,64%,-61%,0.96,2%,-3.0,0.0,0.0,-7.0,144,88,210
,4.7,47.3,12.8,102530,9.1,1737.2,-1728.1,0.99,-21.7,31.0,35.2%,1018.4%,-983.3%,0.96,38.7%,-40.3,6.2,0.94,-117.8,2311,1405,3353
