Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.83,0.4,0.5,6487,-4.8,107.2,-112.0,0.99,-5.0,0.1,-0.7%,16.8%,-17.4%,0.26,-0.8%,-45.7,-3.9,0.96,-40.2,139,103,241
Atlanta Braves,3.96,86.3,9.4,6415,8.0,118.1,-110.0,1.07,7.2,0.3,3.0%,66.3%,-63.3%,1.01,-1.1%,85.7,9.6,0.96,73.4,184,83,221
Chicago Cubs,4.17,93.2,9.8,6392,8.4,111.0,-102.6,1.02,5.2,3.1,3.6%,64.9%,-61.3%,0.99,0.9%,67.8,6.9,0.95,57.5,170,93,217
Cincinnati Reds,4.46,10.4,1.4,6433,4.1,110.9,-106.8,1.01,-1.7,5.8,0.5%,43.4%,-42.9%,0.67,3.7%,4.8,0.8,0.97,-17.9,178,95,205
Colorado Rockies,4.41,76.6,7.9,6371,8.5,109.8,-101.3,0.99,5.3,3.2,8.7%,90.0%,-81.3%,1.35,3.1%,42.7,4.3,0.96,65.4,171,91,222
Florida Marlins,4.73,-9.1,-0.3,6528,-1.6,108.9,-110.5,1.01,-1.8,0.2,-2.4%,63.6%,-66.0%,0.99,-1.2%,-37.0,-2.9,0.97,-25.1,172,123,235
Houston Astros,4.75,-61.7,-5.4,6386,-4.8,103.5,-108.3,0.97,-8.3,3.4,-2.0%,33.5%,-35.5%,0.53,-0.6%,-63.7,-5.6,0.97,-80.5,153,100,244
Los Angeles Dodgers,3.77,99.4,10.2,6410,9.3,116.2,-106.9,1.08,10.9,-2.2,7.5%,63.9%,-56.4%,0.98,1.1%,106.5,11.3,0.95,110.0,187,116,223
Milwaukee Brewers,5.05,-107.4,-9.9,6529,-9.2,104.6,-113.8,0.96,-13.3,3.8,-5.4%,54.1%,-59.5%,0.83,0.7%,-108.9,-10.0,0.97,-141.6,151,119,242
New York Mets,4.67,-56.7,-5.2,6441,-6.9,107.5,-114.3,1.01,-5.7,-1.0,-1.9%,48.7%,-50.6%,0.76,-0.2%,-56.3,-5.2,0.98,-67.1,156,102,253
Philadelphia Phillies,4.38,17.6,2.1,6440,-0.4,110.9,-111.3,1.01,-1.7,1.3,1.8%,79.7%,-77.8%,1.2,2.6%,18.7,2.3,0.95,-19.9,149,96,214
Pittsburgh Pirates,4.77,-59.1,-5.5,6369,-10.2,99.2,-109.4,0.94,-7.8,-3.0,-1.3%,24.3%,-25.6%,0.38,-1.8%,-67.9,-6.4,0.96,-84.8,120,99,237
San Diego Padres,4.75,-104.8,-9.5,6488,-4.6,107.0,-111.5,1.0,-6.8,2.3,-2.0%,25.3%,-27.3%,0.4,-1.7%,-80.6,-7.4,0.97,-76.2,183,88,257
San Francisco Giants,3.77,115.0,12.3,6323,13.6,112.9,-99.3,1.04,8.6,4.5,10.0%,90.1%,-80.1%,1.37,2.5%,111.9,12.1,0.95,99.4,165,81,211
St. Louis Cardinals,3.95,67.7,7.7,6234,6.9,109.2,-102.3,1.02,8.4,-1.6,5.7%,78.5%,-72.8%,1.21,-0.3%,68.9,8.4,0.95,86.5,140,100,241
Washington Nationals,5.4,-124.7,-12.0,6575,-17.8,109.4,-127.2,1.03,-14.0,-3.3,-3.7%,10.0%,-13.8%,0.17,-18.1%,-167.9,-15.8,0.98,-155.9,181,110,241
League Average,4.49,3.0,1.0,6426,-0.0,109.0,-109.0,1.01,-1.0,1.0,1%,53%,-52%,0.82,2%,-8.0,-0.0,0.0,-14.0,162,100,232
,4.49,43.2,13.5,102821,-1.4,1746.3,-1747.8,1.01,-20.5,19.2,21.4%,853.0%,-831.6%,0.82,28.6%,-121.1,-1.7,0.96,-216.9,2599,1599,3704
