Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.07,143.4,14.7,6274,11.8,110.1,-98.2,0.99,8.6,3.3,6.7%,59.0%,-52.3%,0.89,2.5%,113.1,11.2,0.93,112.5,173,126,214
Atlanta Braves,5.07,-59.2,-5.3,6527,-7.1,104.7,-111.8,0.96,-6.4,-1.0,-2.6%,30.2%,-32.8%,0.46,-2.4%,-84.7,-7.7,0.96,-68.7,156,113,261
Chicago Cubs,4.29,68.8,7.1,6369,9.2,105.5,-96.3,0.95,6.8,2.9,7.8%,89.1%,-81.3%,1.34,1.8%,62.7,6.7,0.93,70.3,177,94,260
Cincinnati Reds,5.36,-95.1,-8.6,6493,-7.0,95.1,-102.1,0.86,-12.6,4.5,-2.2%,26.8%,-29.0%,0.4,1.2%,-126.1,-11.3,0.95,-123.9,117,98,289
Colorado Rockies,4.67,83.0,8.4,6370,8.5,108.2,-99.8,0.95,-0.3,9.2,7.0%,71.3%,-64.3%,1.04,6.9%,47.0,4.4,0.94,26.5,165,122,262
Los Angeles Dodgers,3.58,132.5,13.6,6108,16.2,106.7,-90.5,0.96,13.0,3.9,8.0%,41.6%,-33.5%,0.62,5.4%,156.9,16.6,0.91,149.2,154,141,241
Miami Marlins,5.07,-142.8,-13.2,6490,-8.4,104.8,-113.3,0.98,-9.1,0.5,-2.3%,26.1%,-28.4%,0.4,-3.0%,-115.3,-11.2,0.97,-104.3,167,139,274
Milwaukee Brewers,4.3,64.4,6.8,6393,5.6,117.7,-112.1,1.05,2.6,2.8,4.8%,103.2%,-98.3%,1.53,1.9%,54.8,5.8,0.94,33.6,193,143,214
New York Mets,5.33,-144.7,-13.4,6565,-8.9,101.8,-110.7,0.95,-9.9,0.5,-2.3%,28.4%,-30.7%,0.44,-1.3%,-150.0,-14.3,0.98,-124.9,180,93,295
Philadelphia Phillies,4.83,-35.2,-2.9,6430,-6.4,106.2,-112.6,0.97,-6.9,0.3,-2.2%,16.6%,-18.8%,0.26,-6.0%,-48.6,-4.0,0.94,-75.0,174,89,243
Pittsburgh Pirates,4.51,7.6,1.1,6400,-0.9,107.9,-108.9,0.98,-2.7,1.8,-1.3%,41.1%,-42.4%,0.62,-0.6%,3.7,0.8,0.96,-31.2,158,107,237
San Diego Padres,5.04,-79.6,-7.1,6366,-3.1,104.5,-107.7,0.95,-7.9,4.6,-1.1%,13.9%,-15.0%,0.21,-3.1%,-88.5,-7.9,0.95,-89.4,158,125,234
San Francisco Giants,4.79,-33.5,-3.0,6466,-2.7,109.1,-111.8,0.99,-2.5,-0.3,-0.2%,15.2%,-15.4%,0.23,-0.1%,-30.8,-2.7,0.95,-39.4,176,89,237
St. Louis Cardinals,4.35,33.3,3.5,6289,4.4,111.4,-107.0,1.02,5.7,-1.5,0.7%,68.3%,-67.7%,1.06,-2.9%,37.6,4.0,0.94,50.3,175,114,257
Washington Nationals,4.15,96.2,10.8,6242,12.6,111.2,-98.6,0.99,8.2,4.6,3.4%,47.1%,-43.6%,0.71,0.0%,81.3,9.3,0.92,82.1,151,112,224
League Average,4.63,3.0,1.0,6385,2.0,107.0,-105.0,0.97,-1.0,3.0,2%,45%,-44%,0.68,2%,-6.0,-0.0,0.0,-9.0,165,114,249
,4.63,38.9,12.7,95782,23.8,1605.1,-1581.4,0.97,-13.3,37.8,24.2%,677.7%,-653.5%,0.68,33.0%,-87.0,-0.1,0.94,-132.2,2474,1705,3742
