Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Baltimore Orioles,4.19,42.0,4.5,6272,9.6,116.4,-106.8,1.04,3.3,5.9,6.1%,74.9%,-68.8%,1.12,3.4%,63.4,6.8,0.94,55.0,203,152,205
Boston Red Sox,4.79,8.6,1.2,6361,0.0,103.1,-103.1,0.93,-1.7,1.7,-0.9%,40.7%,-41.5%,0.62,-0.1%,-15.9,-1.1,0.95,-18.1,150,140,224
Chicago White Sox,5.19,-60.5,-5.6,6582,-5.3,110.1,-115.5,1.01,-6.1,0.8,-1.1%,20.1%,-21.2%,0.31,-2.5%,-81.4,-7.4,0.97,-75.7,186,109,226
Cleveland Guardians,4.3,31.7,3.7,6415,0.7,117.1,-116.4,1.07,3.6,-2.9,0.4%,50.1%,-49.7%,0.76,-2.1%,45.7,5.4,0.94,38.4,189,147,209
Detroit Tigers,4.57,29.3,3.6,6230,7.5,107.3,-99.8,0.97,5.5,2.4,0.9%,28.8%,-27.9%,0.44,0.3%,20.9,2.8,0.93,56.8,164,133,238
Houston Astros,4.31,39.7,4.2,6320,5.8,108.5,-102.7,0.98,1.8,4.1,7.8%,108.2%,-100.4%,1.63,3.7%,53.0,5.6,0.94,18.6,151,129,233
Kansas City Royals,5.3,-101.8,-9.5,6351,-14.4,97.7,-112.0,0.94,-7.4,-7.9,-1.3%,7.2%,-8.5%,0.12,-9.5%,-127.8,-11.8,0.96,-74.0,136,122,268
Los Angeles Angels,5.12,-35.7,-3.1,6508,-4.7,115.7,-120.4,1.05,-6.3,1.8,-0.8%,49.7%,-50.5%,0.75,0.6%,-71.2,-6.3,0.97,-69.0,168,143,180
Minnesota Twins,4.07,78.8,8.2,6203,10.4,111.5,-101.1,1.01,11.5,-1.2,4.6%,59.3%,-54.7%,0.91,-1.6%,112.5,11.7,0.93,125.7,186,107,197
New York Yankees,4.31,56.6,6.4,6294,8.5,106.5,-98.1,0.96,5.9,3.0,3.0%,44.4%,-41.5%,0.67,1.2%,62.0,7.0,0.93,69.2,181,116,206
Oakland Athletics,5.7,-221.9,-20.6,6620,-16.5,104.2,-120.8,0.99,-20.1,3.4,-2.8%,6.4%,-9.2%,0.11,-19.0%,-214.3,-20.3,1.0,-215.3,171,130,231
Seattle Mariners,4.07,51.6,5.5,6189,9.1,109.3,-100.2,1.01,7.5,1.5,2.8%,79.0%,-76.2%,1.23,-1.9%,79.3,8.6,0.92,81.9,183,136,231
Tampa Bay Rays,4.1,56.6,6.4,6184,6.9,104.8,-97.9,0.96,8.7,-1.5,4.0%,66.0%,-62.0%,1.01,-1.6%,77.5,8.7,0.92,93.7,166,152,218
Texas Rangers,4.42,41.9,4.5,6198,3.3,104.9,-101.7,0.98,7.5,-4.2,3.5%,99.0%,-95.5%,1.54,-2.1%,38.6,4.3,0.93,74.9,160,96,211
Toronto Blue Jays,4.14,73.2,7.7,6314,12.6,117.4,-104.9,1.04,6.0,6.0,7.9%,74.4%,-66.5%,1.1,3.5%,86.6,9.2,0.94,80.6,193,122,235
League Average,4.57,6.0,1.0,6336,2.0,109.0,-107.0,1.0,1.0,1.0,2%,54%,-52%,0.82,1%,9.0,2.0,0.0,16.0,172,129,221
,4.57,90.0,17.0,95041,33.5,1634.6,-1601.2,1.0,19.6,13.9,34.2%,808.2%,-774.1%,0.82,18.6%,128.9,23.2,0.94,242.6,2587,1934,3312
