Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.23,121.3,12.6,6427,14.0,116.0,-102.0,1.03,8.5,5.1,6.6%,54.5%,-47.9%,0.81,2.3%,97.9,9.9,0.95,92.6,164,89,199
Atlanta Braves,4.57,23.3,2.5,6444,6.4,106.4,-100.0,0.96,3.4,3.3,3.7%,40.8%,-37.1%,0.61,4.7%,12.1,1.5,0.95,30.5,157,110,222
Chicago Cubs,4.22,77.7,8.5,6409,11.9,113.3,-101.4,1.01,6.9,4.8,12.0%,117.6%,-105.7%,1.77,2.8%,75.1,8.3,0.96,84.8,144,62,214
Cincinnati Reds,5.47,-158.1,-14.3,6573,-10.8,107.9,-118.7,0.98,-14.9,3.9,-4.4%,30.9%,-35.3%,0.47,-1.8%,-155.7,-14.3,0.97,-159.5,149,98,228
Colorado Rockies,5.51,-31.5,-2.8,6552,-8.8,102.0,-110.8,0.93,-9.4,-0.1,-3.6%,37.4%,-41.0%,0.57,-2.8%,-106.2,-9.2,0.97,-100.9,131,102,267
Florida Marlins,4.27,34.9,3.9,6343,11.8,109.7,-97.9,0.98,6.0,6.1,9.2%,85.5%,-76.3%,1.27,3.5%,50.3,5.7,0.95,51.8,115,63,217
Houston Astros,4.18,82.5,8.4,6356,8.8,112.2,-103.4,1.02,7.0,1.6,8.5%,115.1%,-106.7%,1.74,0.6%,85.4,8.7,0.95,83.7,169,123,210
Los Angeles Dodgers,3.43,152.7,15.8,6239,20.6,117.8,-97.2,1.05,14.8,4.8,11.8%,70.4%,-58.5%,1.05,1.8%,177.6,18.9,0.93,167.3,166,97,175
Milwaukee Brewers,5.39,-113.2,-10.4,6665,-11.8,109.9,-121.7,1.0,-14.3,2.5,-1.9%,13.3%,-15.2%,0.2,-4.7%,-130.6,-12.0,0.97,-156.9,160,66,234
Montreal Expos,4.42,68.6,7.3,6328,5.4,112.6,-107.2,1.03,3.5,1.7,0.4%,66.4%,-65.9%,1.02,-0.7%,40.8,4.5,0.95,40.8,165,89,183
New York Mets,4.68,-38.1,-3.0,6415,-4.0,107.0,-111.0,1.01,-5.9,1.8,-1.6%,18.7%,-20.2%,0.3,-0.6%,-35.2,-2.7,0.97,-59.2,127,84,201
Philadelphia Phillies,4.3,-4.9,-0.3,6401,2.5,105.0,-102.5,0.98,1.4,1.2,-1.7%,105.0%,-106.7%,1.65,-2.1%,19.9,2.3,0.96,13.9,140,89,208
Pittsburgh Pirates,4.94,-36.7,-3.2,6455,-3.2,111.7,-114.9,1.01,-3.9,0.7,-0.3%,25.0%,-25.3%,0.37,1.5%,-47.8,-4.2,0.96,-39.7,158,104,195
San Diego Padres,5.13,-151.7,-13.9,6502,-13.6,104.4,-118.0,1.0,-13.2,-0.5,-2.1%,12.2%,-14.3%,0.2,-5.8%,-119.7,-11.4,0.97,-129.3,158,87,228
San Francisco Giants,3.96,83.9,9.0,6267,13.4,112.7,-99.3,1.03,9.1,3.9,7.3%,56.3%,-49.0%,0.86,3.4%,106.4,11.5,0.94,102.4,177,90,194
St. Louis Cardinals,4.91,-72.8,-6.7,6521,-4.8,108.8,-113.6,0.99,-7.1,2.3,-5.6%,87.7%,-93.3%,1.34,0.0%,-47.6,-4.3,0.94,-73.4,152,93,215
League Average,4.6,2.0,1.0,6431,2.0,110.0,-107.0,1.0,-0.0,3.0,2%,59%,-56%,0.88,2%,1.0,1.0,0.0,-3.0,152,90,212
,4.6,38.0,13.3,102897,37.8,1757.5,-1719.7,1.0,-7.9,45.7,38.3%,936.7%,-898.4%,0.88,38.6%,22.8,13.3,0.96,-50.8,2432,1446,3390
