Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Anaheim Angels,3.98,123.7,12.3,6284,12.7,113.5,-100.7,1.01,10.3,2.3,11.8%,92.4%,-80.6%,1.37,2.5%,140.8,14.1,0.93,136.0,164,90,146
Baltimore Orioles,4.77,-21.9,-1.6,6475,-3.2,110.5,-113.7,0.99,-2.3,-0.9,-0.2%,24.1%,-24.3%,0.35,-1.0%,-7.2,-0.2,0.94,-23.4,141,81,185
Boston Red Sox,4.1,124.7,13.1,6267,8.5,103.7,-95.2,0.95,13.0,-4.0,5.0%,73.3%,-68.3%,1.12,-2.9%,120.2,12.6,0.93,149.6,121,56,161
Chicago White Sox,4.93,-13.0,-0.8,6330,-2.9,97.8,-100.7,0.91,2.5,-5.7,-3.4%,36.9%,-40.3%,0.59,-4.7%,-29.9,-2.3,0.94,16.4,127,82,214
Cleveland Indians,5.17,-77.5,-6.5,6516,-6.7,99.5,-106.2,0.93,-4.4,-2.8,-0.8%,31.0%,-31.8%,0.48,1.0%,-76.5,-6.2,0.97,-50.3,119,89,213
Detroit Tigers,5.37,-120.2,-10.7,6409,-11.4,107.0,-118.4,1.01,-8.9,-2.4,-2.0%,10.5%,-12.5%,0.17,-9.8%,-130.0,-11.7,0.97,-101.8,121,67,184
Kansas City Royals,5.5,-26.8,-2.2,6586,-10.2,109.4,-119.5,0.99,-9.5,-0.7,-1.7%,13.4%,-15.1%,0.2,-6.3%,-81.1,-6.9,0.96,-88.1,137,91,193
Minnesota Twins,4.42,61.2,6.2,6290,12.1,115.7,-103.6,1.03,6.0,5.8,3.7%,52.4%,-48.7%,0.79,1.5%,66.4,6.8,0.93,78.1,161,98,176
New York Yankees,4.33,82.6,8.3,6367,12.4,112.2,-99.8,1.0,9.2,3.2,4.8%,61.7%,-56.9%,0.94,1.0%,86.7,8.8,0.93,111.7,125,70,139
Oakland Athletics,4.04,106.3,10.9,6316,14.5,118.9,-104.4,1.06,11.3,2.4,10.8%,77.8%,-67.0%,1.16,2.6%,122.7,12.9,0.95,136.3,166,83,159
Seattle Mariners,4.31,37.5,4.3,6262,7.3,108.3,-101.0,0.99,8.0,-0.6,5.2%,81.3%,-76.1%,1.23,-0.6%,66.2,7.3,0.93,96.3,133,70,140
Tampa Bay Devil Rays,5.7,-136.3,-12.7,6654,-16.0,108.9,-124.9,1.0,-14.5,-1.5,-1.7%,12.8%,-14.5%,0.2,-6.0%,-154.0,-14.3,0.97,-165.4,107,55,144
Texas Rangers,5.44,-54.1,-4.7,6652,-10.8,113.9,-124.7,1.04,-9.1,-1.3,-2.5%,18.2%,-20.6%,0.28,-6.6%,-85.8,-7.4,0.96,-101.4,191,108,188
Toronto Blue Jays,5.11,-25.3,-1.8,6566,-3.7,113.9,-117.6,1.04,-2.8,-0.7,-2.7%,13.0%,-15.8%,0.22,-10.6%,-38.3,-3.0,0.97,-17.5,157,99,205
League Average,4.8,4.0,1.0,6427,0.0,110.0,-109.0,1.0,1.0,-0.0,2%,43%,-41%,0.64,2%,0.0,1.0,0.0,13.0,141,81,175
,4.8,60.9,14.3,89974,2.6,1533.0,-1530.5,1.0,8.7,-6.1,26.5%,598.9%,-572.4%,0.64,22.9%,0.2,10.5,0.95,176.5,1970,1139,2447
