Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.4,14.1,1.8,6431,0.0,108.9,-108.8,0.99,-3.6,3.6,-1.5%,39.4%,-40.8%,0.6,-0.7%,-14.6,-1.1,0.95,-34.8,181,115,254
Atlanta Braves,4.69,-88.6,-8.5,6350,-7.1,105.5,-112.6,1.0,-11.2,4.1,-1.2%,44.1%,-45.3%,0.7,2.7%,-110.7,-10.8,0.98,-125.1,196,98,238
Chicago Cubs,3.75,69.4,7.9,6258,11.0,110.3,-99.2,1.02,9.2,1.6,4.6%,61.3%,-56.7%,0.96,-0.2%,62.4,7.4,0.93,90.9,207,119,226
Cincinnati Reds,4.65,-55.7,-5.0,6481,-5.9,108.9,-114.8,1.02,-7.5,1.7,-0.2%,26.9%,-27.1%,0.42,-0.7%,-84.2,-7.7,0.97,-75.5,173,96,252
Colorado Rockies,5.21,-44.4,-4.2,6513,-15.1,103.8,-118.9,0.97,-15.8,0.3,-3.4%,23.6%,-26.9%,0.37,-3.1%,-130.0,-11.7,0.96,-166.6,181,127,276
Los Angeles Dodgers,3.67,46.6,6.3,6141,7.8,105.0,-97.2,1.0,9.5,-1.7,6.9%,80.9%,-74.1%,1.29,-0.3%,57.7,7.9,0.92,87.4,185,101,229
Miami Marlins,4.19,-27.2,-2.5,6219,-6.3,101.2,-107.5,0.99,-1.5,-4.8,-2.1%,19.4%,-21.5%,0.32,-7.2%,-29.9,-2.8,0.97,-22.8,157,88,241
Milwaukee Brewers,4.55,-46.4,-4.2,6385,-6.2,97.6,-103.8,0.92,-7.9,1.2,-1.5%,8.6%,-10.1%,0.14,-8.9%,-70.3,-6.6,0.96,-85.6,124,93,279
New York Mets,3.78,59.4,6.8,6200,8.8,108.1,-99.3,1.01,8.0,0.7,7.4%,79.1%,-71.7%,1.23,1.3%,53.3,6.4,0.93,83.1,159,106,220
Philadelphia Phillies,4.99,-133.7,-12.4,6536,-11.7,100.0,-111.7,0.94,-14.9,2.5,-1.4%,13.4%,-14.8%,0.21,-2.0%,-154.6,-14.6,0.98,-176.5,140,86,277
Pittsburgh Pirates,3.68,103.5,11.2,6483,15.3,121.4,-106.1,1.08,8.7,5.4,8.2%,72.1%,-63.9%,1.07,2.5%,91.5,10.1,0.96,92.1,180,120,200
San Diego Padres,4.51,-69.2,-6.5,6358,-3.3,99.6,-103.0,0.93,-4.9,1.3,-1.1%,35.8%,-37.0%,0.56,-0.1%,-76.6,-7.3,0.95,-79.6,162,95,259
San Francisco Giants,3.87,30.5,3.4,6188,3.5,103.4,-99.9,0.97,3.9,-0.3,2.7%,72.0%,-69.2%,1.12,0.4%,42.4,4.8,0.93,34.4,179,124,254
St. Louis Cardinals,3.24,159.2,17.1,6294,20.7,122.8,-102.1,1.1,9.2,9.6,12.6%,69.5%,-56.8%,1.04,6.4%,157.0,16.9,0.95,103.3,189,129,197
Washington Nationals,3.92,52.1,5.6,6107,1.5,103.3,-101.7,0.99,4.8,-3.3,-0.2%,67.4%,-67.7%,1.08,-2.0%,35.8,4.1,0.93,54.8,176,90,202
League Average,4.21,5.0,1.0,6330,1.0,107.0,-106.0,1.0,-1.0,2.0,2%,48%,-46%,0.73,2%,-11.0,-0.0,0.0,-15.0,173,106,240
,4.21,69.7,16.8,94944,13.1,1599.9,-1586.8,1.0,-13.9,27.1,29.9%,713.4%,-683.5%,0.73,30.7%,-170.8,-5.0,0.95,-220.5,2589,1587,3604
