Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,3.98,81.9,9.1,6312,3.5,114.8,-111.3,1.06,5.1,-1.8,1.6%,103.7%,-102.1%,1.6,-2.0%,80.6,8.9,0.94,61.3,217,121,235
Atlanta Braves,4.06,56.4,6.3,6386,6.5,112.0,-105.5,1.02,6.0,0.3,5.7%,93.4%,-87.6%,1.42,0.4%,50.7,5.7,0.96,57.0,183,126,244
Chicago Cubs,3.96,86.6,9.2,6460,13.2,113.8,-100.6,0.99,7.0,6.3,12.0%,99.0%,-87.0%,1.44,4.1%,78.9,8.5,0.95,61.9,219,129,252
Cincinnati Reds,5.06,-79.3,-7.3,6449,-7.5,98.9,-106.4,0.9,-12.2,3.9,-1.2%,7.6%,-8.8%,0.12,-4.7%,-114.0,-10.4,0.96,-132.6,145,119,280
Colorado Rockies,4.57,59.8,6.6,6370,3.6,112.6,-109.0,1.03,2.7,0.8,4.5%,113.5%,-109.0%,1.7,1.0%,14.4,1.8,0.93,30.6,176,120,222
Los Angeles Dodgers,3.74,82.1,8.9,6261,8.1,111.8,-103.7,1.01,10.9,-2.8,11.9%,110.7%,-98.9%,1.65,0.6%,97.5,10.9,0.92,119.3,186,146,260
Miami Marlins,5.02,-145.0,-14.3,6406,-7.0,101.9,-108.9,0.96,-7.7,0.4,-1.2%,11.1%,-12.3%,0.18,-4.2%,-133.3,-13.4,0.96,-111.6,169,117,260
Milwaukee Brewers,4.04,57.1,6.3,6296,7.2,110.8,-103.7,1.02,8.5,-1.5,9.3%,103.9%,-94.6%,1.58,0.7%,55.5,6.1,0.94,76.7,183,138,238
New York Mets,4.36,-55.5,-4.3,6392,3.3,111.0,-107.8,1.03,0.7,2.5,-1.1%,31.3%,-32.5%,0.49,0.2%,-30.4,-1.6,0.94,-21.6,161,118,222
Philadelphia Phillies,4.49,-4.5,0.2,6396,4.6,110.1,-105.5,1.0,0.0,4.6,3.8%,87.6%,-83.7%,1.32,2.3%,-23.4,-1.5,0.94,-8.1,185,149,262
Pittsburgh Pirates,4.3,-13.4,-1.0,6345,2.5,106.4,-104.0,0.99,-0.6,3.1,-1.3%,43.4%,-44.6%,0.68,-1.1%,-9.7,-0.4,0.97,-18.5,147,100,233
San Diego Padres,4.73,-91.9,-8.6,6459,-5.3,106.0,-111.4,0.98,-4.7,-0.8,-1.0%,16.3%,-17.3%,0.25,-3.0%,-83.8,-8.0,0.95,-59.3,179,103,253
San Francisco Giants,4.31,-26.6,-2.2,6365,0.8,112.6,-111.8,1.04,-2.2,3.0,0.4%,51.1%,-50.8%,0.79,1.2%,-15.8,-1.1,0.95,-16.5,215,96,238
St. Louis Cardinals,4.27,-0.8,0.3,6416,0.4,108.7,-108.4,1.02,-0.4,0.8,-0.1%,82.8%,-82.8%,1.3,-0.1%,2.3,0.7,0.97,-1.1,163,145,257
Washington Nationals,4.21,42.7,4.9,6270,2.9,105.5,-102.5,0.97,5.2,-2.1,2.1%,53.2%,-51.0%,0.81,-0.3%,34.7,4.2,0.93,44.8,175,121,267
League Average,4.34,3.0,1.0,6372,2.0,109.0,-107.0,1.0,1.0,1.0,3%,67%,-64%,1.02,2%,0.0,1.0,0.0,5.0,180,123,248
,4.34,49.7,14.3,95583,36.7,1637.0,-1600.4,1.0,18.2,18.4,45.6%,1008.6%,-963.0%,1.02,29.6%,4.2,10.6,0.95,82.4,2703,1848,3723
