Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
Arizona Diamondbacks,4.29,-3.0,-0.1,6500,-0.5,117.1,-117.7,1.08,-2.8,2.3,-1.5%,74.9%,-76.5%,1.15,0.5%,-28.8,-2.6,0.95,-46.6,205,84,238
Atlanta Braves,3.38,96.8,10.6,6173,9.4,105.9,-96.5,0.99,7.5,2.1,3.6%,53.8%,-50.2%,0.84,0.0%,101.5,11.1,0.94,79.1,154,103,209
Chicago Cubs,4.25,-14.6,-1.3,6375,-7.6,106.8,-114.4,1.03,-3.4,-4.0,-1.9%,15.9%,-17.7%,0.26,-7.1%,-40.8,-3.8,0.96,-39.6,151,98,240
Cincinnati Reds,3.64,71.7,7.9,6257,8.3,108.2,-99.9,1.0,4.5,3.8,5.6%,76.0%,-70.4%,1.17,2.1%,69.4,7.6,0.92,38.8,167,83,211
Colorado Rockies,4.69,7.2,1.4,6468,-5.5,104.8,-110.3,0.99,-5.6,0.1,-2.0%,47.2%,-49.3%,0.74,-1.6%,-69.7,-6.1,0.97,-71.8,165,93,245
Los Angeles Dodgers,3.59,48.4,6.2,6234,8.0,108.9,-100.9,1.03,6.0,1.7,5.5%,46.9%,-41.5%,0.72,4.1%,50.3,7.0,0.96,43.3,176,108,220
Miami Marlins,3.99,28.7,3.7,6363,2.6,111.7,-109.1,1.05,1.3,1.1,-0.7%,7.9%,-8.6%,0.13,-4.7%,6.5,1.5,0.95,11.8,176,90,205
Milwaukee Brewers,4.24,-4.1,0.0,6299,-8.0,100.3,-108.3,0.98,-3.1,-5.1,-3.6%,14.9%,-18.5%,0.25,-11.3%,-37.1,-3.2,0.96,-33.4,156,104,241
New York Mets,4.22,-41.0,-3.7,6437,-3.5,109.3,-112.9,1.06,-1.1,-2.3,-2.8%,20.4%,-23.2%,0.34,-7.7%,-47.7,-4.4,0.96,-29.8,202,88,244
Philadelphia Phillies,4.62,-90.9,-8.7,6416,-5.1,101.2,-106.3,0.97,-8.7,3.4,-1.8%,32.7%,-34.5%,0.52,0.7%,-114.4,-11.1,0.98,-110.4,152,57,257
Pittsburgh Pirates,3.56,53.9,6.2,6376,13.2,111.4,-98.2,1.03,7.6,5.2,8.4%,81.7%,-73.3%,1.27,2.3%,59.1,7.1,0.96,60.8,165,98,202
San Diego Padres,4.32,-100.1,-9.6,6393,-4.7,102.5,-107.2,0.98,-6.0,1.2,-3.4%,28.9%,-32.3%,0.46,-3.5%,-81.7,-8.1,0.97,-69.3,161,99,228
San Francisco Giants,4.27,-91.5,-8.5,6367,-8.1,105.3,-113.4,1.03,-4.7,-3.1,-5.1%,43.2%,-48.3%,0.71,-4.2%,-73.9,-7.0,0.97,-54.7,196,108,220
St. Louis Cardinals,3.68,57.1,6.5,6209,7.4,104.0,-96.5,0.97,7.1,0.6,6.5%,81.4%,-74.8%,1.27,0.7%,56.6,6.7,0.95,64.8,159,90,234
Washington Nationals,3.86,32.5,3.8,6225,4.4,104.3,-100.0,0.99,3.4,1.0,0.8%,46.2%,-45.4%,0.74,0.0%,24.8,3.0,0.94,17.1,140,95,205
League Average,4.04,3.0,1.0,6339,1.0,107.0,-106.0,1.01,0.0,1.0,1%,45%,-44%,0.7,1%,-8.0,-0.0,0.0,-9.0,168,93,227
,4.04,51.1,14.3,95092,10.2,1601.6,-1591.6,1.01,1.9,8.2,7.7%,672.0%,-664.4%,0.7,8.7%,-125.8,-2.3,0.96,-139.8,2525,1398,3399
