Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1443.0,695,162,981,6.12,5.07,-0.24,-0.01,102.3,5.42,-112,-9.1,1.05,-0.7,4.6,45,0.487,0.499,"$58,756,000"
Boston Red Sox,1471.0,794,162,828,5.07,4.96,0.02,-0.02,104.4,5.14,12,1.8,1.11,-0.6,15.8,172,0.502,0.502,"$102,890,500"
Chicago White Sox,1412.2,697,161,832,5.3,4.89,-0.17,0.01,99.8,5.05,-38,-2.7,1.0,-0.8,10.6,115,0.496,0.501,"$38,565,000"
Cleveland Indians,1437.2,684,162,657,4.11,4.84,0.46,0.03,102.2,4.51,64,6.9,1.07,-2.0,19.1,220,0.51,0.502,"$61,518,983"
Detroit Tigers,1433.0,738,161,915,5.75,5.0,-0.6,-0.02,103.0,5.75,1,1.0,1.06,-0.9,14.3,156,0.501,0.502,"$46,369,200"
Houston Astros,1462.1,654,162,640,3.94,4.94,0.58,0.02,100.5,4.39,75,8.6,1.09,-0.2,22.9,233,0.513,0.504,"$84,856,400"
Kansas City Royals,1425.0,682,162,869,5.49,4.92,-0.08,0.01,103.1,5.16,-51,-4.3,1.1,-0.8,9.1,104,0.494,0.5,"$68,348,225"
Los Angeles Angels,1442.2,751,162,868,5.41,5.07,-0.09,-0.03,99.9,5.13,-45,-3.7,1.04,-1.7,9.0,111,0.495,0.5,"$48,021,250"
Minnesota Twins,1463.1,686,162,754,4.64,4.71,-0.15,0.02,98.3,4.79,26,3.5,1.2,-1.1,16.8,184,0.505,0.502,"$37,517,500"
New York Yankees,1443.0,707,162,739,4.61,4.87,-0.01,-0.01,95.8,4.66,9,1.5,1.1,-0.7,15.1,165,0.502,0.502,"$115,303,550"
Oakland Athletics,1465.0,709,162,680,4.18,4.95,0.02,0.02,93.4,4.61,72,7.7,1.27,-0.9,21.4,231,0.511,0.503,"$58,067,500"
Seattle Mariners,1439.1,700,162,893,5.58,5.0,-0.29,0.01,94.3,5.0,-93,-8.2,1.06,-0.5,5.5,63,0.488,0.499,"$72,528,000"
Tampa Bay Rays,1474.1,765,162,656,4.0,5.01,0.31,-0.03,94.5,4.42,68,7.2,1.27,-1.9,19.9,228,0.509,0.502,"$25,192,100"
Texas Rangers,1438.0,661,162,878,5.5,5.06,-0.35,0.0,111.3,6.03,86,10.1,0.98,-1.1,23.3,242,0.515,0.504,"$46,549,666"
Toronto Blue Jays,1440.1,753,162,828,5.17,5.02,0.19,-0.03,98.2,4.71,-73,-5.5,1.0,-1.1,7.8,83,0.493,0.5,"$36,349,100"
,21690.2,10676,2428,12018,4.99,4.95,-0.02,0.0,100.1,4.98,0,14.9,1.1,-14.9,215.3,2353,0.501,0.501,"$900,832,974"
