Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1459.2,623,162,788,4.86,4.86,0.01,0.0,105.1,5.11,47,5.6,1.07,-1.3,16.9,174,0.509,0.503,"$26,858,000"
Atlanta Braves,1441.1,684,162,805,5.03,4.93,-0.06,0.0,98.2,4.89,-15,-0.5,1.04,-1.3,10.6,111,0.499,0.501,"$32,236,000"
Chicago Cubs,1439.0,704,162,834,5.22,4.82,-0.07,-0.02,102.9,5.0,-28,-1.8,1.02,-0.9,9.8,98,0.497,0.501,"$48,938,666"
Cincinnati Reds,1445.2,638,162,801,4.99,4.8,-0.28,0.01,103.8,5.28,54,6.2,1.14,-0.3,18.3,180,0.51,0.504,"$22,418,333"
Colorado Rockies,1447.1,661,162,812,5.05,4.89,0.11,0.01,108.6,5.2,30,4.0,1.18,-0.7,15.8,157,0.506,0.503,"$17,869,000"
Florida Marlins,1433.1,600,162,772,4.85,4.96,-0.16,0.01,95.6,4.9,15,2.5,1.13,-0.7,14.1,140,0.504,0.501,"$9,416,500"
Houston Astros,1468.2,659,162,719,4.41,4.79,0.28,0.0,99.5,4.49,20,3.0,1.16,-1.2,14.4,149,0.505,0.501,"$48,747,916"
Los Angeles Dodgers,1460.1,616,162,751,4.63,4.79,-0.15,-0.01,100.1,4.93,55,6.0,1.13,-0.6,18.0,183,0.51,0.504,"$43,328,500"
Milwaukee Brewers,1425.2,589,162,833,5.26,4.78,0.06,0.01,101.3,4.78,-69,-5.9,1.29,-1.1,5.3,56,0.49,0.498,"$23,998,000"
New York Mets,1461.1,636,162,731,4.5,4.96,0.22,-0.01,96.7,4.56,16,2.5,1.15,-0.7,14.4,144,0.504,0.503,"$46,979,140"
Philadelphia Phillies,1460.1,662,162,812,5.0,4.95,-0.1,-0.01,103.0,5.2,38,4.7,1.17,-1.0,16.4,166,0.507,0.503,"$39,688,333"
Pittsburgh Pirates,1435.0,667,162,797,5.0,4.82,-0.27,0.0,99.5,5.06,15,2.0,1.23,-0.4,14.0,141,0.503,0.502,"$15,638,750"
San Diego Padres,1463.2,637,162,679,4.18,4.84,0.29,0.0,91.3,4.16,4,0.9,1.24,0.2,13.8,132,0.501,0.502,"$33,812,142"
San Francisco Giants,1429.2,599,161,790,4.97,4.86,0.22,0.02,100.1,4.67,-43,-3.8,1.32,-1.3,7.2,83,0.494,0.499,"$30,690,733"
St. Louis Cardinals,1429.2,630,161,762,4.8,4.73,0.32,0.0,99.6,4.39,-58,-4.7,1.08,-1.5,6.2,67,0.493,0.499,"$37,716,000"
Washington Nationals,1436.1,679,162,872,5.46,4.96,-0.24,-0.02,95.1,4.92,-81,-7.3,1.04,-0.8,4.3,45,0.489,0.5,"$20,139,000"
,23137.0,10284,2590,12558,4.88,4.86,0.01,0.0,100.0,4.85,0,13.4,1.15,-13.4,199.5,2024,0.501,0.501,"$498,475,013"
