Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1432.0,616,162,836,5.25,4.46,0.16,0.01,104.9,4.52,-119,-11.0,0.99,-1.1,0.3,2,0.482,0.496,"$25,238,000"
Atlanta Braves,1439.1,652,162,629,3.93,4.38,0.07,0.0,97.3,4.19,38,5.2,1.12,-0.8,16.9,159,0.508,0.504,"$45,021,166"
Chicago Cubs,1436.2,644,162,767,4.8,4.39,-0.25,0.0,104.9,4.87,8,1.5,1.07,-0.5,13.4,128,0.502,0.502,"$69,333,000"
Cincinnati Reds,1453.0,663,162,685,4.24,4.32,0.2,0.0,100.8,4.15,-17,-1.5,1.2,-1.3,9.7,105,0.498,0.5,"$46,155,500"
Colorado Rockies,1442.0,675,162,717,4.48,4.44,0.19,0.0,113.9,4.83,55,6.8,1.23,-1.6,17.7,177,0.51,0.503,"$42,872,000"
Florida Marlins,1438.1,643,162,717,4.49,4.45,-0.12,-0.01,102.6,4.68,30,4.6,1.14,-1.3,15.6,150,0.507,0.503,"$26,720,219"
Houston Astros,1439.1,669,162,729,4.56,4.47,-0.17,0.01,99.0,4.59,3,1.2,1.01,-0.8,12.8,124,0.502,0.502,"$36,894,000"
Los Angeles Dodgers,1441.2,636,162,692,4.32,4.43,-0.38,0.0,96.8,4.65,51,6.6,1.13,-1.1,18.0,172,0.51,0.502,"$37,637,833"
Milwaukee Brewers,1439.0,657,162,804,5.03,4.35,0.05,-0.01,100.1,4.29,-120,-11.7,1.06,-0.9,-0.1,1,0.482,0.497,"$51,272,778"
New York Mets,1453.0,653,162,652,4.04,4.47,0.17,0.0,97.0,4.17,20,2.9,1.17,-1.5,13.9,142,0.504,0.502,"$55,052,373"
Philadelphia Phillies,1456.1,613,162,640,3.96,4.41,-0.03,0.02,101.4,4.51,88,11.0,1.01,-0.9,22.7,211,0.518,0.504,"$62,764,333"
Pittsburgh Pirates,1411.2,679,162,866,5.52,4.47,-0.5,-0.02,100.5,4.98,-88,-7.8,0.9,-0.7,3.7,31,0.488,0.5,"$18,991,500"
San Diego Padres,1456.1,661,162,581,3.59,4.36,0.4,-0.01,92.1,3.64,5,1.2,1.16,-0.9,12.9,128,0.502,0.502,"$22,985,400"
San Francisco Giants,1461.0,638,162,583,3.59,4.37,0.19,0.01,97.8,4.1,80,9.0,1.22,-0.6,21.1,203,0.514,0.504,"$48,470,833"
St. Louis Cardinals,1453.2,617,162,641,3.97,4.36,0.2,0.01,96.9,4.03,8,2.3,1.07,-1.1,13.7,131,0.504,0.502,"$47,855,971"
Washington Nationals,1435.0,656,162,742,4.65,4.4,-0.01,-0.02,100.0,4.39,-44,-3.8,1.09,-1.4,7.3,77,0.494,0.501,"$24,448,000"
,23088.1,10372,2592,11281,4.4,4.41,0.01,0.0,100.4,4.41,0,16.6,1.1,-16.6,199.5,1941,0.502,0.501,"$661,712,906"
