Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Anaheim Angels,1431.1,537,162,743,4.67,4.89,0.13,-0.01,97.1,4.6,-9,-0.1,0.98,-1.1,13.7,151,0.5,0.502,"$37,001,667"
Baltimore Orioles,1449.2,588,163,820,5.09,5.1,-0.02,0.0,99.1,5.07,-1,0.7,1.42,-1.2,14.6,161,0.501,0.501,"$21,812,500"
Boston Red Sox,1464.2,599,162,809,4.97,4.92,-0.15,-0.01,103.0,5.21,41,5.1,1.08,-0.9,19.5,205,0.509,0.503,"$39,809,000"
Chicago White Sox,1431.0,523,162,715,4.5,4.77,0.12,0.02,102.3,4.78,46,5.6,1.13,-0.2,20.2,207,0.511,0.504,"$17,680,000"
Cleveland Indians,1459.1,590,162,778,4.8,4.79,0.16,-0.01,98.8,4.56,-37,-2.8,1.19,-0.7,11.7,127,0.495,0.5,"$12,259,600"
Detroit Tigers,1438.2,613,162,928,5.81,4.9,-0.19,-0.02,96.0,4.87,-148,-13.9,1.12,-2.1,-1.0,13,0.477,0.496,"$13,296,000"
Kansas City Royals,1438.2,569,162,867,5.42,4.77,-0.32,-0.01,108.1,5.48,11,2.1,1.13,-0.9,16.2,173,0.504,0.502,"$6,402,500"
Minnesota Twins,1462.0,561,162,758,4.67,4.74,-0.03,0.0,100.1,4.78,20,2.5,1.24,-0.4,17.3,184,0.504,0.503,"$36,420,000"
New York Yankees,1462.0,530,163,716,4.41,4.91,-0.27,0.03,97.0,5.06,108,11.4,1.2,-0.9,25.7,271,0.522,0.505,"$68,800,000"
Oakland Athletics,1441.2,526,162,643,4.01,4.89,0.02,0.02,98.4,4.81,128,13.8,1.14,-0.6,28.1,290,0.526,0.507,"$19,602,667"
Seattle Mariners,1441.0,528,162,637,3.98,4.83,0.22,0.02,95.3,4.41,71,7.3,1.03,-1.1,21.2,233,0.514,0.504,"$32,550,833"
Tampa Bay Devil Rays,1436.2,534,162,852,5.34,5.04,0.14,-0.02,97.1,4.74,-94,-7.7,1.27,-1.5,5.8,67,0.486,0.499,"$3,800,000"
Texas Rangers,1433.1,656,162,969,6.08,4.94,0.34,-0.05,110.4,5.02,-167,-15.0,1.07,-0.1,0.0,-7,0.477,0.498,"$31,202,500"
Toronto Blue Jays,1435.0,605,162,826,5.18,4.93,-0.25,0.01,103.4,5.37,31,4.0,1.08,-1.3,17.6,192,0.507,0.502,"$17,902,000"
,20225.0,7959,2270,11061,4.92,4.89,-0.01,0.0,100.4,4.91,0,12.9,1.15,-12.9,210.5,2267,0.502,0.502,"$358,539,267"
