Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1441.0,675,162,659,4.12,4.63,0.14,0.02,108.2,4.87,128,14.3,1.13,-1.0,26.2,254,0.521,0.505,"$58,082,100"
Atlanta Braves,1441.1,692,162,821,5.13,4.76,-0.07,0.01,99.1,4.79,-48,-3.8,1.03,-1.0,8.2,78,0.495,0.5,"$50,545,250"
Chicago Cubs,1447.1,693,162,695,4.32,4.64,0.27,0.0,100.9,4.41,20,2.7,1.07,-0.8,14.9,147,0.504,0.502,"$121,579,000"
Cincinnati Reds,1430.0,666,162,869,5.47,4.67,0.3,-0.02,102.9,4.47,-152,-13.7,0.86,-0.7,-1.5,-27,0.479,0.498,"$36,483,286"
Colorado Rockies,1437.2,711,162,757,4.74,4.62,-0.03,0.0,115.8,5.37,108,11.5,1.06,-0.8,23.7,234,0.516,0.504,"$34,184,000"
Los Angeles Dodgers,1444.2,698,162,580,3.61,4.55,0.44,-0.01,96.9,3.98,66,7.3,1.07,-0.8,19.5,192,0.51,0.503,"$93,808,596"
Miami Marlins,1442.2,742,162,822,5.13,4.68,0.14,-0.02,91.4,4.13,-154,-14.4,1.05,-1.6,-3.0,-28,0.481,0.497,"$61,406,100"
Milwaukee Brewers,1445.2,712,162,697,4.34,4.69,0.13,-0.01,101.3,4.61,49,5.9,1.19,-0.7,18.2,176,0.508,0.503,"$32,577,500"
New York Mets,1434.2,730,162,863,5.41,4.74,-0.34,-0.01,94.3,4.79,-93,-8.4,1.1,-0.9,3.6,32,0.488,0.499,"$39,459,150"
Philadelphia Phillies,1441.0,668,162,782,4.88,4.78,-0.17,0.0,98.6,4.88,6,1.5,1.05,-1.2,13.3,132,0.502,0.502,"$55,714,500"
Pittsburgh Pirates,1440.2,664,162,731,4.57,4.7,0.09,0.0,98.7,4.56,5,1.2,1.06,-1.2,13.0,131,0.502,0.502,"$36,295,500"
San Diego Padres,1430.2,679,162,816,5.13,4.68,0.08,0.0,98.8,4.53,-89,-7.7,1.08,-0.2,5.1,36,0.489,0.5,"$22,965,700"
San Francisco Giants,1452.0,664,162,776,4.81,4.69,-0.24,0.02,99.5,4.93,25,3.1,1.14,-1.6,14.6,152,0.505,0.502,"$98,839,833"
St. Louis Cardinals,1450.1,708,162,705,4.37,4.65,0.14,0.0,97.5,4.41,12,1.6,1.13,-1.5,13.2,139,0.502,0.501,"$63,969,500"
Washington Nationals,1446.2,649,162,672,4.18,4.72,-0.05,0.03,101.6,4.87,118,14.3,1.12,-1.2,26.1,244,0.522,0.505,"$85,436,701"
,21626.1,10351,2430,11245,4.68,4.68,0.05,0.0,100.4,4.64,0,15.4,1.08,-15.4,194.8,1894,0.501,0.501,"$891,346,716"
