Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1433.1,703,162,688,4.32,4.4,0.23,-0.01,0.09,103.3,4.39,17,2.8,1.19,-0.1,16.3,138,0.504,0.503,"$12,200,000"
Boston Red Sox,1431.0,738,162,787,4.95,4.41,0.05,-0.01,0.09,108.0,4.78,-20,-1.1,1.2,-1.1,11.4,100,0.498,0.5,"$93,695,000"
Chicago White Sox,1447.2,711,162,717,4.46,4.25,-0.14,0.01,0.1,102.0,4.59,27,4.0,1.13,-1.1,16.7,149,0.506,0.502,"$65,908,334"
Cleveland Guardians,1456.0,669,162,634,3.92,4.22,0.48,0.01,0.12,99.1,3.84,-7,0.6,1.2,-0.7,13.7,116,0.501,0.502,"$13,410,000"
Detroit Tigers,1419.2,742,162,713,4.52,4.31,0.17,-0.01,0.04,97.3,4.06,-67,-6.3,1.05,-2.4,4.9,53,0.492,0.499,"$43,265,000"
Houston Astros,1445.1,642,162,518,3.23,4.25,0.45,0.03,0.06,98.5,3.82,103,12.0,1.14,-1.3,24.3,224,0.519,0.504,"$82,075,000"
Kansas City Royals,1416.0,722,162,810,5.15,4.33,-0.25,0.0,0.05,104.9,4.86,-39,-3.0,1.09,-1.2,9.3,80,0.496,0.501,"$35,025,000"
Los Angeles Angels,1435.2,652,162,668,4.19,4.35,0.1,0.0,0.08,102.3,4.43,45,6.0,1.26,-1.4,18.2,166,0.509,0.502,"$64,000,000"
Minnesota Twins,1437.0,710,162,684,4.28,4.24,0.19,-0.02,0.09,98.9,4.08,-27,-2.3,1.14,-1.1,10.3,94,0.497,0.5,"$16,050,000"
New York Yankees,1451.2,669,162,567,3.52,4.33,0.67,0.01,0.12,99.9,3.78,49,5.9,1.32,-1.2,18.4,171,0.509,0.502,"$100,855,000"
Oakland Athletics,1426.1,692,162,770,4.86,4.36,-0.16,0.01,0.06,95.5,4.38,-69,-6.7,1.11,-0.7,6.2,51,0.49,0.5,"$10,750,000"
Seattle Mariners,1447.0,698,162,623,3.87,4.27,0.27,0.02,0.1,94.7,3.9,10,1.4,1.16,-1.6,13.6,132,0.502,0.501,"$44,035,000"
Tampa Bay Rays,1435.2,734,162,614,3.85,4.35,0.15,-0.03,0.11,94.2,4.04,37,5.8,1.23,-0.3,19.2,158,0.508,0.503,"$30,383,000"
Texas Rangers,1435.0,694,162,743,4.66,4.28,0.06,-0.02,0.08,100.6,4.3,-50,-3.9,1.14,-1.5,8.3,71,0.494,0.501,"$38,375,000"
Toronto Blue Jays,1441.1,746,162,679,4.24,4.35,0.28,-0.01,0.07,100.1,4.14,-9,0.7,1.14,-0.4,14.0,112,0.501,0.502,"$81,504,286"
,21558.2,10522,2430,10215,4.26,4.31,0.17,0.0,0.08,99.9,4.22,0,16.0,1.17,-16.0,205.0,1817,0.502,0.501,"$731,530,620"
