Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1430.0,708,162,740,4.66,4.44,0.31,0.01,0.06,99.9,4.19,-75,-6.4,1.16,-2.2,5.0,57,0.491,0.499,"$50,885,000"
Atlanta Braves,1448.0,680,162,609,3.79,4.37,0.18,0.01,0.09,99.5,4.27,76,9.2,1.17,-1.3,21.7,210,0.514,0.504,"$66,950,000"
Chicago Cubs,1443.2,690,162,731,4.56,4.41,0.02,-0.02,0.12,101.8,4.56,-1,1.2,1.24,-0.6,14.3,133,0.502,0.501,"$69,400,000"
Cincinnati Reds,1423.1,736,162,815,5.15,4.46,-0.2,-0.01,0.07,109.8,5.17,1,1.7,0.98,-1.3,13.9,133,0.502,0.501,"$20,600,000"
Colorado Rockies,1425.1,659,162,873,5.51,4.5,0.04,0.01,0.08,114.4,5.18,-54,-5.2,1.15,-0.8,7.6,79,0.492,0.499,"$43,630,000"
Los Angeles Dodgers,1451.1,725,162,513,3.18,4.36,0.51,0.0,0.07,103.9,4.07,141,16.2,1.04,-1.2,28.7,276,0.522,0.505,"$98,312,000"
Miami Marlins,1437.1,694,162,676,4.23,4.51,0.11,0.01,0.08,99.1,4.45,34,5.0,1.16,-1.3,17.4,167,0.507,0.502,"$16,525,000"
Milwaukee Brewers,1446.0,710,162,688,4.28,4.35,0.3,0.0,0.1,98.1,4.07,-37,-3.0,1.3,-1.3,9.4,98,0.496,0.5,"$40,539,460"
New York Mets,1438.2,645,162,606,3.79,4.37,-0.01,0.01,0.05,94.9,4.21,65,8.4,1.0,-0.8,21.3,198,0.513,0.504,"$124,808,333"
Philadelphia Phillies,1428.1,678,162,685,4.32,4.39,-0.32,0.02,0.06,99.2,4.75,67,8.1,1.09,-0.5,21.2,200,0.512,0.503,"$71,675,000"
Pittsburgh Pirates,1421.0,666,162,817,5.17,4.44,0.0,-0.02,0.05,101.8,4.56,-99,-8.7,1.15,-1.2,3.7,33,0.487,0.498,"$6,825,000"
San Diego Padres,1443.1,649,162,660,4.12,4.41,0.12,0.02,0.07,93.8,4.1,-5,0.2,1.16,-1.9,12.0,129,0.5,0.501,"$75,500,000"
San Francisco Giants,1433.0,738,162,697,4.38,4.41,-0.35,-0.02,0.06,99.6,4.78,63,7.8,1.09,-1.4,20.1,196,0.511,0.503,"$65,563,000"
St. Louis Cardinals,1435.2,628,162,637,3.99,4.29,0.39,0.0,0.07,95.2,3.78,-36,-3.1,1.1,-1.0,9.6,98,0.495,0.5,"$76,098,000"
Washington Nationals,1411.2,750,162,855,5.45,4.46,-0.27,-0.03,0.05,95.8,4.56,-142,-13.0,0.84,-1.3,-0.8,-11,0.483,0.498,"$68,351,666"
,21516.2,10356,2430,10602,4.43,4.41,0.06,0.0,0.07,100.4,4.45,0,18.2,1.11,-18.2,205.0,1997,0.502,0.501,"$895,662,459"
