Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,518.2,267,60,294,5.1,5.44,0.05,-0.01,0.12,105.5,5.8,36,4.2,1.24,-0.2,9.0,92,0.516,0.502,"$19,390,000"
Boston Red Sox,524.0,292,60,351,6.03,5.42,0.02,-0.05,0.08,106.9,5.8,-17,-0.5,1.02,-0.9,3.7,39,0.498,0.5,"$35,963,000"
Chicago White Sox,527.0,284,60,246,4.2,4.32,0.44,0.0,0.03,102.1,3.98,-17,-0.9,1.08,-0.6,3.6,40,0.497,0.5,"$53,333,000"
Cleveland Indians,536.0,241,60,209,3.51,4.52,0.4,0.05,0.08,100.1,4.26,41,4.7,1.27,-0.5,9.4,98,0.52,0.501,"$23,058,334"
Detroit Tigers,492.1,276,58,318,5.81,4.51,-0.22,-0.03,0.05,102.4,4.86,-56,-4.8,0.96,-0.5,-0.5,-3,0.482,0.499,"$38,710,000"
Houston Astros,524.0,253,60,275,4.72,4.87,0.21,0.02,0.19,99.0,4.84,3,0.9,1.37,-0.6,5.4,59,0.503,0.501,"$97,750,000"
Kansas City Royals,517.0,292,60,272,4.74,4.56,0.03,-0.01,0.03,105.1,4.78,-1,0.4,0.98,-0.6,4.8,54,0.501,0.501,"$35,050,000"
Los Angeles Angels,525.1,288,60,321,5.5,4.86,-0.45,-0.01,0.12,101.1,5.48,-5,0.4,1.17,-1.2,4.4,51,0.501,0.501,"$26,650,000"
Minnesota Twins,513.1,262,60,215,3.77,4.43,0.33,0.0,0.07,97.8,4.07,14,1.7,1.22,-1.0,5.7,68,0.506,0.501,"$62,730,000"
New York Yankees,500.2,234,60,270,4.85,5.1,0.02,0.02,0.11,96.5,5.04,6,1.1,1.08,-0.8,5.2,60,0.505,0.501,"$133,075,000"
Oakland Athletics,515.1,241,60,232,4.05,4.8,-0.14,0.02,0.11,93.2,4.73,35,4.1,1.15,-0.4,8.8,90,0.517,0.502,"$37,950,000"
Seattle Mariners,516.2,249,60,303,5.28,4.93,0.24,0.02,0.07,94.3,4.5,-49,-4.2,1.05,-1.0,-0.1,7,0.483,0.499,"$23,050,000"
Tampa Bay Rays,527.2,279,60,229,3.91,5.18,0.43,-0.03,0.09,93.5,4.49,30,3.3,1.31,-0.6,7.9,87,0.512,0.501,"$27,960,000"
Texas Rangers,516.2,264,60,312,5.43,4.97,0.21,0.02,0.04,100.3,4.84,-38,-3.1,0.86,-0.9,1.1,17,0.488,0.499,"$50,883,334"
Toronto Blue Jays,524.2,286,60,312,5.35,5.13,-0.53,-0.03,0.13,99.6,5.74,19,2.6,1.42,-0.1,7.6,75,0.509,0.501,"$48,400,000"
,7779.1,4008,898,4159,4.81,4.87,0.07,0.0,0.09,99.8,4.88,0,9.9,1.14,-9.9,75.9,833,0.502,0.501,"$713,952,668"
