Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1446.2,640,162,860,5.35,4.62,0.01,-0.04,103.5,4.73,-106,-9.7,1.04,-1.0,4.5,49,0.485,0.499,"$24,526,500"
Boston Red Sox,1457.1,606,162,737,4.55,4.51,0.24,-0.02,105.3,4.48,-18,-0.3,1.04,-1.1,13.8,138,0.5,0.501,"$80,095,333"
Chicago White Sox,1460.0,572,162,706,4.35,4.51,0.01,0.01,106.2,4.78,64,7.2,1.25,-0.5,21.8,220,0.513,0.503,"$61,210,000"
Cleveland Indians,1453.1,644,162,760,4.71,4.46,-0.26,-0.01,96.7,4.55,-32,-2.5,1.19,-0.3,12.2,123,0.496,0.501,"$14,931,900"
Detroit Tigers,1440.0,583,162,711,4.44,4.39,0.1,0.0,101.4,4.36,-20,-0.6,1.13,-0.7,13.6,134,0.499,0.501,"$35,021,000"
Kansas City Royals,1451.1,582,162,762,4.73,4.48,0.05,-0.02,100.9,4.45,-51,-4.2,1.31,-1.0,9.9,104,0.493,0.501,"$18,458,000"
Los Angeles Angels of Anaheim,1465.0,548,162,633,3.89,4.47,0.21,0.02,92.1,3.94,2,1.3,1.39,-1.6,14.9,158,0.502,0.502,"$64,933,000"
Minnesota Twins,1421.2,619,162,804,5.09,4.55,-0.35,0.0,99.2,4.86,-43,-3.9,1.18,-1.5,9.3,109,0.494,0.499,"$54,355,500"
New York Yankees,1458.1,627,162,657,4.05,4.53,0.21,-0.01,104.7,4.51,68,8.1,1.27,0.3,23.5,224,0.513,0.505,"$74,940,764"
Oakland Athletics,1447.2,622,162,679,4.22,4.51,-0.19,0.0,97.8,4.59,54,6.2,1.08,-0.9,20.4,208,0.51,0.502,"$24,016,500"
Seattle Mariners,1433.0,513,162,675,4.24,4.55,0.04,0.02,91.7,4.15,-20,-1.2,1.06,-1.3,12.3,132,0.498,0.501,"$22,252,100"
Tampa Bay Rays,1449.0,600,162,614,3.81,4.58,0.34,0.03,93.2,3.98,20,2.8,1.04,-1.0,16.7,175,0.505,0.501,"$15,730,371"
Texas Rangers,1441.1,579,162,677,4.23,4.42,0.06,0.01,106.6,4.66,63,7.1,1.11,-1.2,20.9,217,0.512,0.503,"$27,021,110"
Toronto Blue Jays,1458.2,636,162,761,4.7,4.6,-0.06,-0.01,104.4,4.85,18,3.0,1.11,-1.5,16.7,174,0.505,0.502,"$25,926,500"
,20283.1,8371,2268,10036,4.45,4.51,0.03,0.0,100.3,4.49,0,13.3,1.16,-13.3,210.4,2163,0.502,0.502,"$543,418,578"
