Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1447.2,645,162,782,4.86,4.54,0.04,0.01,105.4,4.74,-18,-1.0,1.04,-1.3,10.2,104,0.498,0.501,"$43,281,000"
Atlanta Braves,1462.2,650,162,641,3.94,4.58,-0.05,0.01,98.4,4.57,102,12.2,1.22,-0.8,24.1,226,0.519,0.505,"$64,758,666"
Chicago Cubs,1445.1,641,161,672,4.18,4.51,-0.13,0.01,105.4,4.9,115,12.9,1.18,-1.1,24.3,237,0.52,0.504,"$64,061,500"
Cincinnati Reds,1458.1,640,162,723,4.46,4.5,0.14,0.0,99.7,4.35,-17,-1.1,1.17,-0.5,11.0,106,0.498,0.501,"$48,166,500"
Colorado Rockies,1438.1,646,162,715,4.47,4.51,0.06,0.01,111.0,4.95,76,8.5,1.15,-1.2,19.7,198,0.513,0.503,"$33,231,200"
Florida Marlins,1446.1,692,162,766,4.77,4.57,-0.31,-0.02,101.9,4.96,32,4.6,1.19,-0.8,16.3,154,0.507,0.503,"$16,379,000"
Houston Astros,1430.0,659,162,770,4.85,4.52,0.01,-0.01,98.4,4.42,-66,-5.5,1.08,-0.6,6.3,54,0.492,0.501,"$42,380,500"
Los Angeles Dodgers,1473.1,688,162,611,3.73,4.45,0.1,-0.01,96.1,4.17,72,7.9,1.19,-1.3,19.4,196,0.512,0.503,"$41,354,221"
Milwaukee Brewers,1435.0,674,162,818,5.13,4.44,0.02,-0.02,97.8,4.3,-131,-12.1,1.09,0.1,0.4,-10,0.482,0.498,"$37,260,002"
New York Mets,1426.0,673,162,757,4.78,4.64,0.0,0.0,97.3,4.5,-42,-3.8,1.08,-1.9,6.6,78,0.494,0.498,"$67,744,555"
Philadelphia Phillies,1455.2,621,162,709,4.38,4.55,0.12,0.0,99.8,4.42,6,1.2,1.12,-2.0,11.9,129,0.502,0.5,"$56,691,666"
Pittsburgh Pirates,1418.1,617,161,768,4.87,4.49,0.18,0.01,99.6,4.3,-89,-8.5,0.99,-1.5,2.2,31,0.486,0.498,"$18,385,000"
San Diego Padres,1450.2,689,162,769,4.77,4.5,-0.07,-0.02,91.1,4.14,-101,-9.0,1.14,-0.9,2.6,22,0.487,0.499,"$27,884,900"
San Francisco Giants,1446.0,619,162,611,3.8,4.58,0.07,0.01,100.8,4.55,122,13.9,1.21,-0.3,26.1,244,0.522,0.506,"$39,714,450"
St. Louis Cardinals,1440.2,643,162,640,4.0,4.47,0.16,0.02,96.7,4.19,31,4.9,1.08,-0.6,16.7,153,0.508,0.503,"$41,743,583"
Washington Nationals,1424.1,694,162,874,5.52,4.6,-0.31,-0.01,100.9,4.94,-91,-8.7,1.18,-1.8,1.9,29,0.488,0.499,"$13,643,000"
,23098.2,10491,2590,11626,4.53,4.53,0.0,0.0,100.0,4.53,0,16.4,1.13,-16.4,199.7,1951,0.502,0.501,"$656,679,743"
