Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1495.0,689,162,695,4.18,4.11,0.34,0.0,102.3,3.85,-58,-5.9,1.26,-1.9,5.6,64,0.491,0.499,"$35,279,000"
Atlanta Braves,1450.1,628,162,548,3.4,3.93,0.14,0.01,100.4,3.81,63,7.7,1.14,-0.7,19.9,182,0.512,0.504,"$33,343,750"
Chicago Cubs,1448.0,651,162,689,4.28,4.13,0.01,0.0,102.5,4.22,-12,-0.8,1.11,-1.4,10.7,106,0.499,0.5,"$43,321,000"
Cincinnati Reds,1473.2,623,162,589,3.6,4.07,0.13,0.01,101.0,3.99,62,7.5,1.23,-0.9,19.7,182,0.512,0.503,"$50,848,035"
Colorado Rockies,1436.0,665,162,760,4.76,4.11,-0.19,-0.02,117.9,5.05,43,6.4,1.11,-1.1,18.2,160,0.51,0.504,"$28,899,000"
Los Angeles Dodgers,1450.1,666,162,582,3.61,4.11,0.1,0.0,95.8,3.85,35,5.9,1.21,-0.6,18.2,154,0.509,0.504,"$116,411,500"
Miami Marlins,1460.0,633,162,646,3.98,4.08,-0.04,-0.01,103.0,4.24,39,5.7,1.22,-0.5,18.3,157,0.509,0.504,"$7,978,900"
Milwaukee Brewers,1442.2,663,162,687,4.29,4.1,0.27,-0.01,102.7,3.93,-60,-5.7,1.11,-1.9,5.3,57,0.491,0.498,"$35,066,000"
New York Mets,1476.2,696,162,684,4.17,3.97,-0.14,0.0,95.5,3.92,-43,-3.8,1.24,-1.6,7.7,77,0.494,0.499,"$22,598,765"
Philadelphia Phillies,1436.1,628,162,749,4.69,4.0,-0.58,0.0,100.1,4.58,-20,-0.8,1.03,-0.9,11.0,97,0.499,0.502,"$93,492,000"
Pittsburgh Pirates,1470.2,627,162,577,3.53,4.11,0.24,-0.01,95.4,3.67,20,3.2,1.16,-0.8,15.6,139,0.505,0.503,"$43,427,000"
San Diego Padres,1455.0,650,162,700,4.33,4.07,-0.09,0.0,92.2,3.83,-84,-8.2,1.08,-1.0,3.8,35,0.487,0.499,"$26,239,600"
San Francisco Giants,1447.1,686,162,691,4.3,4.09,0.02,0.0,92.7,3.77,-88,-7.9,1.24,-0.9,4.1,30,0.488,0.499,"$89,533,000"
St. Louis Cardinals,1459.2,645,162,596,3.67,4.0,-0.22,0.01,100.5,4.24,89,11.2,1.16,-1.0,23.2,208,0.517,0.505,"$35,173,000"
Washington Nationals,1445.2,602,162,626,3.9,3.96,0.01,0.01,100.8,4.0,13,2.2,1.07,-1.5,13.6,131,0.504,0.501,"$52,918,000"
,21847.1,9752,2430,9819,4.04,4.06,0.0,0.0,100.2,4.06,0,16.6,1.16,-16.6,194.8,1780,0.502,0.502,"$714,528,550"
