Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,518.1,260,60,295,5.12,5.16,0.07,0.0,0.03,98.6,5.05,-5,0.2,1.07,-1.3,4.0,48,0.501,0.5,"$30,625,000"
Atlanta Braves,524.1,288,60,288,4.94,5.05,-0.1,-0.05,0.1,103.5,5.38,25,4.0,1.04,-0.9,8.3,79,0.514,0.502,"$55,605,000"
Chicago Cubs,518.1,248,60,240,4.17,4.36,0.36,0.03,0.07,102.8,4.2,1,0.7,1.06,-0.3,5.5,54,0.503,0.501,"$96,975,000"
Cincinnati Reds,504.0,228,60,243,4.34,4.34,0.04,0.02,0.02,107.7,4.69,19,2.4,1.12,-0.5,6.9,71,0.511,0.501,"$50,930,951"
Colorado Rockies,526.1,249,60,353,6.04,5.21,0.38,0.02,0.06,113.1,5.57,-28,-1.9,1.08,-0.7,2.6,26,0.493,0.5,"$31,355,000"
Los Angeles Dodgers,538.2,309,60,213,3.56,4.94,0.5,-0.02,0.11,97.1,4.39,49,5.2,1.12,-1.5,9.0,104,0.517,0.501,"$79,808,333"
Miami Marlins,504.0,275,60,304,5.43,5.35,-0.09,-0.01,0.06,99.9,5.47,2,1.5,1.08,-0.3,6.2,54,0.506,0.501,"$6,850,000"
Milwaukee Brewers,517.1,249,60,264,4.59,4.4,-0.19,-0.01,0.1,100.6,4.71,6,1.4,1.0,0.0,6.6,59,0.506,0.501,"$26,916,667"
New York Mets,513.1,257,60,308,5.4,5.28,-0.33,-0.01,0.05,95.6,5.41,0,0.8,1.08,-0.8,5.1,53,0.503,0.501,"$76,441,667"
Philadelphia Phillies,497.0,249,60,311,5.63,5.17,-0.62,0.03,0.07,99.3,5.84,11,2.0,1.22,-0.6,6.3,62,0.508,0.501,"$65,550,000"
Pittsburgh Pirates,513.0,269,60,298,5.23,4.41,0.39,-0.01,0.11,101.1,4.16,-61,-5.4,1.16,-1.4,-1.8,-8,0.48,0.498,"$11,390,000"
San Diego Padres,520.1,278,60,241,4.17,4.93,0.21,-0.01,0.05,94.1,4.48,17,2.1,1.06,-0.5,6.8,71,0.508,0.501,"$36,462,000"
San Francisco Giants,517.2,296,60,297,5.16,5.04,0.09,-0.01,0.08,95.6,4.8,-22,-1.6,1.07,-1.5,2.0,32,0.494,0.5,"$60,313,334"
St. Louis Cardinals,473.0,234,58,229,4.36,4.19,0.67,0.01,0.08,94.7,3.42,-50,-3.8,1.05,-0.9,-0.1,-1,0.484,0.5,"$30,104,500"
Washington Nationals,503.2,262,60,301,5.38,5.19,-0.79,0.02,0.08,99.9,6.06,37,4.2,1.1,-0.7,8.5,89,0.516,0.502,"$116,837,283"
,7689.1,3951,898,4185,4.9,4.87,0.04,0.0,0.07,100.3,4.91,0,11.9,1.09,-11.9,75.9,793,0.503,0.501,"$776,164,735"
