Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1419.0,634,162,899,5.7,5.08,-0.04,-0.01,98.9,5.05,-114,-9.6,1.0,-0.4,4.9,59,0.485,0.498,"$24,874,333"
Boston Red Sox,1441.1,616,162,825,5.15,5.09,-0.17,-0.01,103.5,5.43,33,4.1,1.22,-0.2,19.0,209,0.507,0.503,"$53,719,994"
Chicago White Sox,1449.0,560,162,794,4.93,5.01,-0.21,0.03,103.9,5.46,73,7.5,1.24,-0.8,21.8,250,0.513,0.503,"$51,604,000"
Cleveland Indians,1423.1,539,162,782,4.94,4.96,-0.17,0.02,98.5,5.07,9,1.4,0.99,-1.4,14.8,182,0.503,0.5,"$32,989,700"
Detroit Tigers,1448.0,552,162,675,4.2,5.01,0.25,0.01,99.0,4.72,73,7.4,1.17,-1.0,21.5,249,0.513,0.504,"$23,514,456"
Kansas City Royals,1426.1,635,162,971,6.13,5.09,0.19,-0.03,103.0,5.01,-188,-16.4,1.24,-2.0,-3.5,-14,0.474,0.496,"$15,379,500"
Los Angeles Angels of Anaheim,1452.2,542,162,732,4.54,5.05,0.02,0.01,98.8,4.99,61,6.9,1.14,0.0,22.1,238,0.513,0.504,"$45,640,000"
Minnesota Twins,1439.1,583,162,683,4.27,5.01,0.08,0.0,98.2,4.84,79,9.0,1.03,-0.8,23.3,254,0.515,0.505,"$31,238,500"
New York Yankees,1443.2,651,162,767,4.78,5.0,-0.33,-0.01,99.0,5.26,66,7.5,1.18,-0.1,22.5,241,0.512,0.504,"$70,650,610"
Oakland Athletics,1451.2,606,162,727,4.51,5.02,0.02,0.01,96.8,4.85,43,4.5,1.22,-0.8,18.9,220,0.507,0.503,"$21,661,125"
Seattle Mariners,1446.2,591,162,792,4.93,5.06,0.31,0.0,96.7,4.59,-67,-5.6,1.31,-0.3,9.2,110,0.491,0.499,"$32,602,000"
Tampa Bay Devil Rays,1420.1,606,162,856,5.42,5.14,-0.21,-0.01,99.6,5.32,-28,-2.1,1.16,-2.1,10.7,145,0.497,0.499,"$8,949,600"
Texas Rangers,1431.1,651,162,784,4.93,4.98,0.06,-0.02,100.9,4.95,-9,-0.5,1.05,-1.6,13.0,165,0.499,0.501,"$29,758,163"
Toronto Blue Jays,1428.1,644,162,754,4.75,5.03,0.38,-0.02,100.0,4.63,-31,-2.1,1.14,-0.6,12.3,143,0.497,0.501,"$32,987,000"
,20121.0,8410,2268,11041,4.94,5.04,0.01,0.0,99.8,5.01,0,12.0,1.15,-12.0,210.4,2450,0.501,0.501,"$475,568,981"
