Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1436.1,616,162,785,4.92,4.66,-0.16,-0.01,100.3,4.82,-25,-2.1,1.26,-0.7,12.2,131,0.497,0.5,"$33,027,500"
Boston Red Sox,1456.2,605,162,744,4.6,4.55,0.18,0.0,105.1,4.59,-9,0.1,1.26,-0.7,14.5,149,0.5,0.501,"$71,496,833"
Chicago White Sox,1446.1,569,162,704,4.38,4.48,-0.38,0.01,102.9,5.01,92,10.3,1.13,-0.5,24.8,249,0.518,0.504,"$56,380,000"
Cleveland Indians,1433.0,632,162,752,4.72,4.58,-0.1,-0.01,95.1,4.44,-54,-5.1,1.17,-1.1,8.8,102,0.492,0.5,"$32,437,200"
Detroit Tigers,1444.1,578,162,743,4.63,4.49,0.14,-0.01,100.6,4.37,-51,-4.4,1.12,-1.3,9.3,106,0.492,0.5,"$45,216,052"
Kansas City Royals,1436.2,603,162,845,5.29,4.56,-0.63,-0.02,100.5,5.2,-23,-1.7,1.2,-0.1,13.2,133,0.497,0.502,"$39,281,710"
Los Angeles Angels of Anaheim,1449.1,572,162,702,4.36,4.44,-0.09,0.01,96.6,4.38,-5,0.2,1.1,-1.1,14.2,152,0.5,0.5,"$51,503,000"
Minnesota Twins,1452.2,627,162,671,4.16,4.47,-0.08,0.0,97.7,4.45,38,4.5,1.13,-0.8,18.8,196,0.507,0.503,"$22,742,500"
New York Yankees,1442.1,592,162,693,4.32,4.48,0.28,-0.01,104.1,4.37,-2,0.5,1.11,-0.6,14.9,155,0.501,0.501,"$86,882,989"
Oakland Athletics,1431.2,585,162,626,3.94,4.45,0.36,0.01,98.9,4.04,9,1.4,1.09,-0.6,15.7,164,0.502,0.501,"$18,797,400"
Seattle Mariners,1438.0,520,162,698,4.37,4.55,0.08,0.02,95.0,4.27,-25,-1.2,1.18,-1.1,12.7,131,0.498,0.5,"$28,124,000"
Tampa Bay Rays,1453.2,653,162,649,4.02,4.49,0.33,0.0,94.7,3.94,-22,-1.5,1.16,-0.9,12.8,137,0.498,0.5,"$24,641,171"
Texas Rangers,1455.1,643,162,687,4.25,4.37,-0.05,-0.02,107.5,4.72,68,7.9,1.28,-0.2,22.9,226,0.512,0.504,"$24,146,470"
Toronto Blue Jays,1440.2,617,162,728,4.55,4.61,0.0,-0.01,101.3,4.66,9,1.5,1.13,-0.8,15.7,165,0.502,0.502,"$16,895,800"
,20217.0,8412,2268,10027,4.46,4.51,-0.01,0.0,100.0,4.52,0,10.4,1.17,-10.4,210.5,2198,0.501,0.501,"$551,572,625"
