Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1436.0,633,162,899,5.63,4.88,-0.04,-0.01,106.1,5.21,-73,-5.4,1.17,-1.5,5.5,58,0.491,0.5,"$31,410,750"
Atlanta Braves,1450.0,645,162,668,4.15,4.65,0.28,0.0,99.2,4.35,27,3.0,1.11,-1.0,14.5,160,0.505,0.502,"$47,369,167"
Chicago Cubs,1465.1,622,162,665,4.08,4.73,-0.09,0.02,101.9,4.93,133,14.5,1.21,-1.4,25.7,267,0.523,0.506,"$36,698,333"
Cincinnati Reds,1443.2,659,162,907,5.65,4.72,0.05,-0.01,98.0,4.57,-180,-17.2,1.11,-1.5,-6.2,-48,0.474,0.494,"$17,833,250"
Colorado Rockies,1435.1,635,162,923,5.79,4.8,-0.16,0.0,113.5,5.62,-32,-1.0,1.14,-1.9,9.5,100,0.498,0.5,"$7,368,500"
Florida Marlins,1439.0,566,162,700,4.38,4.66,0.09,0.01,95.4,4.38,-6,0.4,1.25,-1.1,11.7,126,0.501,0.501,"$18,576,375"
Houston Astros,1443.0,655,162,698,4.35,4.65,0.2,-0.01,100.2,4.46,11,2.2,1.09,-0.3,14.3,143,0.503,0.502,"$22,415,000"
Los Angeles Dodgers,1453.1,621,162,684,4.24,4.74,0.34,0.0,96.7,4.26,-2,0.8,1.11,-1.0,12.3,131,0.501,0.502,"$46,807,500"
Milwaukee Brewers,1442.0,584,161,757,4.72,4.77,-0.11,-0.01,100.9,4.91,25,3.7,1.15,-1.1,15.0,157,0.506,0.502,"$8,104,000"
Montreal Expos,1447.0,624,162,769,4.78,4.73,0.31,-0.02,104.9,4.62,-32,-2.3,1.11,-1.3,9.0,101,0.496,0.5,"$16,190,500"
New York Mets,1449.0,636,162,731,4.54,4.73,-0.22,-0.01,99.7,4.93,57,6.8,1.16,-1.0,18.3,190,0.511,0.504,"$38,943,041"
Philadelphia Phillies,1462.2,638,162,781,4.81,4.64,0.1,-0.01,104.4,4.73,-17,-1.5,1.26,-0.8,10.4,117,0.498,0.5,"$42,662,500"
Pittsburgh Pirates,1428.0,625,161,744,4.69,4.75,-0.13,0.0,99.6,4.86,22,3.0,1.16,-0.8,14.5,153,0.505,0.502,"$15,474,500"
San Diego Padres,1441.0,599,162,705,4.4,4.66,-0.05,0.0,91.6,4.32,-19,-0.8,1.11,0.7,12.3,113,0.499,0.503,"$12,176,000"
San Francisco Giants,1457.0,683,162,770,4.76,4.71,-0.28,0.01,101.2,5.06,44,5.3,1.44,-1.0,16.9,178,0.508,0.502,"$26,362,666"
St. Louis Cardinals,1453.2,631,162,659,4.08,4.62,0.2,0.02,98.6,4.38,43,4.6,1.16,-1.1,16.0,176,0.507,0.503,"$36,900,000"
,23146.0,10056,2590,12060,4.69,4.72,0.03,0.0,100.8,4.72,0,16.0,1.17,-16.0,199.6,2123,0.502,0.501,"$425,292,082"
