Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1441.0,631,162,732,4.57,4.76,0.23,0.01,106.8,4.86,55,6.7,1.12,-0.1,19.0,175,0.511,0.504,"$33,337,046"
Atlanta Braves,1456.1,690,162,733,4.53,4.81,0.34,-0.01,97.8,4.36,-18,-0.2,1.02,-1.5,10.8,103,0.5,0.501,"$30,260,000"
Chicago Cubs,1446.2,640,162,690,4.29,4.72,0.21,0.01,104.3,4.71,77,8.3,1.15,-1.3,19.4,197,0.513,0.504,"$42,990,666"
Cincinnati Reds,1449.2,684,162,853,5.3,4.76,-0.29,0.01,103.8,5.25,3,1.3,1.17,-1.7,12.0,123,0.502,0.501,"$33,438,333"
Colorado Rockies,1472.0,692,163,758,4.63,4.68,0.1,0.0,108.0,4.94,61,6.5,1.17,-1.1,18.1,183,0.509,0.504,"$24,149,000"
Florida Marlins,1443.2,722,162,891,5.55,4.79,-0.35,-0.03,97.8,5.0,-79,-6.8,1.1,-0.9,4.8,41,0.491,0.501,"$15,968,000"
Houston Astros,1464.2,638,162,813,5.0,4.75,-0.3,0.01,100.8,5.09,26,3.4,1.11,-1.0,15.0,148,0.505,0.502,"$36,697,000"
Los Angeles Dodgers,1450.0,645,162,727,4.51,4.71,0.0,0.0,100.5,4.73,46,5.5,1.08,-0.1,17.8,166,0.509,0.504,"$51,622,915"
Milwaukee Brewers,1444.1,654,162,776,4.84,4.67,-0.07,0.0,100.5,4.77,0,0.4,1.21,-1.1,11.7,120,0.501,0.501,"$35,979,167"
New York Mets,1452.1,661,162,750,4.65,4.84,0.21,0.0,96.9,4.48,-17,-0.7,1.14,-1.0,10.8,104,0.499,0.501,"$50,168,234"
Philadelphia Phillies,1458.1,660,162,821,5.07,4.75,0.26,0.0,102.0,4.58,-68,-6.0,1.15,-1.7,4.9,53,0.491,0.498,"$47,867,499"
Pittsburgh Pirates,1447.2,657,162,846,5.26,4.71,-0.12,0.0,98.4,4.75,-71,-5.9,1.1,-0.6,6.0,49,0.491,0.501,"$16,362,833"
San Diego Padres,1484.2,648,163,666,4.04,4.67,-0.01,-0.01,91.7,4.29,52,6.6,1.19,-1.0,18.4,175,0.51,0.504,"$29,926,500"
San Francisco Giants,1453.2,658,162,720,4.46,4.8,0.1,0.01,101.4,4.78,62,6.6,1.33,-0.9,18.2,183,0.51,0.503,"$36,007,502"
St. Louis Cardinals,1435.2,678,162,829,5.2,4.74,0.24,-0.01,99.1,4.45,-110,-9.1,0.88,-0.4,2.9,10,0.487,0.499,"$38,927,500"
Washington Nationals,1446.2,750,162,783,4.87,4.88,-0.09,-0.03,94.9,4.69,-19,-1.2,1.22,-1.4,9.9,101,0.498,0.501,"$11,300,000"
,23247.1,10708,2594,12388,4.8,4.75,0.03,0.0,100.3,4.73,0,15.5,1.13,-15.5,199.6,1931,0.501,0.502,"$535,002,195"
