Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1453.2,722,162,678,4.2,4.68,0.15,0.01,0.08,95.8,4.42,16,2.3,1.34,0.0,16.1,175,0.503,0.502,"$38,997,900"
Boston Red Sox,1430.0,676,162,776,4.88,4.8,-0.11,-0.02,0.06,105.2,5.21,33,4.2,1.06,-0.2,17.7,189,0.506,0.503,"$84,217,000"
Chicago White Sox,1431.2,683,162,841,5.29,4.71,-0.28,0.0,0.09,104.8,5.33,-11,-0.4,1.17,-1.8,11.5,145,0.499,0.5,"$50,692,618"
Cleveland Guardians,1444.0,707,162,697,4.34,4.66,0.17,0.0,0.11,97.0,4.46,-1,1.0,1.25,-1.2,13.5,157,0.501,0.501,"$29,603,200"
Detroit Tigers,1442.1,697,162,740,4.62,4.67,0.14,-0.02,0.08,103.6,4.76,4,1.6,1.13,-0.8,14.5,162,0.502,0.502,"$52,924,200"
Houston Astros,1445.1,675,162,698,4.35,4.7,0.16,0.02,0.06,98.3,4.54,12,1.7,1.06,-0.9,14.5,170,0.502,0.501,"$112,663,133"
Kansas City Royals,1409.0,688,162,859,5.49,4.65,-0.18,0.0,0.03,102.7,4.99,-97,-9.1,0.99,-1.4,2.8,57,0.487,0.497,"$50,235,200"
Los Angeles Angels,1431.2,653,162,829,5.21,4.8,-0.09,0.0,0.07,103.7,5.14,-31,-2.2,1.25,-1.0,10.5,126,0.497,0.5,"$91,878,960"
Minnesota Twins,1451.1,650,162,659,4.09,4.6,0.16,0.01,0.12,101.0,4.62,66,7.4,1.23,-0.6,20.6,225,0.511,0.503,"$34,948,900"
New York Yankees,1439.2,665,162,698,4.36,4.83,0.13,-0.01,0.07,101.8,4.85,58,7.4,1.22,-0.9,20.2,216,0.511,0.504,"$133,782,408"
Oakland Athletics,1419.2,694,162,924,5.86,4.81,-0.51,-0.02,0.07,95.5,5.12,-135,-12.3,1.18,-1.3,-0.1,20,0.482,0.498,"$24,620,000"
Seattle Mariners,1449.1,712,162,659,4.09,4.71,0.09,0.02,0.1,94.0,4.45,38,4.6,1.2,-0.7,17.6,197,0.506,0.503,"$52,891,100"
Tampa Bay Rays,1442.0,698,162,665,4.15,4.67,0.14,-0.01,0.06,96.7,4.43,25,3.9,1.18,-0.3,17.3,183,0.506,0.502,"$43,114,266"
Texas Rangers,1436.1,629,162,716,4.49,4.69,0.24,0.01,0.06,103.2,4.66,9,1.6,1.22,-1.6,13.7,166,0.503,0.501,"$155,234,108"
Toronto Blue Jays,1451.2,712,162,671,4.16,4.78,0.53,0.01,0.1,99.7,4.34,10,1.8,1.22,-0.9,14.7,169,0.503,0.502,"$108,489,635"
,21577.2,10261,2430,11110,4.63,4.72,0.05,0.0,0.08,100.2,4.75,0,13.4,1.18,-13.4,205.0,2357,0.501,0.501,"$1,064,292,628"
