Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Anaheim Angels,1454.1,505,162,734,4.54,5.0,-0.04,0.0,96.1,4.84,37,3.9,1.16,-0.6,18.3,217,0.508,0.503,"$44,668,167"
Baltimore Orioles,1455.1,614,162,830,5.13,5.05,-0.18,-0.02,98.3,5.13,-13,-0.4,1.15,-1.0,13.8,167,0.499,0.502,"$11,110,000"
Boston Red Sox,1451.1,599,162,768,4.76,5.09,-0.09,0.01,103.6,5.38,87,9.5,1.05,-0.7,23.9,267,0.516,0.505,"$58,682,500"
Chicago White Sox,1432.1,561,162,831,5.22,5.04,0.1,0.02,100.7,4.99,-48,-3.9,1.04,-0.5,10.4,130,0.493,0.5,"$22,192,000"
Cleveland Indians,1466.2,641,162,857,5.26,5.02,-0.07,-0.01,93.9,4.76,-93,-7.6,1.25,-2.2,5.5,89,0.488,0.499,"$15,600,500"
Detroit Tigers,1439.2,594,162,844,5.28,5.02,-0.13,0.0,96.4,4.96,-62,-5.0,1.19,-1.4,8.6,117,0.492,0.499,"$10,270,500"
Kansas City Royals,1420.1,571,162,905,5.73,5.17,-0.1,0.0,101.6,5.34,-73,-6.3,1.12,-1.2,7.2,103,0.489,0.499,"$12,127,500"
Minnesota Twins,1476.0,597,162,715,4.36,5.05,0.0,0.0,101.7,5.14,115,12.5,1.34,0.1,28.0,298,0.521,0.507,"$16,455,000"
New York Yankees,1443.2,598,162,808,5.04,5.02,-0.5,0.0,97.4,5.37,41,4.9,1.19,0.4,20.3,220,0.508,0.504,"$80,281,836"
Oakland Athletics,1471.1,576,162,742,4.54,5.07,-0.11,0.02,97.9,5.09,78,7.9,1.37,-1.1,22.0,261,0.514,0.503,"$25,674,500"
Seattle Mariners,1459.1,576,162,823,5.08,5.13,0.12,0.01,96.8,4.85,-49,-3.8,1.26,-1.3,10.1,132,0.493,0.499,"$34,157,500"
Tampa Bay Devil Rays,1417.0,562,161,842,5.35,5.14,0.01,-0.02,97.1,4.96,-73,-6.3,1.06,-1.2,7.3,103,0.489,0.5,"$8,327,500"
Texas Rangers,1439.2,630,162,794,4.96,5.08,-0.2,-0.02,106.7,5.6,90,9.3,1.19,-0.2,24.2,268,0.515,0.505,"$26,713,750"
Toronto Blue Jays,1421.0,592,161,823,5.21,5.17,0.29,0.0,103.6,5.05,-38,-2.9,1.08,-0.9,11.0,138,0.495,0.5,"$21,438,000"
,20248.0,8216,2266,11316,5.03,5.07,-0.06,0.0,99.4,5.1,0,11.8,1.18,-11.8,210.6,2510,0.501,0.502,"$387,699,253"
