Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1432.0,605,162,715,4.49,4.59,0.03,-0.01,101.9,4.64,24,3.3,1.04,-0.3,17.3,165,0.505,0.504,"$54,778,000"
Boston Red Sox,1439.2,625,162,694,4.34,4.5,0.43,0.01,105.4,4.3,-5,0.2,1.22,-1.1,13.4,137,0.5,0.501,"$102,406,750"
Chicago White Sox,1446.2,643,162,715,4.45,4.56,0.0,0.02,96.8,4.43,-3,1.2,1.18,-0.8,14.8,140,0.502,0.502,"$57,309,000"
Cleveland Indians,1445.0,665,161,676,4.21,4.53,0.22,0.0,106.9,4.61,64,7.5,1.03,-0.8,21.2,207,0.511,0.504,"$34,977,600"
Detroit Tigers,1428.0,637,161,721,4.54,4.51,-0.33,0.0,101.2,4.9,57,7.1,1.11,-1.1,20.3,198,0.511,0.502,"$89,828,000"
Houston Astros,1468.0,662,162,701,4.3,4.6,0.45,-0.01,93.3,3.86,-71,-6.7,1.13,-1.2,6.7,74,0.49,0.499,"$37,881,000"
Kansas City Royals,1440.0,634,162,712,4.45,4.57,0.1,-0.01,102.0,4.55,17,2.6,1.17,-0.7,16.2,158,0.504,0.502,"$66,887,500"
Los Angeles Angels,1421.1,689,162,727,4.6,4.61,0.22,-0.01,94.6,4.14,-73,-6.4,1.0,-1.6,6.2,67,0.491,0.499,"$53,649,500"
Minnesota Twins,1443.0,695,162,889,5.54,4.53,-0.37,-0.02,100.7,4.92,-100,-9.3,1.06,-1.3,3.9,43,0.487,0.499,"$48,130,000"
New York Yankees,1428.1,645,162,702,4.42,4.63,0.09,0.0,102.9,4.67,41,4.7,1.11,-0.6,18.4,181,0.507,0.502,"$68,305,750"
Oakland Athletics,1433.1,654,162,761,4.78,4.65,-0.4,-0.02,96.3,4.85,13,2.6,1.07,-0.9,16.0,154,0.504,0.503,"$16,890,067"
Seattle Mariners,1457.0,638,162,707,4.37,4.58,0.06,0.0,95.3,4.32,-8,-0.4,1.19,-1.1,13.0,136,0.499,0.501,"$55,013,200"
Tampa Bay Rays,1426.1,647,162,713,4.5,4.61,0.13,0.0,96.5,4.32,-27,-2.4,1.09,-0.9,10.9,113,0.496,0.5,"$19,103,191"
Texas Rangers,1443.0,641,162,757,4.72,4.61,0.03,0.0,106.8,4.89,27,4.3,1.23,-0.8,17.8,169,0.507,0.504,"$66,558,810"
Toronto Blue Jays,1459.1,649,162,666,4.11,4.59,0.31,0.02,101.8,4.38,44,5.4,1.16,-0.6,19.3,188,0.508,0.502,"$81,880,167"
,21611.0,9729,2428,10856,4.52,4.58,0.07,0.0,100.2,4.52,0,13.7,1.12,-13.7,215.4,2129,0.501,0.502,"$853,598,535"
