Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1483.0,654,162,705,4.28,4.49,-0.06,-0.01,102.5,4.66,62,7.7,1.16,-0.5,22.7,213,0.512,0.504,"$26,939,000"
Boston Red Sox,1443.0,651,162,806,5.03,4.47,0.38,-0.01,102.9,4.2,-132,-12.1,1.15,-2.6,0.3,15,0.481,0.497,"$38,419,000"
Chicago White Sox,1445.2,628,162,676,4.21,4.44,0.04,0.01,104.1,4.58,61,7.6,1.25,-0.9,21.7,208,0.512,0.504,"$51,490,000"
Cleveland Indians,1442.0,655,162,845,5.27,4.44,-0.33,-0.01,95.4,4.53,-118,-11.4,1.08,-1.0,2.6,28,0.483,0.499,"$38,600,500"
Detroit Tigers,1430.2,582,162,670,4.21,4.48,-0.21,0.01,104.5,4.91,111,13.0,1.17,-1.6,26.2,257,0.522,0.505,"$49,564,500"
Kansas City Royals,1451.1,662,162,746,4.63,4.53,0.0,-0.02,101.6,4.58,-7,0.5,1.19,-0.8,14.8,141,0.501,0.502,"$25,729,950"
Los Angeles Angels of Anaheim,1433.1,606,162,699,4.39,4.46,0.27,0.02,93.3,3.92,-74,-7.0,1.04,-1.1,6.8,72,0.489,0.498,"$63,601,000"
Minnesota Twins,1438.2,661,162,832,5.2,4.47,0.13,-0.03,100.7,4.34,-138,-12.9,1.07,-1.3,0.7,8,0.48,0.498,"$31,970,000"
New York Yankees,1445.1,647,162,668,4.16,4.45,0.08,0.01,103.1,4.52,59,7.0,1.17,-0.7,21.2,206,0.511,0.503,"$75,911,125"
Oakland Athletics,1470.0,624,162,614,3.76,4.54,0.06,-0.01,95.0,4.25,81,9.3,1.17,-1.0,23.5,230,0.515,0.504,"$21,900,000"
Seattle Mariners,1456.2,613,162,651,4.02,4.6,0.03,0.01,93.4,4.28,41,4.9,1.2,-1.2,18.7,189,0.508,0.502,"$34,968,100"
Tampa Bay Rays,1459.2,633,162,577,3.56,4.47,0.2,0.01,95.1,4.07,84,9.6,1.13,-0.6,24.1,232,0.515,0.505,"$27,223,700"
Texas Rangers,1442.0,590,162,707,4.41,4.48,-0.05,0.01,105.2,4.78,59,7.1,1.08,-0.9,21.2,206,0.512,0.504,"$44,266,800"
Toronto Blue Jays,1443.2,657,162,784,4.89,4.51,0.31,-0.01,103.2,4.32,-91,-8.3,1.01,-0.5,6.3,56,0.487,0.5,"$29,963,700"
,20285.0,8863,2268,9980,4.43,4.49,0.06,0.0,100.0,4.43,0,14.9,1.13,-14.9,210.6,2060,0.502,0.502,"$560,547,375"
