Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1446.2,584,162,674,4.19,4.61,-0.03,0.04,109.5,5.12,144,17.0,1.16,-0.4,29.0,270,0.529,0.508,"$59,772,499"
Atlanta Braves,1467.1,630,161,565,3.47,4.56,0.47,0.0,100.6,4.11,101,11.1,1.24,-0.4,23.4,230,0.518,0.506,"$42,410,367"
Chicago Cubs,1441.1,552,162,759,4.74,4.5,-0.35,0.01,98.5,4.77,1,1.5,1.03,-1.1,12.8,127,0.503,0.502,"$27,313,333"
Cincinnati Reds,1453.2,624,162,774,4.79,4.51,0.0,-0.03,104.0,4.66,-26,-2.0,1.14,-1.4,9.2,101,0.497,0.5,"$13,774,667"
Colorado Rockies,1426.2,668,162,898,5.66,4.65,0.22,-0.01,115.1,5.09,-95,-9.1,1.04,-1.2,2.1,30,0.486,0.498,"$31,025,376"
Florida Marlins,1456.1,623,162,763,4.72,4.48,-0.08,-0.01,97.3,4.43,-51,-4.7,1.12,-1.0,6.9,77,0.492,0.5,"$11,358,250"
Houston Astros,1445.0,642,162,695,4.33,4.48,-0.27,-0.01,105.2,4.98,101,11.6,1.05,-0.6,23.6,227,0.518,0.506,"$25,466,667"
Los Angeles Dodgers,1457.2,585,162,643,3.97,4.59,0.27,0.01,93.0,4.02,5,1.0,1.22,0.2,13.8,132,0.502,0.502,"$41,482,619"
Milwaukee Brewers,1432.1,608,162,821,5.16,4.51,-0.09,-0.01,99.7,4.58,-96,-8.7,0.96,-0.7,2.9,29,0.486,0.499,"$12,260,000"
Montreal Expos,1453.0,599,162,718,4.45,4.5,-0.08,0.0,101.9,4.67,32,3.9,1.31,-1.7,14.7,159,0.507,0.502,"$11,707,500"
New York Mets,1442.2,612,161,703,4.39,4.55,-0.14,0.0,96.5,4.52,18,2.2,1.18,-0.8,13.8,144,0.504,0.502,"$36,283,333"
Philadelphia Phillies,1449.2,611,161,724,4.49,4.48,0.15,0.0,93.8,4.06,-74,-7.0,1.26,-1.8,3.8,53,0.489,0.498,"$20,578,333"
Pittsburgh Pirates,1412.2,619,161,730,4.65,4.5,0.07,-0.01,103.1,4.56,-19,-1.6,1.19,-0.5,10.1,105,0.497,0.5,"$11,775,667"
San Diego Padres,1436.1,621,162,815,5.11,4.64,-0.45,0.0,92.6,4.71,-68,-5.9,1.23,0.1,6.6,57,0.49,0.5,"$16,235,000"
San Francisco Giants,1437.1,579,162,616,3.86,4.54,0.24,0.02,94.9,4.1,35,3.9,1.18,-1.1,15.2,161,0.507,0.502,"$32,200,667"
St. Louis Cardinals,1446.1,634,162,648,4.03,4.4,0.3,-0.01,98.3,4.01,-8,0.2,1.07,-1.0,11.7,119,0.5,0.501,"$39,994,209"
,23105.0,9791,2588,11546,4.5,4.53,0.02,0.0,100.2,4.52,0,13.4,1.15,-13.4,199.6,2021,0.501,0.502,"$433,638,487"
