Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1465.0,719,162,743,4.56,4.82,0.55,-0.01,101.1,4.31,-20,-1.1,1.2,-0.9,11.2,95,0.499,0.5,"$67,385,200"
Atlanta Braves,1450.2,737,162,743,4.61,4.77,0.11,0.0,103.1,4.8,52,6.4,1.15,-1.4,18.0,166,0.509,0.503,"$65,591,667"
Chicago Cubs,1442.0,738,162,717,4.48,4.79,0.19,0.01,100.2,4.61,43,4.7,1.17,-1.5,16.1,156,0.506,0.502,"$146,933,500"
Cincinnati Reds,1438.0,697,162,711,4.45,4.86,0.24,0.01,105.0,4.86,86,9.7,1.22,-1.4,21.2,199,0.514,0.504,"$49,726,785"
Colorado Rockies,1448.2,752,162,958,5.95,4.86,0.22,-0.01,115.7,5.35,-76,-6.6,1.03,-1.4,5.0,37,0.491,0.499,"$75,201,500"
Los Angeles Dodgers,1445.2,707,162,613,3.82,4.7,0.62,0.01,95.2,3.89,34,4.0,1.09,-1.1,15.8,147,0.506,0.501,"$120,163,333"
Miami Marlins,1444.1,701,162,808,5.03,4.89,0.04,0.0,96.9,4.71,-31,-2.7,1.05,-1.5,8.8,82,0.496,0.499,"$31,866,500"
Milwaukee Brewers,1459.1,750,162,766,4.72,4.85,0.21,-0.03,100.6,4.63,6,1.8,1.21,-0.3,14.7,121,0.502,0.501,"$38,051,100"
New York Mets,1461.0,664,162,737,4.54,4.79,-0.15,0.03,93.3,4.63,36,4.7,1.16,-1.0,16.7,151,0.507,0.502,"$47,303,466"
Philadelphia Phillies,1453.2,726,162,794,4.92,4.77,0.35,0.0,101.3,4.48,-50,-4.6,1.1,-0.6,7.9,64,0.494,0.5,"$77,883,500"
Pittsburgh Pirates,1440.0,712,162,911,5.69,4.77,-0.23,-0.02,98.6,4.92,-103,-9.3,0.99,0.1,3.7,10,0.487,0.5,"$24,293,667"
San Diego Padres,1432.0,705,162,789,4.96,4.86,0.06,-0.02,95.9,4.57,-40,-3.4,1.19,-0.3,9.2,72,0.495,0.5,"$26,913,700"
San Francisco Giants,1469.0,749,162,773,4.74,4.9,0.17,-0.01,95.6,4.51,-15,-0.8,1.25,0.0,12.4,100,0.499,0.501,"$93,699,583"
St. Louis Cardinals,1444.0,704,162,662,4.13,4.77,0.39,0.0,95.6,4.19,32,3.7,1.16,-1.2,15.4,145,0.505,0.502,"$63,155,100"
Washington Nationals,1439.1,692,162,724,4.53,4.72,0.13,0.03,101.5,4.68,46,6.7,1.1,-0.7,18.9,159,0.51,0.503,"$123,512,661"
,21732.2,10753,2430,11449,4.74,4.81,0.19,0.0,100.0,4.61,0,13.3,1.14,-13.3,194.8,1707,0.501,0.501,"$1,051,681,262"
