Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1435.1,709,162,761,4.77,4.74,0.24,0.0,0.07,99.4,4.54,-36,-2.4,1.06,-1.2,10.1,103,0.497,0.5,"$60,177,100"
Atlanta Braves,1440.0,694,162,716,4.48,4.7,0.17,0.0,0.05,100.9,4.62,25,3.7,1.13,-1.4,16.1,165,0.505,0.503,"$79,447,500"
Chicago Cubs,1435.1,672,162,723,4.53,4.7,0.26,0.0,0.07,102.1,4.61,14,2.0,1.08,-1.7,14.0,153,0.503,0.501,"$77,790,250"
Cincinnati Reds,1439.1,767,162,821,5.13,4.73,-0.16,-0.02,0.07,104.1,5.15,4,1.4,1.3,0.0,15.2,143,0.502,0.502,"$19,910,833"
Colorado Rockies,1414.0,706,162,957,6.09,4.81,0.1,-0.02,0.05,114.7,5.44,-101,-9.3,1.07,-1.5,2.7,36,0.487,0.499,"$76,829,682"
Los Angeles Dodgers,1446.1,713,162,699,4.35,4.68,0.42,0.0,0.08,99.2,4.29,-7,0.7,1.08,-1.2,13.3,133,0.501,0.501,"$99,985,000"
Miami Marlins,1435.1,706,162,723,4.53,4.83,-0.04,-0.01,0.08,102.0,5.04,83,9.5,1.28,-0.1,23.1,222,0.513,0.504,"$38,748,000"
Milwaukee Brewers,1443.0,680,162,647,4.04,4.7,0.42,0.01,0.09,98.1,4.29,43,5.3,1.2,-0.6,18.5,183,0.508,0.504,"$59,308,960"
New York Mets,1416.1,685,162,729,4.63,4.77,-0.09,0.01,0.04,96.1,4.71,15,2.5,1.12,-1.0,15.1,152,0.504,0.501,"$72,877,344"
Philadelphia Phillies,1442.1,685,162,715,4.46,4.73,-0.21,0.02,0.09,97.9,4.95,80,9.2,1.2,-1.3,21.6,220,0.513,0.504,"$95,346,417"
Pittsburgh Pirates,1430.0,691,162,790,4.97,4.71,0.04,0.0,0.05,101.2,4.77,-30,-2.3,1.14,-0.8,10.5,109,0.497,0.501,"$22,432,500"
San Diego Padres,1441.0,669,162,648,4.05,4.69,0.34,0.01,0.08,93.4,4.14,17,2.9,1.09,-1.4,15.2,157,0.504,0.502,"$121,494,000"
San Francisco Giants,1434.2,658,162,719,4.51,4.73,-0.08,-0.02,0.09,96.9,4.72,35,4.0,1.24,-1.5,16.2,174,0.506,0.502,"$79,633,750"
St. Louis Cardinals,1428.1,646,162,829,5.22,4.7,-0.02,0.01,0.05,99.3,4.75,-74,-6.3,1.18,-0.7,6.6,65,0.49,0.499,"$83,931,100"
Washington Nationals,1428.1,688,162,845,5.32,4.77,-0.18,0.0,0.05,97.9,4.89,-67,-6.0,1.12,-0.5,7.1,71,0.491,0.499,"$45,499,878"
,21509.2,10369,2430,11322,4.74,4.73,0.08,0.0,0.07,100.2,4.73,0,14.9,1.15,-14.9,205.1,2085,0.501,0.502,"$1,033,412,314"
