Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1429.0,646,162,876,5.52,4.99,-0.1,-0.02,102.3,5.18,-60,-4.6,1.06,-1.2,9.1,105,0.493,0.499,"$26,509,166"
Boston Red Sox,1436.2,625,162,736,4.61,4.92,-0.09,0.01,103.8,5.22,89,10.0,1.09,-0.9,24.2,256,0.516,0.506,"$50,995,999"
Chicago White Sox,1439.2,577,162,732,4.58,4.9,-0.14,0.01,104.3,5.26,102,11.2,1.09,-1.0,25.2,269,0.519,0.505,"$50,302,500"
Cleveland Indians,1434.0,607,162,865,5.43,4.8,-0.12,-0.01,95.6,4.69,-125,-11.2,1.03,-1.1,2.6,41,0.482,0.498,"$31,323,900"
Detroit Tigers,1447.0,602,163,745,4.63,4.86,0.22,0.0,100.2,4.65,-6,0.4,1.09,-1.7,13.8,162,0.501,0.502,"$50,889,500"
Kansas City Royals,1426.0,588,162,842,5.31,4.87,-0.65,0.0,98.5,5.44,12,2.9,1.08,-1.0,16.7,177,0.505,0.502,"$37,124,500"
Los Angeles Angels of Anaheim,1445.0,596,162,761,4.74,4.81,0.46,0.01,97.7,4.27,-84,-7.3,1.17,-1.3,6.5,84,0.488,0.499,"$50,709,000"
Minnesota Twins,1453.0,643,163,765,4.74,4.81,-0.26,-0.01,98.0,4.97,30,3.5,1.12,-0.2,18.4,198,0.505,0.504,"$22,412,000"
New York Yankees,1450.0,623,162,753,4.67,4.9,-0.13,-0.01,102.7,5.16,70,8.3,1.18,-0.3,23.1,238,0.513,0.505,"$73,860,239"
Oakland Athletics,1447.1,650,162,761,4.73,4.88,-0.17,-0.02,97.6,4.9,20,2.9,0.98,-1.3,16.7,187,0.504,0.503,"$10,065,000"
Seattle Mariners,1452.2,572,162,692,4.29,4.94,0.49,0.0,94.6,4.22,-19,-0.8,1.38,-1.8,12.6,150,0.499,0.5,"$46,870,000"
Tampa Bay Rays,1427.1,672,162,754,4.75,4.95,0.29,0.01,97.9,4.57,-36,-2.9,1.23,-1.4,10.6,129,0.496,0.5,"$28,823,766"
Texas Rangers,1434.2,598,162,740,4.64,4.89,0.05,0.0,103.4,5.01,51,5.9,1.04,-0.5,20.4,218,0.51,0.503,"$36,024,082"
Toronto Blue Jays,1451.0,607,162,771,4.78,4.96,0.38,0.0,99.5,4.56,-43,-2.8,1.07,-1.6,10.7,125,0.495,0.5,"$38,406,700"
,20173.1,8606,2270,10793,4.82,4.89,0.02,0.0,99.7,4.86,0,15.4,1.12,-15.4,210.5,2341,0.502,0.502,"$554,316,352"
