Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1422.0,653,161,869,5.5,4.82,-0.01,-0.02,102.5,4.92,-116,-10.4,1.13,-1.6,2.9,63,0.484,0.498,"$18,142,666"
Boston Red Sox,1446.1,628,162,694,4.32,4.8,0.13,0.0,105.8,4.94,76,9.1,1.16,-0.4,23.8,257,0.515,0.505,"$35,121,749"
Chicago White Sox,1457.2,626,163,729,4.5,4.87,-0.2,0.01,104.9,5.33,108,11.7,1.17,-0.9,25.9,292,0.519,0.505,"$49,476,000"
Cleveland Indians,1437.0,561,162,761,4.77,4.8,0.16,0.02,97.8,4.55,-59,-4.6,1.05,-1.2,9.0,121,0.492,0.499,"$44,199,500"
Detroit Tigers,1445.0,602,162,857,5.34,4.83,-0.35,-0.01,101.5,5.24,-40,-3.3,1.17,-2.1,9.6,142,0.494,0.5,"$40,800,000"
Kansas City Royals,1445.2,601,162,781,4.86,4.92,-0.43,0.0,99.2,5.31,47,5.7,1.09,0.1,20.8,229,0.509,0.504,"$29,067,000"
Los Angeles Angels of Anaheim,1451.1,545,162,697,4.32,4.82,0.06,0.02,101.9,4.87,63,7.2,1.33,-0.3,21.9,245,0.513,0.504,"$43,121,333"
Minnesota Twins,1459.0,648,163,745,4.6,4.81,-0.18,0.0,96.0,4.79,7,1.3,1.25,-0.8,15.7,190,0.502,0.501,"$18,940,000"
New York Yankees,1441.2,637,162,727,4.54,4.83,-0.23,-0.02,101.1,5.09,64,7.4,1.06,-0.2,22.2,246,0.512,0.504,"$74,327,970"
Oakland Athletics,1435.0,602,161,690,4.33,4.85,0.27,-0.01,94.4,4.32,-26,-1.4,1.16,-0.7,12.9,154,0.498,0.501,"$22,012,126"
Seattle Mariners,1435.1,631,162,811,5.09,4.89,0.11,-0.01,96.2,4.59,-104,-9.3,1.21,-2.1,3.6,77,0.485,0.497,"$41,957,500"
Tampa Bay Rays,1457.2,610,162,671,4.14,4.84,0.14,0.0,101.1,4.76,75,8.1,1.28,-0.8,22.5,258,0.513,0.503,"$19,999,597"
Texas Rangers,1442.0,619,162,967,6.04,4.72,-0.27,-0.03,101.5,5.03,-185,-16.7,1.18,-2.0,-3.6,-4,0.473,0.496,"$34,806,002"
Toronto Blue Jays,1446.2,583,162,610,3.79,4.84,0.25,0.02,97.8,4.52,91,9.6,1.3,-1.3,23.4,273,0.517,0.505,"$41,605,400"
,20222.1,8546,2268,10609,4.72,4.83,-0.04,0.0,100.1,4.88,0,14.5,1.18,-14.5,210.5,2545,0.502,0.502,"$513,576,843"
