Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1463.0,735,162,644,3.96,4.42,0.71,0.01,104.3,3.88,6,2.0,1.25,-2.2,12.8,111,0.503,0.501,"$77,331,100"
Atlanta Braves,1456.2,715,162,657,4.06,4.36,0.33,0.0,100.6,4.06,19,3.1,1.13,-1.2,14.9,124,0.504,0.502,"$33,786,667"
Chicago Cubs,1476.1,763,163,645,3.93,4.39,0.51,-0.01,102.7,3.98,28,3.6,1.21,-0.9,15.9,135,0.505,0.502,"$141,206,714"
Cincinnati Reds,1441.0,706,162,819,5.12,4.45,-0.07,-0.01,103.0,4.64,-57,-4.5,1.03,-0.3,8.1,47,0.494,0.501,"$48,179,286"
Colorado Rockies,1452.1,681,163,745,4.62,4.41,0.22,0.02,116.1,4.88,62,7.7,1.14,-0.8,19.9,167,0.511,0.503,"$53,399,500"
Los Angeles Dodgers,1476.0,756,163,610,3.72,4.3,0.35,0.0,96.9,3.83,38,4.9,1.09,-2.0,16.1,144,0.507,0.502,"$90,419,429"
Miami Marlins,1442.0,707,161,809,5.05,4.46,0.11,-0.02,95.0,4.12,-130,-13.1,1.04,-0.8,-1.0,-26,0.481,0.497,"$42,218,000"
Milwaukee Brewers,1461.0,722,163,659,4.06,4.38,0.71,-0.01,101.0,3.69,-41,-3.7,1.18,-1.4,8.0,64,0.495,0.5,"$37,548,300"
New York Mets,1460.2,663,162,707,4.36,4.41,-0.22,0.01,92.9,4.31,11,3.4,1.14,-1.6,14.8,116,0.505,0.502,"$53,627,275"
Philadelphia Phillies,1445.2,758,162,728,4.53,4.43,-0.46,0.0,101.8,4.97,90,11.2,1.16,-0.9,23.2,194,0.515,0.504,"$59,234,000"
Pittsburgh Pirates,1434.0,641,161,693,4.35,4.39,0.06,0.0,97.5,4.23,-1,0.8,1.06,-0.8,12.9,103,0.501,0.502,"$26,393,167"
San Diego Padres,1457.0,697,162,767,4.74,4.39,0.17,-0.02,95.8,4.02,-97,-9.1,1.1,-0.7,3.3,8,0.487,0.5,"$29,026,700"
San Francisco Giants,1461.1,711,162,699,4.3,4.43,-0.03,0.0,94.6,4.22,5,1.4,1.24,-0.7,13.7,110,0.502,0.502,"$92,394,333"
St. Louis Cardinals,1455.1,727,162,691,4.27,4.36,0.02,0.0,96.7,4.19,5,1.4,1.07,-1.7,12.6,110,0.502,0.5,"$88,371,500"
Washington Nationals,1446.0,724,162,682,4.24,4.35,0.02,0.01,104.1,4.52,63,7.9,1.08,-1.2,19.6,168,0.511,0.503,"$93,447,699"
,21828.1,10706,2432,10555,4.35,4.39,0.16,0.0,100.2,4.23,0,17.0,1.13,-17.0,194.7,1577,0.502,0.501,"$966,583,670"
