Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1441.0,654,162,841,5.25,4.74,-0.08,-0.01,99.6,4.79,-79,-6.7,1.01,-0.7,6.9,75,0.49,0.501,"$58,996,500"
Boston Red Sox,1482.1,677,162,668,4.06,4.78,0.5,0.01,104.1,4.47,63,7.5,1.17,-1.5,20.8,221,0.511,0.503,"$99,834,750"
Chicago White Sox,1421.2,682,162,820,5.19,4.81,-0.05,0.0,99.7,4.84,-60,-5.1,1.01,-0.4,8.7,92,0.493,0.498,"$49,845,000"
Cleveland Indians,1440.2,659,162,564,3.52,4.75,0.35,0.02,104.9,4.64,173,18.6,1.03,-1.5,31.4,327,0.528,0.506,"$53,510,700"
Detroit Tigers,1420.1,672,162,894,5.66,4.79,-0.62,0.0,102.9,5.57,-20,-0.9,0.99,-0.3,12.9,132,0.499,0.501,"$49,563,600"
Houston Astros,1446.0,681,162,700,4.36,4.75,0.11,0.0,92.9,4.31,-14,-0.4,1.02,-0.4,13.6,141,0.499,0.5,"$75,757,000"
Kansas City Royals,1437.2,700,162,791,4.95,4.84,-0.28,-0.01,102.0,5.22,37,4.8,1.13,-0.6,18.5,191,0.507,0.503,"$57,240,900"
Los Angeles Angels,1440.2,705,162,709,4.43,4.9,0.36,-0.01,95.8,4.34,-19,-1.6,1.11,-1.9,11.0,135,0.498,0.5,"$45,780,500"
Minnesota Twins,1436.0,682,162,788,4.94,4.71,0.18,-0.01,101.2,4.58,-62,-5.0,1.05,-0.3,9.0,91,0.493,0.5,"$56,147,500"
New York Yankees,1448.2,639,162,660,4.1,4.73,0.16,0.0,102.8,4.7,91,9.8,1.06,-1.1,23.2,246,0.515,0.504,"$98,840,900"
Oakland Athletics,1431.0,687,162,826,5.19,4.85,-0.24,0.0,94.2,4.8,-69,-6.0,1.09,-0.5,7.7,84,0.491,0.499,"$20,017,500"
Seattle Mariners,1440.1,689,162,772,4.82,4.87,0.13,-0.01,95.3,4.51,-56,-4.6,1.27,-0.7,9.1,98,0.493,0.5,"$93,382,500"
Tampa Bay Rays,1445.0,673,162,704,4.38,4.81,0.31,0.0,96.4,4.35,-11,-0.8,1.25,-1.9,11.7,143,0.499,0.5,"$25,504,566"
Texas Rangers,1434.1,626,162,816,5.12,4.9,0.0,0.01,108.5,5.32,27,3.8,1.06,-1.4,16.7,180,0.506,0.503,"$71,054,970"
Toronto Blue Jays,1465.0,740,162,784,4.82,4.85,0.09,-0.01,102.2,4.85,0,1.0,1.17,-1.5,14.2,156,0.501,0.502,"$54,412,967"
,21630.2,10166,2430,11337,4.72,4.81,0.06,0.0,100.2,4.75,0,14.6,1.1,-14.6,215.4,2313,0.501,0.501,"$909,889,853"
