Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Baltimore Orioles,1427.2,636,162,800,5.04,4.97,0.17,-0.02,99.2,4.74,-59,-5.3,1.12,-1.1,8.5,107,0.492,0.499,"$23,890,000"
Boston Red Sox,1429.0,604,162,805,5.07,4.89,-0.13,0.02,104.1,5.25,17,2.5,0.96,-0.2,17.2,184,0.504,0.502,"$48,866,000"
Chicago White Sox,1475.2,574,162,645,3.93,4.74,0.26,0.03,102.9,4.64,104,11.0,1.44,-0.2,26.1,276,0.519,0.506,"$37,780,000"
Cleveland Indians,1452.2,571,162,642,3.98,4.66,0.32,0.01,95.8,4.17,19,2.3,1.21,-1.0,16.5,189,0.504,0.502,"$26,630,000"
Detroit Tigers,1435.2,587,162,787,4.93,4.7,0.17,0.0,97.5,4.42,-93,-8.6,1.11,-1.0,5.4,74,0.485,0.498,"$19,342,500"
Kansas City Royals,1413.1,605,162,935,5.95,4.73,-0.73,-0.04,101.4,5.51,-81,-7.5,1.1,-1.2,6.1,84,0.488,0.499,"$9,647,000"
Los Angeles Angels of Anaheim,1464.1,540,162,643,3.95,4.84,0.27,0.01,97.3,4.45,70,7.5,1.27,-0.2,22.6,240,0.514,0.503,"$31,993,322"
Minnesota Twins,1464.1,558,162,662,4.07,4.77,0.2,0.01,101.5,4.65,84,9.2,1.27,-0.7,23.8,254,0.517,0.505,"$29,579,500"
New York Yankees,1430.2,580,162,789,4.96,4.85,-0.68,0.0,97.1,5.37,54,7.2,1.1,0.1,22.2,221,0.512,0.505,"$96,630,953"
Oakland Athletics,1450.1,572,162,658,4.08,4.83,0.24,0.01,99.8,4.58,69,7.6,1.04,-0.7,22.1,238,0.513,0.504,"$15,552,000"
Seattle Mariners,1427.2,595,162,751,4.73,4.86,-0.02,0.0,95.7,4.67,-21,-1.6,1.26,-1.3,12.0,146,0.497,0.5,"$32,181,000"
Tampa Bay Devil Rays,1421.2,563,162,936,5.93,4.99,-0.03,-0.02,99.7,4.99,-159,-14.4,1.29,-1.5,-1.1,7,0.474,0.496,"$11,544,500"
Texas Rangers,1440.0,616,162,858,5.36,4.79,-0.28,-0.03,104.2,5.25,-28,-1.8,1.13,-1.3,12.0,139,0.497,0.501,"$29,436,500"
Toronto Blue Jays,1447.0,594,162,705,4.38,4.91,0.39,-0.01,102.1,4.6,24,3.6,1.2,-1.5,17.3,193,0.506,0.502,"$25,125,500"
,20180.0,8195,2268,10616,4.73,4.82,0.01,0.0,99.9,4.8,0,11.6,1.18,-11.6,210.5,2353,0.501,0.502,"$438,198,775"
