Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1444.1,650,162,742,4.62,4.08,0.12,-0.01,102.1,4.04,-87,-9.1,1.12,-1.4,2.5,20,0.486,0.498,"$36,336,500"
Atlanta Braves,1455.0,634,162,597,3.69,4.01,-0.07,0.01,97.2,3.98,54,6.5,1.24,-0.9,18.6,161,0.51,0.503,"$34,813,750"
Chicago Cubs,1463.1,699,162,707,4.35,4.01,-0.26,-0.02,102.9,4.37,12,3.3,1.1,-0.6,15.8,120,0.505,0.501,"$36,178,000"
Cincinnati Reds,1446.0,590,162,612,3.81,3.99,0.32,0.02,100.7,3.71,-9,-0.1,1.17,-0.3,12.5,98,0.5,0.501,"$52,257,500"
Colorado Rockies,1431.0,709,162,818,5.14,4.04,-0.03,-0.02,115.0,4.65,-71,-7.4,1.13,-1.6,3.9,35,0.49,0.498,"$43,545,500"
Los Angeles Dodgers,1464.2,658,162,617,3.79,4.01,-0.01,0.0,95.6,3.84,15,3.5,1.04,-0.9,15.6,123,0.505,0.501,"$101,349,526"
Miami Marlins,1457.2,649,162,674,4.16,3.98,-0.18,-0.01,100.3,4.16,8,1.9,1.23,-0.8,14.1,115,0.503,0.502,"$10,953,900"
Milwaukee Brewers,1457.2,640,162,657,4.06,3.98,-0.01,0.01,102.9,4.11,16,2.3,1.13,-1.1,14.3,124,0.504,0.501,"$57,169,000"
New York Mets,1463.2,651,162,618,3.8,3.98,0.1,0.0,93.9,3.65,-18,-1.7,1.22,-1.7,9.6,90,0.497,0.5,"$28,961,100"
Philadelphia Phillies,1468.1,623,162,687,4.21,4.03,-0.13,0.01,101.2,4.22,9,2.2,1.17,-0.2,15.1,117,0.503,0.501,"$99,382,467"
Pittsburgh Pirates,1456.1,614,162,631,3.9,3.94,0.18,0.0,98.3,3.69,-26,-2.3,1.24,-0.4,10.3,81,0.496,0.501,"$40,642,500"
San Diego Padres,1438.2,643,162,577,3.61,4.1,0.24,0.0,92.5,3.57,1,0.5,1.04,-0.7,12.7,107,0.501,0.501,"$31,646,100"
San Francisco Giants,1449.0,637,162,614,3.81,4.03,0.09,0.0,94.7,3.73,-7,-0.2,1.03,-0.8,12.0,100,0.5,0.501,"$93,450,000"
St. Louis Cardinals,1448.2,647,162,603,3.75,3.96,0.22,0.0,99.3,3.72,3,1.4,1.29,-0.9,13.4,110,0.502,0.502,"$69,158,500"
Washington Nationals,1470.2,620,162,555,3.4,3.97,0.05,0.0,101.2,3.97,101,12.4,1.17,-1.0,24.5,209,0.52,0.504,"$59,088,200"
,21815.0,9664,2430,9709,4.01,4.01,0.04,0.0,99.8,3.96,0,13.2,1.15,-13.2,194.8,1610,0.501,0.501,"$794,932,543"
