Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
Arizona Diamondbacks,1451.1,737,162,890,5.52,4.52,-0.14,-0.01,107.8,5.01,-62,-6.0,1.11,-1.1,6.0,47,0.492,0.499,"$51,074,300"
Atlanta Braves,1447.2,748,161,779,4.84,4.44,-0.02,-0.01,99.0,4.41,-51,-4.1,1.15,-1.2,7.7,59,0.494,0.5,"$14,107,750"
Chicago Cubs,1459.2,665,162,556,3.43,4.47,0.57,0.02,99.6,3.91,97,11.2,1.05,-1.5,22.7,208,0.517,0.504,"$115,155,500"
Cincinnati Reds,1442.0,646,162,854,5.33,4.52,-0.01,-0.01,102.0,4.61,-96,-7.6,1.0,-0.9,4.5,12,0.488,0.5,"$31,689,561"
Colorado Rockies,1429.1,695,162,860,5.42,4.5,0.15,0.0,116.0,5.04,-40,-3.2,1.01,-1.1,8.5,68,0.495,0.5,"$39,801,000"
Los Angeles Dodgers,1453.0,768,162,638,3.95,4.5,0.29,-0.02,97.2,4.07,39,5.6,1.08,-1.4,17.3,149,0.507,0.503,"$127,951,096"
Miami Marlins,1435.0,720,161,682,4.28,4.39,0.03,-0.01,94.2,4.1,-10,-0.2,1.16,-1.6,11.1,99,0.5,0.502,"$36,370,000"
Milwaukee Brewers,1434.1,675,162,733,4.6,4.56,0.16,-0.01,101.9,4.48,0,0.9,1.09,-0.5,13.3,108,0.501,0.502,"$22,832,900"
New York Mets,1447.0,700,162,617,3.84,4.38,0.03,0.0,96.0,4.18,74,8.6,1.17,-0.4,21.2,183,0.512,0.504,"$40,289,500"
Philadelphia Phillies,1437.0,667,162,796,4.99,4.45,-0.08,0.0,99.5,4.51,-57,-5.2,1.12,-1.3,6.4,51,0.492,0.5,"$25,916,500"
Pittsburgh Pirates,1450.2,687,162,758,4.7,4.52,-0.02,-0.02,99.5,4.51,-12,-0.6,1.07,-1.0,11.5,97,0.499,0.501,"$30,134,600"
San Diego Padres,1440.0,672,162,770,4.81,4.51,0.04,-0.01,96.0,4.28,-66,-5.6,1.06,-1.3,6.1,43,0.492,0.499,"$24,321,500"
San Francisco Giants,1460.1,737,162,631,3.89,4.52,0.39,0.02,97.2,4.03,43,5.6,1.41,-1.3,17.4,153,0.508,0.502,"$102,618,333"
St. Louis Cardinals,1448.1,643,162,712,4.42,4.48,-0.12,0.01,96.9,4.47,26,3.9,1.05,-0.3,16.5,135,0.506,0.502,"$65,387,000"
Washington Nationals,1459.2,670,162,612,3.77,4.37,0.07,0.01,101.2,4.37,116,13.0,1.18,-1.4,24.7,226,0.519,0.505,"$80,475,700"
,21695.1,10430,2428,10888,4.52,4.47,0.09,0.0,100.2,4.4,0,16.4,1.12,-16.4,194.8,1638,0.502,0.501,"$808,125,240"
