Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Steven Brault,PIT,28,11,10,1,0,42.2,29,16,38,22,2,1,3,0,0,0,3.38,1.195
Lance Lynn,TEX,36,13,13,1,0,84,64,31,89,25,13,6,3,0,0,0,3.32,1.06
German Marquez,COL,28,13,13,0,0,81.2,78,34,73,25,6,4,6,0,0,0,3.75,1.26
Kyle Hendricks,CHC,33,12,12,1,1,81.1,73,26,64,8,10,6,5,0,0,0,2.88,1
Shane Bieber,CLE,28,12,12,0,0,77.1,46,14,122,21,7,8,1,0,0,0,1.63,0.87
Yu Darvish,CHC,37,12,12,0,0,76,59,17,93,14,5,8,3,0,0,0,2.01,0.96
Aaron Civale,CLE,28,12,12,1,0,74,82,39,69,16,11,4,6,0,0,0,4.74,1.32
Brandon Woodruff,MIL,30,13,13,1,0,73.2,55,25,91,18,9,3,5,0,0,0,3.05,0.99
Antonio Senzatela,COL,28,12,12,1,0,73.1,71,28,41,18,9,5,3,0,0,0,3.44,1.21
Gerrit Cole,NYY,33,12,12,2,1,73,53,23,94,17,14,7,3,0,0,0,2.84,0.96
Trevor Bauer,CIN,32,11,11,2,2,73,41,14,100,17,9,5,4,0,0,0,1.73,0.79
Lucas Giolito,CWS,29,12,12,1,1,72.1,47,28,97,28,8,4,3,0,0,0,3.48,1.04
Zac Gallen,ARI,28,12,12,0,0,72,55,22,82,25,9,3,2,0,0,0,2.75,1.11
Aaron Nola,PHI,30,12,12,2,1,71.1,54,26,96,23,9,5,5,0,0,0,3.28,1.08
Zack Wheeler,PHI,33,11,11,0,0,71,67,23,53,16,3,4,2,0,0,0,2.92,1.17
Kyle Freeland,COL,30,13,13,0,0,70.2,77,34,46,23,9,2,3,0,0,0,4.33,1.42
Framber Valdez,HOU,30,11,10,0,0,70.2,63,28,76,16,5,5,3,0,0,0,3.57,1.12
Luis Castillo,CIN,30,12,12,1,0,70,62,25,89,24,5,4,6,0,0,0,3.21,1.23
Marco Gonzales,SEA,31,11,11,1,0,69.2,59,24,64,7,8,7,2,0,0,0,3.1,0.95
Zach Davies,SD,30,12,12,0,0,69.1,55,21,63,19,9,7,4,0,0,0,2.73,1.07
Dinelson Lamet,SD,31,12,12,0,0,69,39,16,93,20,5,3,1,0,0,0,2.09,0.86
Carlos Carrasco,CLE,36,12,12,0,0,68,55,22,82,27,8,3,4,0,0,0,2.91,1.21
Jacob deGrom,NYM,35,12,12,0,0,68,47,18,104,18,7,4,2,0,0,0,2.38,0.96
Max Scherzer,WAS,39,12,12,1,0,67.1,70,28,92,23,10,5,4,0,0,0,3.74,1.38
Kyle Gibson,TEX,36,12,12,1,1,67.1,73,40,58,30,12,2,6,0,0,0,5.35,1.53
Hyun-Jin Ryu,TOR,36,12,12,0,0,67,60,20,72,17,6,5,2,0,0,0,2.69,1.15
Zack Greinke,HOU,40,12,12,0,0,67,67,30,67,9,6,3,3,0,0,0,4.03,1.13
Andrew Heaney,LAA,32,12,12,0,0,66.2,63,33,70,19,9,4,3,0,0,0,4.46,1.23
Kenta Maeda,MIN,35,11,11,0,0,66.2,40,20,80,10,9,6,1,0,0,0,2.7,0.75
Dylan Bundy,LAA,31,11,11,1,0,65.2,51,24,72,17,5,6,3,0,0,0,3.29,1.04
Adam Wainwright,STL,42,10,10,2,0,65.2,54,23,54,15,9,5,3,0,0,0,3.15,1.05
Patrick Corbin,WAS,34,11,11,0,0,65.2,85,34,60,18,10,2,7,0,0,0,4.66,1.57
Brady Singer,KC,27,12,12,0,0,64.1,52,29,61,23,8,4,5,0,0,0,4.06,1.17
Johnny Cueto,SF,37,12,12,0,0,63.1,61,38,56,26,9,2,3,0,0,0,5.4,1.37
Dallas Keuchel,CWS,35,11,11,0,0,63.1,52,14,42,17,2,6,2,0,0,0,1.99,1.09
Jose Berrios,MIN,29,12,12,0,0,63,57,28,68,26,8,5,4,0,0,0,4,1.32
Chris Bassitt,OAK,34,11,11,0,0,63,56,16,55,17,6,5,2,0,0,0,2.29,1.16
Alec Mills,CHC,31,11,11,1,1,62.1,53,31,46,19,13,5,5,0,0,0,4.48,1.16
Martin Perez,BOS,32,12,12,0,0,62,55,31,46,28,8,3,5,0,0,0,4.5,1.34
Jon Lester,CHC,39,12,12,0,0,61,64,35,42,17,11,3,3,0,0,0,5.16,1.33
Matt Boyd,DET,32,12,12,1,0,60.1,67,45,60,22,15,3,7,0,0,0,6.71,1.48
Corbin Burnes,MIL,29,12,9,0,0,59.2,37,14,88,24,2,4,1,0,0,0,2.11,1.02
Kevin Gausman,SF,32,12,10,0,0,59.2,50,24,79,16,8,3,3,0,0,0,3.62,1.11
Tyler Anderson,SF,33,13,11,1,0,59.2,58,29,41,25,5,4,3,0,0,0,4.37,1.39
Zach Eflin,PHI,29,11,10,1,1,59,60,26,70,15,8,4,2,0,0,0,3.97,1.27
Rick Porcello,NYM,34,12,12,0,0,59,74,37,54,15,5,1,7,0,0,0,5.64,1.51
Michael Fiers,OAK,38,11,11,0,0,59,65,30,37,16,9,6,3,0,0,0,4.58,1.37
Jesus Luzardo,OAK,26,12,9,0,0,59,58,27,59,17,9,3,2,0,0,0,4.12,1.27
Chris Paddack,SD,27,12,12,0,0,59,60,31,58,12,14,4,5,0,0,0,4.73,1.22
Dylan Cease,CWS,27,12,12,0,0,58.1,50,26,44,34,12,5,4,0,0,0,4.01,1.44
Clayton Kershaw,LAD,35,10,10,0,0,58.1,41,14,62,8,8,6,2,0,0,0,2.16,0.84
Jordan Lyles,TEX,33,12,9,0,0,57.2,67,45,36,23,12,1,6,0,0,0,7.02,1.56
Tyler Glasnow,TB,30,11,11,0,0,57.1,43,26,91,22,11,5,1,0,0,0,4.08,1.13
Pablo Lopez,MIA,27,11,11,0,0,57.1,50,23,59,18,4,6,4,0,0,0,3.61,1.19
Spencer Turnbull,DET,31,11,11,0,0,56.2,47,25,51,29,2,4,4,0,0,0,3.97,1.34
Griffin Canning,LAA,27,11,11,0,0,56.1,54,25,56,23,8,2,3,0,0,0,3.99,1.37
Danny Duffy,KC,34,12,11,0,0,56.1,53,31,57,22,10,4,4,0,0,1,4.95,1.33
Adrian Houser,MIL,30,12,11,0,0,56,63,33,44,21,8,1,6,0,0,0,5.3,1.5
Sonny Gray,CIN,34,11,11,0,0,56,42,23,72,26,4,5,3,0,0,0,3.7,1.21
Max Fried,ATL,29,11,11,0,0,56,42,14,50,19,2,7,0,0,0,0,2.25,1.09
Dustin May,LAD,26,12,10,0,0,56,45,16,44,16,9,3,1,0,0,0,2.57,1.09
Ryan Yarbrough,TB,31,11,9,0,0,55.2,54,22,44,12,5,1,4,0,0,0,3.56,1.19
Justus Sheffield,SEA,27,10,10,0,0,55.1,52,22,48,20,2,4,3,0,0,0,3.58,1.3
Trevor Williams,PIT,31,11,11,0,0,55.1,66,38,49,21,15,2,8,0,0,0,6.18,1.57
Zach Plesac,CLE,28,8,8,0,0,55.1,38,14,57,6,8,4,2,0,0,0,2.28,0.8
Lance McCullers,HOU,30,11,11,0,0,55,44,24,56,20,5,3,3,0,0,0,3.93,1.16
Julio Urias,LAD,27,11,10,0,0,55,45,20,45,18,5,3,0,0,0,0,3.27,1.15
Brad Keller,KC,28,9,9,1,1,54.2,39,15,35,17,2,5,3,0,0,0,2.47,1.02
Cristian Javier,HOU,26,12,10,0,0,54.1,36,21,54,18,11,5,2,0,0,0,3.48,0.99
Logan Webb,SF,27,13,11,0,0,54.1,61,33,46,24,4,3,4,0,0,0,5.47,1.56
Sean Manaea,OAK,31,11,11,0,0,54,57,27,45,8,7,4,3,0,0,0,4.5,1.2
Frankie Montas,OAK,30,11,11,0,0,53,57,33,60,23,10,3,5,0,0,0,5.6,1.51
Anibal Sanchez,WAS,39,11,11,0,0,53,70,39,43,18,11,4,5,0,0,0,6.62,1.66
Alex Cobb,BAL,36,10,10,0,0,52.1,52,25,38,18,8,2,5,0,0,0,4.3,1.34
Luke Weaver,ARI,30,12,12,0,0,52,63,38,55,18,10,1,9,0,0,0,6.58,1.56
Garrett Richards,SD,35,14,10,0,0,51.1,47,23,46,17,7,2,2,0,0,1,4.03,1.25
Erick Fedde,WAS,30,11,8,0,0,50.1,47,24,28,22,10,2,4,0,0,0,4.29,1.37
Blake Snell,TB,30,11,11,0,0,50,42,18,63,18,10,4,2,0,0,0,3.24,1.2
Kris Bubic,KC,26,10,10,0,0,50,52,24,49,22,8,1,6,0,0,0,4.32,1.48
Austin Voth,WAS,31,11,11,1,0,49.2,57,35,44,18,14,2,5,0,0,0,6.34,1.51
David Peterson,NYM,28,10,9,0,0,49.2,36,19,40,24,5,6,2,0,0,0,3.44,1.21
J.A. Happ,NYY,41,9,9,0,0,49.1,37,19,42,15,8,2,2,0,0,0,3.47,1.05
Nathan Eovaldi,BOS,33,9,9,0,0,48.1,51,20,52,7,8,4,2,0,0,0,3.72,1.2
Masahiro Tanaka,NYY,35,10,10,0,0,48,48,19,44,8,9,3,3,0,0,0,3.56,1.17
Tanner Roark,TOR,37,11,11,0,0,47.2,60,36,41,23,14,2,3,0,0,0,6.8,1.74
Tyler Mahle,CIN,29,10,9,0,0,47.2,34,19,60,21,6,2,2,0,0,0,3.59,1.15
JT Brubaker,PIT,30,11,9,0,0,47.1,48,26,48,17,6,1,3,0,0,1,4.94,1.37
