Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3"
"Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-1, Mets' Noah Syndergaard facing 4-5-6"
b2,0-1,0,---,"1,(0-0) X",O,BOS,J.D. Martinez,Noah Syndergaard,3%,58%,Groundout: 3B-1B (SS-3B Hole)
b2,0-1,1,---,"5,(2-2) BCBFX",O,BOS,Xander Bogaerts,Noah Syndergaard,2%,60%,Groundout: SS-1B
b2,0-1,2,---,"5,(2-2) CBSBS",O,BOS,Rafael Devers,Noah Syndergaard,1%,61%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Mets 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mets 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mets 1, Red Sox 0."
"Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3","Top of the 3rd, Mets Batting, Ahead 1-0, Red Sox' William Cuevas facing 1-2-3"
t3,1-0,0,---,"2,(0-1) FX",,NYM,Amed Rosario,William Cuevas,3%,64%,Single to SS (Ground Ball to SS-3B Hole)
,,,,,,,,,Robby Scott replaces William Cuevas pitching,Robby Scott replaces William Cuevas pitching,Robby Scott replaces William Cuevas pitching
t3,1-0,0,1--,"5,(3-1) .BBBCX",O,NYM,Jeff McNeil,Robby Scott,-3%,61%,Flyball: LF (LF-CF)
t3,1-0,1,1--,"5,(2-2) B1BFCH",,NYM,Michael Conforto,Robby Scott,3%,65%,Hit By Pitch; Rosario to 2B
t3,1-0,1,12-,"3,(1-1) FBX",RRR,NYM,Jay Bruce,Robby Scott,20%,84%,Home Run (Fly Ball to Deep RF Line); Rosario Scores; Conforto Scores
t3,4-0,1,---,"4,(3-0) BBBB",,NYM,Todd Frazier,Robby Scott,1%,86%,Walk
t3,4-0,1,1--,"4,(2-1) CBBH",,NYM,Brandon Nimmo,Robby Scott,2%,87%,Hit By Pitch; Frazier to 2B
t3,4-0,1,12-,"4,(3-0) B*BBB",,NYM,Dominic Smith,Robby Scott,2%,89%,Walk; Frazier to 3B; Nimmo to 2B
,,,,,,,,,Brian Johnson replaces Robby Scott pitching,Brian Johnson replaces Robby Scott pitching,Brian Johnson replaces Robby Scott pitching
t3,4-0,1,123,"6,(3-2) .S*BBSBX",OO,NYM,Austin Jackson,Brian Johnson,-6%,83%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,"3 runs, 2 hits, 0 errors, 2 LOB. Mets 4, Red Sox 0.","3 runs, 2 hits, 0 errors, 2 LOB. Mets 4, Red Sox 0.","3 runs, 2 hits, 0 errors, 2 LOB. Mets 4, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Mets' Noah Syndergaard facing 7-8-9"
b3,0-4,0,---,"5,(1-2) CBFFX",,BOS,Ian Kinsler,Noah Syndergaard,-3%,80%,Single to LF (Ground Ball thru SS-3B Hole)
b3,0-4,0,1--,"1,(0-0) >B",,BOS,Jackie Bradley Jr.,Noah Syndergaard,-2%,78%,Kinsler Steals 2B
b3,0-4,0,-2-,"4,(3-0) >B.BBB",,BOS,Jackie Bradley Jr.,Noah Syndergaard,-4%,74%,Walk
b3,0-4,0,12-,"3,(0-2) CC2S",O,BOS,Blake Swihart,Noah Syndergaard,5%,80%,Strikeout Swinging
b3,0-4,1,12-,"2,(0-1) CX",O,BOS,Mookie Betts,Noah Syndergaard,4%,84%,Flyball: LF (LF-CF)
b3,0-4,2,12-,"1,(0-0) >B",,BOS,Andrew Benintendi,Noah Syndergaard,-1%,82%,Kinsler Steals 3B; Bradley Steals 2B
b3,0-4,2,-23,"6,(3-2) >B.BFBFX",O,BOS,Andrew Benintendi,Noah Syndergaard,5%,87%,Groundout: 2B-P (Deep 2B-1B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Mets 4, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Mets 4, Red Sox 0.","0 runs, 1 hit, 0 errors, 2 LOB. Mets 4, Red Sox 0."
"Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2","Top of the 4th, Mets Batting, Ahead 4-0, Red Sox' Brian Johnson facing 9-1-2"
t4,4-0,0,---,"4,(1-2) BCCS",O,NYM,Tomás Nido,Brian Johnson,-1%,86%,Strikeout Swinging
t4,4-0,1,---,"5,(2-2) SFBBX",O,NYM,Amed Rosario,Brian Johnson,-1%,86%,Groundout: SS-1B
t4,4-0,2,---,"2,(0-1) FX",R,NYM,Jeff McNeil,Brian Johnson,5%,91%,Home Run (Fly Ball to Deep CF-RF)
t4,5-0,2,---,"6,(3-2) BCFBBX",O,NYM,Michael Conforto,Brian Johnson,0%,90%,Groundout: 1B unassisted
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Mets 5, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Mets 5, Red Sox 0.","1 run, 1 hit, 0 errors, 0 LOB. Mets 5, Red Sox 0."
