Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3","Top of the 1st, Orioles Batting, Tied 0-0, Red Sox' Nathan Eovaldi facing 1-2-3"
t1,0-0,0,---,"3,(0-2) FSS",O,BAL,Cedric Mullins,Nathan Eovaldi,2%,52%,Strikeout Swinging
t1,0-0,1,---,"6,(2-2) CBFFBS",O,BAL,DJ Stewart,Nathan Eovaldi,2%,54%,Strikeout Swinging
t1,0-0,2,---,"7,(3-2) FFBBFBX",,BAL,Ryan Mountcastle,Nathan Eovaldi,-1%,53%,Single to RF (Ground Ball)
t1,0-0,2,1--,"7,(1-2) CFF*B1FFS",O,BAL,Renato Nunez,Nathan Eovaldi,2%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Orioles 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Orioles' Dean Kremer facing 1-2-3"
b1,0-0,0,---,"2,(1-0) BX",,BOS,Alex Verdugo,Dean Kremer,6%,61%,Double to LF (Fly Ball to Deep LF Line)
b1,0-0,0,-2-,"6,(1-2) SFF*BFS",O,BOS,Rafael Devers,Dean Kremer,-4%,57%,Strikeout Swinging
b1,0-0,1,-2-,"6,(3-2) BBFFBB",,BOS,Xander Bogaerts,Dean Kremer,2%,59%,Walk
b1,0-0,1,12-,"2,(1-0) BX",O,BOS,J.D. Martinez,Dean Kremer,-4%,55%,Flyball: CF (Deep CF); Verdugo to 3B
b1,0-0,2,1-3,"2,(1-0) BX",R,BOS,Jackie Bradley Jr.,Dean Kremer,9%,64%,Single to RF (Line Drive to Short RF Line); Verdugo Scores; Bogaerts to 3B
b1,1-0,2,1-3,"2,(0-1) CX",R,BOS,Kevin Plawecki,Dean Kremer,8%,72%,Single to RF (Ground Ball thru 2B-1B); Bogaerts Scores; Bradley to 3B
b1,2-0,2,1-3,"2,(0-1) CX",O,BOS,Bobby Dalbec,Dean Kremer,-4%,69%,Groundout: 2B-1B (Deep SS-2B)
,,,,,,,,,"2 runs, 3 hits, 0 errors, 2 LOB. Orioles 0, Red Sox 2.","2 runs, 3 hits, 0 errors, 2 LOB. Orioles 0, Red Sox 2.","2 runs, 3 hits, 0 errors, 2 LOB. Orioles 0, Red Sox 2."
"Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7","Top of the 2nd, Orioles Batting, Behind 0-2, Red Sox' Nathan Eovaldi facing 5-6-7"
t2,0-2,0,---,"4,(1-2) BCS*S",O,BAL,Chance Sisco,Nathan Eovaldi,2%,71%,Strikeout Swinging
t2,0-2,1,---,"3,(1-1) FBX",,BAL,Austin Hays,Nathan Eovaldi,-3%,68%,Single to CF (Ground Ball thru SS-2B)
t2,0-2,1,1--,"3,(1-1) SBX",O,BAL,Rio Ruiz,Nathan Eovaldi,3%,71%,Flyball: LF (Short LF)
t2,0-2,2,1--,"3,(2-0) B1BX",O,BAL,Pat Valaika,Nathan Eovaldi,2%,74%,Single to CF (Fly Ball to Deep CF); Hays to 3B; Valaika out at 2B/CF-2B
,,,,,,,,,Tag play Challenged by BOS manager (Ron Roenicke): Original call overturned as shown.,Tag play Challenged by BOS manager (Ron Roenicke): Original call overturned as shown.,Tag play Challenged by BOS manager (Ron Roenicke): Original call overturned as shown.
,,,,,,,,,"0 runs, 2 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 2.","0 runs, 2 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 2.","0 runs, 2 hits, 0 errors, 1 LOB. Orioles 0, Red Sox 2."
"Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-0, Orioles' Dean Kremer facing 8-9-1"
