Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Blue Jays Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t1,0-0,0,---,"4,(1-2) FBCC",O,TOR,Lourdes Gurriel Jr.,Eduardo Rodriguez,2%,52%,Strikeout Looking
t1,0-0,1,---,"2,(1-0) BX",O,TOR,Yangervis Solarte,Eduardo Rodriguez,2%,54%,Flyball: LF
t1,0-0,2,---,"7,(3-2) SBBCBFS",O,TOR,Justin Smoak,Eduardo Rodriguez,1%,55%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0."
"Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3","Bottom of the 1st, Red Sox Batting, Tied 0-0, Blue Jays' Sam Gaviglio facing 1-2-3"
b1,0-0,0,---,"1,(0-0) X",O,BOS,Andrew Benintendi,Sam Gaviglio,-2%,53%,Groundout: 2B-1B (2B-1B)
b1,0-0,1,---,"3,(0-2) CCX",O,BOS,Ian Kinsler,Sam Gaviglio,-2%,51%,Popfly: 1B
b1,0-0,2,---,"5,(2-2) CSBBC",O,BOS,Mitch Moreland,Sam Gaviglio,-1%,50%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Blue Jays 0, Red Sox 0."
