Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.4,-49.3,-5.0,6373,-4.8,106.6,-111.4,1.01,-0.3,-4.5,1.0%,17.4%,-16.4%,0.26,3.4%,-7.1,-0.9,0.95,-10.2,1.18,240
Atlanta Braves,4.56,18.8,1.7,6435,5.5,116.2,-110.8,1.04,3.9,1.3,5.2%,115.6%,-110.4%,1.71,0.7%,49.6,4.7,0.99,46.4,1.24,228
Chicago Cubs,4.23,-83.6,-8.4,6326,-9.5,98.8,-108.3,0.99,-4.0,-5.6,-2.9%,24.5%,-27.4%,0.42,-5.7%,-29.1,-3.0,0.95,-36.8,1.31,206
Cincinnati Reds,4.88,43.5,4.1,6489,6.5,114.9,-108.4,1.0,11.0,-4.5,5.5%,86.1%,-80.6%,1.25,-2.0%,85.1,8.0,0.96,109.3,1.27,229
Colorado Rockies,4.75,-70.5,-7.2,6498,-1.9,111.3,-113.3,1.02,1.5,-3.4,-0.1%,76.4%,-76.5%,1.15,-1.8%,22.8,1.9,0.95,21.1,1.46,208
Florida Marlins,4.44,-70.5,-7.2,6396,0.2,103.7,-103.5,0.96,0.3,0.0,0.3%,37.5%,-37.2%,0.57,-0.5%,13.3,1.0,0.96,5.4,1.26,234
Houston Astros,3.77,-148.3,-14.8,6211,-4.2,99.3,-103.6,0.98,-12.4,8.1,-1.8%,9.1%,-10.9%,0.17,-5.8%,-86.2,-8.9,0.94,-124.5,1.29,254
Los Angeles Dodgers,4.12,-53.8,-5.5,6380,-6.6,101.1,-107.7,0.99,-5.4,-1.2,-3.0%,54.9%,-57.9%,0.89,-1.0%,-22.9,-2.6,0.97,-41.0,1.33,230
Milwaukee Brewers,4.63,26.0,2.4,6498,3.3,108.5,-105.2,0.96,6.4,-2.9,0.6%,22.0%,-21.4%,0.33,-2.4%,46.8,4.3,0.98,66.9,0.97,197
New York Mets,4.05,-76.4,-7.7,6390,-9.1,102.7,-111.9,1.04,-4.9,-4.0,-4.7%,48.8%,-53.5%,0.82,-3.2%,-43.0,-4.5,0.95,-51.8,1.24,255
Philadelphia Phillies,4.77,-13.8,-1.7,6493,5.8,109.7,-103.9,0.97,4.1,1.9,3.9%,96.9%,-93.0%,1.44,0.4%,61.8,5.7,0.97,39.7,1.1,240
Pittsburgh Pirates,3.62,-128.5,-12.9,6158,-10.9,94.0,-105.0,0.97,-11.3,0.1,-1.4%,16.3%,-17.7%,0.28,-0.2%,-106.7,-10.9,0.94,-124.3,1.1,254
San Diego Padres,4.1,-37.2,-3.8,6394,-6.0,104.4,-110.4,1.05,-6.0,0.3,-11.1%,111.9%,-123.0%,1.92,-2.2%,-13.7,-1.6,0.96,-54.0,1.28,252
San Francisco Giants,4.3,-16.0,-1.8,6318,-2.3,107.1,-109.4,1.02,-1.0,-1.2,-5.4%,114.0%,-119.4%,1.84,-2.4%,1.2,-0.2,0.96,-11.6,1.22,187
St. Louis Cardinals,4.54,3.5,0.0,6447,0.2,104.1,-103.9,0.97,1.9,-1.7,0.0%,86.3%,-86.3%,1.34,-0.6%,41.6,3.8,0.97,31.3,1.14,253
Washington Nationals,4.04,-69.9,-7.1,6332,-5.6,102.1,-107.7,1.0,-3.0,-2.6,-0.4%,29.6%,-30.0%,0.47,-0.9%,-43.4,-4.6,0.96,-42.2,1.25,228
League Average,4.33,-45.0,-5.0,6384,-2.0,105.0,-108.0,1.0,-1.0,-1.0,-1%,59%,-60%,0.93,-1%,-2.0,-0.0,0.0,-11.0,0.0,231
,4.33,-725.9,-75.2,102138,-39.5,1684.5,-1724.1,1.0,-19.3,-20.3,-14.2%,947.2%,-961.5%,0.93,-14.9%,-29.9,-7.7,0.96,-176.4,1.23,3695
