Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,5.02,-51.3,-5.1,6511,-1.8,109.4,-111.2,0.98,1.2,-3.0,-2.7%,51.0%,-53.7%,0.78,-4.5%,38.0,3.4,0.94,18.0,1.24,226
Atlanta Braves,5.28,-18.7,-2.0,6502,7.1,110.8,-103.7,0.94,6.1,1.4,6.5%,66.5%,-60.0%,0.92,3.5%,80.4,7.1,0.94,78.6,1.09,231
Chicago Cubs,5.02,13.2,1.0,6373,1.7,107.0,-105.3,0.94,5.4,-3.6,1.2%,99.3%,-98.1%,1.45,-2.6%,52.6,4.7,0.93,55.9,1.09,205
Cincinnati Reds,4.33,-134.0,-12.9,6291,-13.3,101.8,-115.1,1.01,-7.0,-6.1,-4.6%,28.2%,-32.8%,0.47,-6.1%,-79.4,-7.5,0.92,-76.1,1.34,274
Colorado Rockies,5.15,-109.0,-10.6,6496,-2.1,114.1,-116.2,1.0,-1.1,-1.0,0.3%,37.1%,-36.7%,0.53,1.2%,10.3,0.7,0.91,10.6,1.16,266
Los Angeles Dodgers,5.47,94.8,8.7,6429,11.9,116.1,-104.2,0.96,11.5,0.9,5.2%,42.1%,-36.9%,0.58,2.6%,139.0,13.0,0.94,141.4,1.17,265
Miami Marlins,3.8,-182.1,-17.5,6199,-17.5,97.5,-115.0,1.02,-15.7,-1.5,-3.1%,8.1%,-11.2%,0.16,-13.4%,-147.7,-14.5,0.92,-177.0,1.22,252
Milwaukee Brewers,4.75,-23.0,-2.5,6536,1.0,113.2,-112.1,0.98,1.2,-0.2,-0.9%,97.2%,-98.2%,1.42,-1.4%,-4.0,-0.7,0.95,13.9,1.16,263
New York Mets,4.88,46.5,4.2,6461,3.6,116.2,-112.6,1.02,5.0,-1.5,0.1%,54.1%,-54.0%,0.8,-2.4%,45.9,4.2,0.94,56.8,1.5,227
Philadelphia Phillies,4.78,-71.8,-7.0,6458,-1.7,108.2,-109.9,0.98,0.6,-2.4,-0.1%,71.4%,-71.5%,1.07,-1.0%,0.2,-0.2,0.94,-2.6,1.13,288
Pittsburgh Pirates,4.68,-49.4,-4.9,6397,-0.5,110.3,-110.8,1.01,-3.7,3.2,-0.3%,39.1%,-39.4%,0.59,1.5%,-4.1,-0.6,0.94,-38.6,1.34,247
San Diego Padres,4.21,-77.9,-7.6,6218,-10.3,101.1,-111.4,1.01,-5.7,-4.6,-2.7%,35.4%,-38.1%,0.57,-3.9%,-62.4,-6.3,0.91,-46.3,1.27,255
San Francisco Giants,4.19,-131.8,-12.7,6324,-11.0,104.3,-115.3,1.02,-11.5,0.7,-4.0%,26.5%,-30.5%,0.44,-3.9%,-84.6,-8.4,0.93,-117.5,1.25,316
St. Louis Cardinals,4.72,-43.7,-4.3,6396,0.7,108.2,-107.5,0.97,0.6,0.1,2.0%,86.3%,-84.3%,1.28,1.2%,19.9,1.8,0.94,4.7,1.11,238
Washington Nationals,5.39,33.1,2.8,6501,8.9,113.3,-104.5,0.95,9.5,-0.3,4.9%,66.4%,-61.5%,0.94,-0.4%,113.5,10.3,0.95,95.0,1.11,222
League Average,4.78,-47.0,-5.0,6406,-2.0,109.0,-110.0,0.99,-0.0,-1.0,0%,54%,-54%,0.8,-0%,8.0,0.0,0.0,1.0,0.0,252
,4.78,-704.9,-70.2,96092,-23.3,1631.5,-1655.0,0.99,-3.5,-20.2,1.8%,808.6%,-806.9%,0.8,-4.3%,117.6,7.0,0.93,16.9,1.21,3775
