Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.57,1.9,0.1,2321,-3.5,39.4,-42.9,1.04,-1.9,-1.5,-1.9%,23.6%,-25.5%,1.02,-0.3%,-15.4,-1.6,0.94,-14.9,2.28,38
Boston Red Sox,4.87,10.0,0.9,2385,-0.6,38.8,-39.4,0.94,0.3,-0.9,-1.3%,8.8%,-10.1%,0.37,-3.4%,-5.1,-0.6,0.95,7.1,1.24,16
Chicago White Sox,5.1,30.5,2.9,2331,1.6,37.9,-36.4,0.9,3.1,-1.3,1.4%,21.1%,-19.7%,0.82,-0.1%,22.8,2.1,0.93,30.6,1.28,19
Cleveland Indians,4.13,-28.0,-2.9,2326,-4.3,37.4,-41.8,1.01,-5.1,0.8,-2.7%,20.0%,-22.7%,0.91,0.1%,-41.7,-4.2,0.94,-52.8,1.76,32
Detroit Tigers,4.29,-26.7,-2.7,2137,-2.1,35.7,-37.8,0.98,-3.6,1.4,-0.1%,20.5%,-20.6%,0.9,1.4%,-20.6,-2.1,0.93,-48.2,1.15,29
Houston Astros,4.65,-16.0,-1.6,2287,-2.1,40.9,-43.0,1.07,-2.6,0.6,-1.3%,25.4%,-26.7%,1.11,0.2%,-11.3,-1.2,0.95,-23.8,2.15,24
Kansas City Royals,4.13,-29.0,-2.9,2297,-6.1,33.8,-39.9,0.95,-3.3,-3.1,-3.1%,12.2%,-15.3%,0.6,-3.2%,-37.4,-3.7,0.93,-42.6,1.26,45
Los Angeles Angels,4.9,22.6,2.1,2370,-0.9,44.2,-45.1,1.08,1.6,-2.4,-1.2%,14.7%,-15.9%,0.63,-3.1%,4.4,0.3,0.96,15.5,1.42,19
Minnesota Twins,4.48,9.8,0.9,2234,-0.3,36.1,-36.4,0.93,0.4,-0.8,0.3%,18.6%,-18.4%,0.79,0.1%,-2.7,-0.3,0.92,3.1,1.47,28
New York Yankees,5.25,51.7,4.9,2300,2.0,38.7,-36.7,0.94,4.5,-2.4,1.8%,22.4%,-20.6%,0.9,-0.5%,46.6,4.5,0.96,50.8,1.97,30
Oakland Athletics,4.57,5.5,0.5,2267,-0.5,39.5,-40.0,1.01,-0.4,-0.2,0.0%,14.8%,-14.8%,0.63,0.3%,1.8,0.1,0.96,0.1,1.13,29
Seattle Mariners,4.23,-21.6,-2.2,2280,-1.4,34.4,-35.8,0.92,-3.0,1.5,-1.0%,17.5%,-18.5%,0.78,0.7%,-18.8,-2.0,0.94,-31.0,1.61,19
Tampa Bay Rays,4.82,35.7,3.4,2349,2.6,44.4,-41.8,1.06,1.9,0.5,1.7%,20.1%,-18.4%,0.79,1.3%,14.9,1.4,0.95,13.6,2.25,54
Texas Rangers,3.73,-60.4,-6.0,2239,-4.4,33.8,-38.2,0.96,-5.9,1.3,-1.7%,13.6%,-15.2%,0.64,1.3%,-55.4,-5.5,0.9,-68.9,1.62,24
Toronto Blue Jays,5.03,22.9,2.2,2336,1.0,42.6,-41.6,1.06,0.1,0.8,0.5%,28.0%,-27.5%,1.17,0.4%,15.2,1.4,0.94,9.3,1.98,30
League Average,4.58,1.0,-0.0,2297,-1.0,39.0,-40.0,0.99,-1.0,-0.0,-1%,19%,-19%,0.8,-0%,-7.0,-1.0,0.0,-10.0,0.0,29
,4.58,9.0,-0.5,34459,-19.2,577.6,-596.8,0.99,-13.7,-5.7,-8.7%,281.2%,-289.9%,0.8,-1.4%,-102.6,-11.5,0.94,-152.1,1.7,436
