Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.43,-117.0,-11.4,6443,-11.1,111.0,-122.0,1.08,-4.1,-6.2,-9.1%,50.7%,-59.8%,0.87,-6.9%,-61.3,-5.8,0.95,-60.8,1.43,236
Atlanta Braves,5.6,94.7,8.7,6550,13.6,114.1,-100.5,0.93,15.5,-0.9,6.3%,43.4%,-37.1%,0.58,2.4%,165.2,15.2,0.96,162.4,1.08,214
Chicago Cubs,4.47,-82.7,-8.0,6373,-4.9,101.0,-105.9,0.96,-2.1,-2.9,-1.1%,104.5%,-105.6%,1.62,0.7%,-28.7,-2.9,0.95,-31.4,1.32,206
Cincinnati Reds,4.28,-88.3,-8.7,6435,-1.2,113.3,-114.5,1.04,-3.7,2.5,1.3%,32.7%,-31.4%,0.48,3.0%,-41.4,-4.3,0.94,-42.0,1.35,239
Colorado Rockies,5.27,-68.4,-6.8,6482,2.0,105.1,-103.1,0.92,7.3,-5.2,1.9%,39.1%,-37.2%,0.56,0.1%,67.2,5.6,0.96,71.8,1.04,254
Florida Marlins,4.64,-25.1,-2.6,6519,-2.1,106.4,-108.5,0.98,0.3,-2.4,0.9%,82.7%,-81.8%,1.24,0.4%,12.5,1.0,0.95,15.6,1.1,196
Houston Astros,4.97,-36.0,-3.7,6495,-2.8,107.3,-110.1,0.98,4.3,-7.1,-4.5%,108.3%,-112.9%,1.67,-5.2%,46.0,4.0,0.96,46.7,1.32,258
Los Angeles Dodgers,3.54,-166.4,-16.0,6212,-16.6,101.0,-117.6,1.07,-12.7,-2.8,-11.4%,60.2%,-71.5%,1.08,-3.3%,-159.3,-15.9,0.94,-147.6,1.38,215
Milwaukee Brewers,4.41,-39.2,-4.0,6479,-1.2,109.9,-111.1,1.0,-0.4,-0.7,-1.1%,13.0%,-14.1%,0.21,-4.5%,-37.1,-3.9,0.95,-1.6,1.3,254
Montreal Expos,4.39,-129.4,-12.6,6325,-3.4,108.0,-111.4,1.02,-5.2,1.9,-2.1%,64.1%,-66.3%,1.01,0.6%,-47.2,-4.6,0.95,-58.6,1.3,206
New York Mets,3.99,-144.7,-14.0,6184,-10.5,95.8,-106.2,0.99,-9.9,-0.6,-1.0%,16.8%,-17.8%,0.28,-0.4%,-86.3,-8.6,0.95,-112.6,1.19,237
Philadelphia Phillies,4.88,52.1,4.7,6532,2.5,110.7,-108.2,1.01,4.9,-2.4,3.0%,113.7%,-110.7%,1.71,-1.3%,74.1,6.9,0.98,70.0,1.21,213
Pittsburgh Pirates,4.65,-45.2,-4.5,6519,-2.8,110.4,-113.2,1.02,0.1,-2.8,-2.7%,22.9%,-25.6%,0.38,-6.4%,-0.5,-0.3,0.96,-11.3,1.41,243
San Diego Padres,4.19,-16.7,-1.7,6447,-3.6,111.5,-115.1,1.06,-3.6,0.2,-0.9%,11.9%,-12.8%,0.19,-3.9%,-42.0,-4.4,0.97,-27.6,1.41,243
San Francisco Giants,4.69,-8.8,-1.3,6373,6.1,109.2,-103.1,0.97,2.1,4.2,3.2%,54.4%,-51.3%,0.81,4.3%,23.0,1.7,0.97,19.4,1.09,177
St. Louis Cardinals,5.41,98.6,9.0,6645,8.8,116.4,-107.6,0.97,13.2,-4.2,3.7%,91.9%,-88.2%,1.32,-5.2%,128.5,12.0,0.97,143.4,1.16,254
League Average,4.61,-45.0,-5.0,6438,-2.0,108.0,-110.0,1.0,0.0,-2.0,-1%,57%,-58%,0.88,-1%,1.0,-0.0,0.0,2.0,0.0,228
,4.61,-722.4,-72.9,103013,-27.0,1731.3,-1758.4,1.0,6.1,-33.1,-13.7%,910.5%,-924.2%,0.88,-20.2%,12.6,-4.3,0.96,35.7,1.26,3645
