Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,4.28,-116.8,-11.8,6360,-2.5,107.5,-110.0,1.01,-3.2,0.7,-2.1%,97.8%,-99.8%,1.53,0.3%,-30.1,-3.2,0.94,-32.3,1.29,228
Atlanta Braves,4.69,-13.5,-1.6,6457,2.5,110.0,-107.5,0.99,2.9,-0.4,2.3%,91.2%,-88.9%,1.35,-0.1%,54.7,5.1,0.95,40.8,1.16,218
Chicago Cubs,4.67,-22.4,-2.4,6587,0.3,110.7,-110.4,0.99,4.7,-4.5,-2.6%,92.2%,-94.8%,1.4,-4.8%,44.1,4.0,0.97,50.2,1.22,240
Cincinnati Reds,4.3,-42.0,-4.4,6417,-6.5,106.4,-112.9,1.03,-2.1,-4.2,-1.9%,8.6%,-10.4%,0.15,-11.9%,-15.0,-1.8,0.97,-19.2,1.26,218
Colorado Rockies,4.79,-94.3,-9.6,6397,5.9,111.7,-105.8,0.96,2.9,3.2,2.8%,112.5%,-109.7%,1.66,-0.1%,30.4,2.6,0.93,29.8,1.17,240
Los Angeles Dodgers,4.93,77.6,7.4,6587,2.4,114.2,-111.8,1.01,11.1,-8.8,5.9%,114.9%,-109.0%,1.64,-3.0%,100.7,9.8,0.96,125.5,1.25,303
Miami Marlins,3.66,-127.7,-12.9,6247,-10.5,98.5,-108.9,1.02,-10.6,0.3,-1.7%,10.6%,-12.4%,0.19,-6.1%,-91.0,-9.5,0.95,-106.0,1.12,254
Milwaukee Brewers,4.63,-16.2,-1.9,6469,7.4,113.9,-106.6,1.0,5.6,1.8,6.5%,106.8%,-100.3%,1.57,0.8%,46.7,4.2,0.95,56.4,1.2,251
New York Mets,4.17,-22.2,-2.4,6373,-7.3,105.2,-112.5,1.02,-2.9,-4.3,-1.3%,29.8%,-31.1%,0.47,-0.7%,-8.5,-1.1,0.94,-5.9,1.45,215
Philadelphia Phillies,4.18,-92.8,-9.3,6328,-5.6,97.6,-103.2,0.95,-5.5,-0.3,-4.2%,76.9%,-81.0%,1.24,-0.9%,-29.9,-3.1,0.94,-44.3,1.16,261
Pittsburgh Pirates,4.3,-11.8,-1.4,6248,-1.0,103.6,-104.6,0.98,-1.8,0.8,0.1%,43.8%,-43.7%,0.69,0.9%,9.8,0.7,0.94,4.7,1.17,231
San Diego Padres,3.81,-92.4,-9.3,6256,-9.6,100.2,-109.8,1.0,-7.8,-1.8,-1.9%,15.1%,-17.0%,0.26,-3.4%,-73.9,-7.7,0.93,-72.2,1.26,222
San Francisco Giants,3.72,-107.8,-10.8,6328,-8.8,105.8,-114.6,1.06,-11.0,2.7,-2.0%,50.2%,-52.2%,0.82,2.4%,-83.3,-8.7,0.94,-118.4,1.34,268
St. Louis Cardinals,4.69,-6.1,-0.7,6389,6.6,111.7,-105.1,0.98,3.7,3.1,4.0%,83.7%,-79.8%,1.24,1.0%,67.0,6.5,0.96,48.3,1.28,218
Washington Nationals,4.76,-15.7,-1.9,6538,-1.9,110.7,-112.7,1.02,2.9,-4.8,-4.1%,53.2%,-57.3%,0.85,-6.0%,55.9,5.1,0.97,45.1,1.35,250
League Average,4.37,-47.0,-5.0,6399,-2.0,107.0,-109.0,1.0,-1.0,-1.0,-0%,66%,-66%,1.01,-0%,5.0,0.0,0.0,0.0,0.0,241
,4.37,-704.0,-72.9,95981,-28.7,1607.7,-1636.4,1.0,-11.2,-17.4,-0.3%,987.2%,-987.5%,1.01,-0.8%,77.5,3.0,0.95,2.4,1.24,3617
