Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Arizona Diamondbacks,3.8,-101.3,-10.7,6306,-7.1,106.5,-113.6,1.06,-5.8,-0.9,-0.6%,13.4%,-13.9%,0.22,-1.7%,-37.3,-4.1,0.95,-45.5,1.25,227
Atlanta Braves,3.54,-89.6,-9.5,6258,-8.6,100.7,-109.3,1.03,-7.5,-0.9,-5.2%,81.9%,-87.1%,1.37,0.0%,-65.2,-7.1,0.95,-65.5,1.18,190
Chicago Cubs,3.79,-87.0,-9.3,6284,-7.4,101.1,-108.4,1.02,-4.7,-2.5,-2.4%,16.3%,-18.7%,0.29,-5.4%,-44.0,-4.7,0.94,-50.8,1.26,244
Cincinnati Reds,3.67,-113.4,-12.0,6233,-9.1,100.6,-109.7,1.04,-8.2,-0.6,-3.4%,48.9%,-52.3%,0.83,-0.1%,-47.7,-5.2,0.94,-77.4,1.31,203
Colorado Rockies,4.66,5.9,0.3,6375,2.3,113.4,-111.1,1.02,5.1,-2.9,2.9%,35.2%,-32.3%,0.5,3.7%,70.2,6.5,0.94,65.2,1.19,233
Los Angeles Dodgers,4.43,83.3,8.3,6508,6.8,108.2,-101.4,0.95,9.1,-2.0,4.9%,78.9%,-74.0%,1.15,-1.0%,86.0,8.7,0.98,98.4,1.2,199
Miami Marlins,3.98,-42.1,-4.6,6373,-1.8,113.8,-115.6,1.1,-0.5,-1.1,-1.2%,53.9%,-55.2%,0.89,-2.3%,0.8,-0.2,0.97,5.7,1.56,246
Milwaukee Brewers,4.01,-41.5,-4.5,6287,-1.3,105.4,-106.7,1.0,0.5,-1.9,-1.2%,89.0%,-90.2%,1.41,-1.1%,-2.1,-0.5,0.94,7.1,1.5,212
New York Mets,3.88,-35.9,-3.9,6354,-2.3,105.6,-108.0,1.03,-3.7,1.5,-2.3%,35.8%,-38.1%,0.61,-1.4%,-0.7,-0.3,0.97,-18.3,1.38,212
Philadelphia Phillies,3.82,-114.1,-11.9,6437,-7.2,110.2,-117.4,1.09,-5.7,-0.9,-2.3%,28.9%,-31.2%,0.48,-2.0%,-35.6,-3.8,0.96,-48.4,1.36,220
Pittsburgh Pirates,4.21,49.6,4.8,6466,4.8,116.2,-111.4,1.05,5.3,-0.8,2.3%,83.5%,-81.2%,1.27,-1.4%,44.1,4.2,0.98,66.0,1.34,281
San Diego Padres,3.3,-101.7,-10.7,6119,-9.4,98.5,-107.9,1.04,-10.8,1.8,-3.6%,22.3%,-25.9%,0.4,-2.6%,-80.5,-8.9,0.95,-93.2,1.39,280
San Francisco Giants,4.1,-3.9,-0.6,6269,5.5,107.8,-102.4,1.01,0.5,4.9,4.1%,87.1%,-83.0%,1.35,2.7%,39.2,3.8,0.97,20.4,1.43,207
St. Louis Cardinals,3.82,-42.0,-4.5,6259,-0.8,102.2,-103.0,1.0,-2.0,1.2,1.4%,91.2%,-89.7%,1.46,2.2%,-15.1,-1.8,0.97,-5.3,1.11,218
Washington Nationals,4.23,-28.1,-3.1,6452,3.6,109.7,-106.2,1.01,1.9,1.6,0.7%,72.4%,-71.8%,1.13,-0.5%,32.6,2.9,0.97,31.1,1.31,209
League Average,3.95,-44.0,-5.0,6332,-2.0,107.0,-109.0,1.03,-2.0,-0.0,-0%,56%,-56%,0.89,0%,-4.0,-1.0,0.0,-7.0,0.0,225
,3.95,-662.0,-71.9,94980,-31.9,1599.9,-1631.9,1.03,-26.3,-4.7,-5.9%,838.7%,-844.7%,0.89,4.5%,-55.1,-10.4,0.96,-110.6,1.32,3381
