Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.59,-6.9,-0.8,6274,-2.1,99.6,-101.6,0.91,-0.9,-1.4,-0.1%,54.0%,-54.1%,0.82,-0.4%,-11.1,-1.3,0.92,-10.8,1.15,85
Boston Red Sox,4.85,-64.2,-6.2,6582,-2.4,114.5,-116.9,1.04,-3.3,1.0,-1.4%,84.7%,-86.0%,1.28,1.2%,-6.1,-0.7,0.95,-42.6,1.73,83
Chicago White Sox,4.36,-33.6,-3.4,6274,-6.7,100.5,-107.2,0.96,-3.2,-3.8,-2.1%,26.8%,-28.9%,0.43,-2.4%,-42.8,-4.4,0.93,-43.8,1.69,80
Cleveland Indians,5.05,33.3,3.1,6455,-1.3,102.0,-103.3,0.92,7.6,-9.0,-2.9%,69.2%,-72.1%,1.06,-7.1%,48.4,4.4,0.95,71.2,1.32,83
Detroit Tigers,4.54,-22.1,-2.3,6340,-6.5,100.1,-106.5,0.95,-2.7,-4.1,-0.6%,37.4%,-38.0%,0.58,-1.0%,-28.2,-2.9,0.93,-33.6,1.15,94
Houston Astros,5.53,200.0,18.9,6512,13.6,112.2,-98.6,0.91,15.9,-0.9,5.5%,40.9%,-35.4%,0.54,0.9%,166.7,16.2,0.95,171.0,1.38,65
Kansas City Royals,4.33,-66.6,-6.6,6245,-2.6,103.4,-106.0,0.95,-5.3,2.6,-0.8%,55.8%,-56.5%,0.85,2.0%,-58.0,-5.7,0.93,-69.2,0.95,43
Los Angeles Angels,4.38,-56.0,-5.6,6325,-1.1,112.0,-113.1,1.04,-3.7,2.7,-1.8%,58.0%,-59.8%,0.91,0.2%,-32.0,-3.3,0.93,-47.6,1.69,99
Minnesota Twins,5.03,34.2,3.2,6482,5.2,105.6,-100.3,0.92,4.3,1.4,3.6%,79.0%,-75.4%,1.15,0.4%,60.2,5.7,0.96,40.5,1.34,87
New York Yankees,5.3,40.9,3.7,6572,2.7,112.0,-109.3,0.97,9.9,-7.1,2.1%,94.7%,-92.6%,1.38,-4.4%,88.9,8.2,0.96,98.4,1.18,95
Oakland Athletics,4.56,40.6,3.8,6310,4.9,111.8,-106.9,0.97,2.8,2.3,-1.0%,20.8%,-21.8%,0.32,-2.3%,3.4,0.2,0.93,24.1,1.3,110
Seattle Mariners,4.63,31.7,2.9,6401,1.2,108.4,-107.2,0.97,0.6,0.6,-0.3%,44.3%,-44.7%,0.67,-0.8%,9.5,0.7,0.95,-1.4,1.37,78
Tampa Bay Rays,4.28,-3.7,-0.5,6355,-5.3,106.2,-111.4,1.0,-0.2,-5.0,-3.5%,57.8%,-61.3%,0.92,-3.5%,-53.9,-5.4,0.94,-9.7,1.39,105
Texas Rangers,4.93,-82.8,-8.1,6386,-1.6,99.0,-100.5,0.9,-0.4,-1.4,-1.1%,40.1%,-41.2%,0.61,-1.6%,12.9,1.0,0.92,0.1,1.34,57
Toronto Blue Jays,4.28,-71.8,-7.1,6324,-7.9,107.8,-115.7,1.02,-7.5,-0.4,-2.5%,28.3%,-30.7%,0.45,-1.3%,-83.8,-8.2,0.93,-81.2,1.56,108
League Average,4.71,-2.0,-0.0,6389,-1.0,106.0,-107.0,0.96,1.0,-2.0,-0%,53%,-53%,0.8,-1%,5.0,0.0,0.0,4.0,0.0,85
,4.71,-26.7,-5.0,95837,-9.7,1595.0,-1604.6,0.96,13.9,-24.0,-6.9%,791.7%,-798.6%,0.8,-16.2%,74.1,4.4,0.94,65.5,1.38,1272
