Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
Baltimore Orioles,4.35,15.6,1.4,6254,2.5,110.3,-107.8,1.02,0.5,2.0,1.3%,72.5%,-71.3%,1.12,0.6%,28.0,2.7,0.94,18.1,1.86,67
Boston Red Sox,3.91,-64.0,-6.8,6398,-8.7,109.3,-117.9,1.08,-7.0,-1.0,-3.5%,29.6%,-33.2%,0.5,-3.3%,-56.3,-5.9,0.96,-67.1,1.75,86
Chicago White Sox,4.07,13.3,1.1,6288,3.4,112.8,-109.5,1.04,-0.5,3.7,2.5%,42.1%,-39.6%,0.63,3.6%,-3.7,-0.6,0.95,-7.8,1.6,75
Cleveland Indians,4.13,-21.4,-2.4,6442,-1.1,114.2,-115.2,1.07,-2.4,1.4,-2.0%,61.6%,-63.6%,0.98,-0.6%,-18.3,-2.1,0.95,-18.0,1.37,105
Detroit Tigers,4.67,94.7,9.4,6438,6.6,107.0,-100.4,0.93,9.3,-2.3,8.1%,107.4%,-99.3%,1.55,-0.3%,86.8,8.5,0.96,94.5,1.66,74
Houston Astros,3.88,-34.1,-3.7,6304,-5.3,99.3,-104.6,0.97,-3.6,-1.8,-2.0%,12.1%,-14.1%,0.21,-8.3%,-35.8,-3.8,0.94,-30.8,1.38,76
Kansas City Royals,4.02,-63.3,-6.5,6321,-2.5,104.7,-107.3,1.02,-6.1,3.6,-3.3%,96.6%,-99.9%,1.57,1.5%,-29.7,-3.1,0.95,-62.2,1.5,43
Los Angeles Angels of Anaheim,4.77,81.5,8.1,6495,9.6,111.7,-102.1,0.97,8.2,1.6,6.4%,72.0%,-65.6%,1.04,0.8%,113.4,11.5,0.97,87.6,1.36,105
Minnesota Twins,4.41,6.3,0.5,6480,0.6,109.6,-109.0,1.02,-0.8,1.4,-0.3%,33.5%,-33.8%,0.53,0.7%,38.9,3.8,0.98,11.8,1.26,86
New York Yankees,3.91,-46.0,-4.8,6306,-3.1,104.2,-107.3,1.01,-3.5,0.4,-2.8%,66.3%,-69.1%,1.09,-0.4%,-37.9,-4.0,0.95,-35.6,1.61,90
Oakland Athletics,4.5,6.6,0.5,6442,1.4,108.9,-107.5,1.01,1.2,0.2,1.5%,80.4%,-78.9%,1.24,0.5%,65.5,6.6,0.97,34.2,1.52,156
Seattle Mariners,3.91,-37.4,-4.0,6208,-5.7,97.9,-103.6,0.98,-5.8,0.1,-4.9%,67.0%,-71.9%,1.13,-0.8%,-17.5,-2.0,0.93,-48.4,1.72,82
Tampa Bay Rays,3.78,-15.3,-1.6,6399,-8.6,100.7,-109.3,1.02,-4.5,-3.8,-2.2%,25.4%,-27.7%,0.43,-3.4%,-56.0,-5.9,0.97,-44.0,1.79,142
Texas Rangers,3.93,-62.5,-6.6,6301,-7.4,94.3,-101.7,0.95,-4.8,-2.9,0.4%,29.7%,-29.3%,0.47,1.5%,-37.8,-3.9,0.95,-45.4,1.14,85
Toronto Blue Jays,4.46,55.0,5.3,6369,2.0,107.2,-105.2,0.98,7.2,-5.1,0.1%,69.8%,-69.7%,1.08,-3.8%,58.5,5.6,0.96,69.3,1.17,176
League Average,4.18,-5.0,-1.0,6363,-1.0,106.0,-107.0,1.01,-1.0,-0.0,-0%,58%,-58%,0.9,0%,7.0,0.0,0.0,-3.0,0.0,97
,4.18,-71.3,-9.9,95445,-16.1,1592.1,-1608.4,1.01,-12.6,-3.4,-0.9%,866.0%,-867.0%,0.9,2.3%,97.9,7.4,0.96,-43.9,1.49,1448
